annee,fe,fm
1740,,24600
1801,,28160
1806,,29107
1811,,29093
1821,,30462
1831,,32569
1836,,33541
1841,,34230
1846,,35400
1851,,35783
1856,,36039
1861,,36717
1866,,38067
1872,,36103
1876,,36642
1881,,37403
1886,,37944
1891,,38057
1896,,38230
1901,,38486
1906,,38836
1911,,39228
1921,,38773
1926,,40217
1931,,41257
1936,,41194
1946,,40125
1954,,42885
1962,,46422
1968,,49723
1975,,52600
1982,55573,54335
1990,57996,56577
1999,60123,58497
2004,62251,60505
2005,62731,60963
2006,63186,61400
2007,63601,61795
2008,63962,62135
2009,64305,62466
2010,64613,62765
2011,64933,63070
2012,65241,63376
2013,65565,63698
2014,66131,64028
2015,66422,64301
2016,66603,64469
2017,66774,64639
2018,66992,64844
2019,67258,65097
2020,67442,65269
2021,67697,65505
2022*,67927,65722
2023*,68143,65926
2024*,68373,66143
