periode,taux,plus
1740-1801,2.2551405,+
1801-1806,6.6371617,+
1806-1811,9.1417952,+
1811-1821,11.350263,+
1821-1831,9.6753635,+
1831-1836,9.9979563,+
1836-1841,10.847057,+
1841-1846,8.9135847,+
1846-1851,3.5843816,+
1851-1856,5.1666899,+
1856-1861,11.009378,+
1861-1866,-3.3670983,
1866-1872,-6.3385992,
1872-1876,3.7116611,+
1876-1881,4.1196208,+
1881-1886,2.8762231,+
1886-1891,.59490633,+
1891-1896,.90751392,+
1896-1901,1.3356894,+
1901-1906,1.810378,+
1906-1911,2.011811,+
1911-1921,-1.1651849,
1921-1926,7.3375063,+
1926-1931,5.1223292,+
1931-1936,-.30485967,
1936-1946,-2.6262078,
1946-1954,8.3496675,+
1954-1962,9.955246,+
1962-1968,11.515055,+
1968-1975,8.0676651,+
1975-1982,4.6468301,+
1982-1990,5.0670385,+
1990-1999,3.7149868,+
1999-2004,6.7729402,+
2004-2009,6.3996716,+
2009-2014,4.9518356,+
2014-2019,3.3170848,+
2019-2024 *,3.1932075,+
