annee,population,naissances,deces,soldeNat,snPlus,soldeMig,smPlus,ajustement,ajustPlus
1982,55572624,823260,550724,272536,+,60300,+,0,
1983,55905460,775441,567755,207686,+,53029,+,0,
1984,56166175,787429,550259,237170,+,41403,+,0,
1985,56444748,796138,560393,235745,+,39442,+,0,
1986,56719935,805543,554738,250805,+,41528,+,0,
1987,57012268,795790,535389,260401,+,52384,+,0,
1988,57325053,800560,532527,268033,+,66456,+,0,
1989,57659542,796101,537527,258574,+,78285,+,0,
1990,57996401,793071,534386,258685,+,77393,+,-52344,
1991,58280135,790078,532887,257191,+,88397,+,-54486,
1992,58571237,774755,529814,244941,+,89349,+,-53525,
1993,58852002,741306,540533,200773,+,70340,+,-53038,
1994,59070077,740774,528121,212653,+,51301,+,-53454,
1995,59280577,759058,540313,218745,+,42193,+,-54102,
1996,59487413,764028,544604,219425,+,38241,+,-53902,
1997,59691177,757384,539267,218117,+,43279,+,-53226,
1998,59899347,767906,543409,224497,+,50228,+,-51407,
1999,60122665,775796,547266,228530,+,62500,+,94455,+
2000,60508150,807405,540601,266804,+,72000,+,94456,+
2001,60941410,803234,541029,262205,+,87000,+,94455,+
2002,61385070,792745,545241,247504,+,97000,+,94456,+
2003,61824030,793044,562467,230577,+,102000,+,94455,+
2004,62251062,799361,519470,279891,+,105128,+,94456,+
2005,62730537,806822,538081,268741,+,92192,+,94647,+
2006,63186117,829352,526920,302432,+,112141,+,0,
2007,63600690,818705,531162,287543,+,73626,+,0,
2008,63961859,828404,542575,285829,+,56812,+,0,
2009,64304500,824641,548541,276100,+,32339,+,0,
2010,64612939,832799,551218,281581,+,38880,+,0,
2011,64933400,823394,545057,278337,+,29504,+,0,
2012,65241241,821047,569868,251179,+,72336,+,0,
2013,65564756,811510,569236,242274,+,100130,+,0,
2014,66130873,818565,559293,259272,+,32324,+,0,
2015,66422469,798948,593680,205268,+,40238,+,-65330,
2016,66602645,783640,593865,189775,+,65044,+,-82982,
2017,66774482,769553,606274,163279,+,154661,+,-100263,
2018,66992159,758590,609648,148942,+,200506,+,-83625,
2019,67257982,753383,613243,140140,+,127621,+,-83893,
2020,67441850,735196,668922,66274,+,223005,+,-34038,
2021 (p),67697091,742052,661585,80467,+,183000,+,-34000,
2022 (p),67926558,725997,675122,50875,+,183000,+,-17000,
2023 (p),68143433,678000,631000,47000,+,183000,+,0,
2024 (p),68373433,nd,nd,nd,,nd,,nd,
2025 (p),66 351 959,nd,nd,nd,,nd,,nd,
