age,j,c,structure,structureEn
1,1,0,Personne vivant seule,Living alone
1,2,.00052462437,Famille monoparentale,Single-parent family
1,4,2.6997529e-06,Couple sans enfant,childless couple
1,6,.0046143164,Couple avec enfant,Couple with child
1,8,.00019639826,Autre cas,Other case
1,9,.000034394739,Hors logement ordinaire,Not in ordinary housing
2,1,0,Personne vivant seule,Living alone
2,2,.00064206443,Famille monoparentale,Single-parent family
2,4,3.3303620e-06,Couple sans enfant,childless couple
2,6,.0045909057,Couple avec enfant,Couple with child
2,8,.00018421259,Autre cas,Other case
2,9,.000031475411,Hors logement ordinaire,Not in ordinary housing
3,1,0,Personne vivant seule,Living alone
3,2,.00075695844,Famille monoparentale,Single-parent family
3,4,4.3428258e-06,Couple sans enfant,childless couple
3,6,.0046714349,Couple avec enfant,Couple with child
3,8,.00018183303,Autre cas,Other case
3,9,.000028190316,Hors logement ordinaire,Not in ordinary housing
4,1,0,Personne vivant seule,Living alone
4,2,.0008510875,Famille monoparentale,Single-parent family
4,4,3.4144332e-06,Couple sans enfant,childless couple
4,6,.0047044558,Couple avec enfant,Couple with child
4,8,.00017288209,Autre cas,Other case
4,9,.000028842884,Hors logement ordinaire,Not in ordinary housing
5,1,0,Personne vivant seule,Living alone
5,2,.00096018723,Famille monoparentale,Single-parent family
5,4,4.5693214e-06,Couple sans enfant,childless couple
5,6,.004752791,Couple avec enfant,Couple with child
5,8,.00016882576,Autre cas,Other case
5,9,.000028017663,Hors logement ordinaire,Not in ordinary housing
6,1,0,Personne vivant seule,Living alone
6,2,.0010393922,Famille monoparentale,Single-parent family
6,4,5.0967592e-06,Couple sans enfant,childless couple
6,6,.0047439197,Couple avec enfant,Couple with child
6,8,.00016408801,Autre cas,Other case
6,9,.000028207161,Hors logement ordinaire,Not in ordinary housing
7,1,0,Personne vivant seule,Living alone
7,2,.001108506,Famille monoparentale,Single-parent family
7,4,5.2861074e-06,Couple sans enfant,childless couple
7,6,.0047287405,Couple avec enfant,Couple with child
7,8,.00015782582,Autre cas,Other case
7,9,.000028123992,Hors logement ordinaire,Not in ordinary housing
8,1,0,Personne vivant seule,Living alone
8,2,.001171383,Famille monoparentale,Single-parent family
8,4,5.5840410e-06,Couple sans enfant,childless couple
8,6,.0047401427,Couple avec enfant,Couple with child
8,8,.00015012406,Autre cas,Other case
8,9,.000028940942,Hors logement ordinaire,Not in ordinary housing
9,1,0,Personne vivant seule,Living alone
9,2,.0012127621,Famille monoparentale,Single-parent family
9,4,6.8254071e-06,Couple sans enfant,childless couple
9,6,.0047149155,Couple avec enfant,Couple with child
9,8,.00015214914,Autre cas,Other case
9,9,.000029976565,Hors logement ordinaire,Not in ordinary housing
10,1,0,Personne vivant seule,Living alone
10,2,.0012632301,Famille monoparentale,Single-parent family
10,4,5.8288852e-06,Couple sans enfant,childless couple
10,6,.0046476503,Couple avec enfant,Couple with child
10,8,.00014898136,Autre cas,Other case
10,9,.000029930094,Hors logement ordinaire,Not in ordinary housing
11,1,0,Personne vivant seule,Living alone
11,2,.0013039906,Famille monoparentale,Single-parent family
11,4,4.8863558e-06,Couple sans enfant,childless couple
11,6,.0046118959,Couple avec enfant,Couple with child
11,8,.00014962144,Autre cas,Other case
11,9,.00002935468,Hors logement ordinaire,Not in ordinary housing
12,1,0,Personne vivant seule,Living alone
12,2,.0013330858,Famille monoparentale,Single-parent family
12,4,7.4599266e-06,Couple sans enfant,childless couple
12,6,.0045555248,Couple avec enfant,Couple with child
12,8,.00014979199,Autre cas,Other case
12,9,.000031889598,Hors logement ordinaire,Not in ordinary housing
13,1,0,Personne vivant seule,Living alone
13,2,.0013919011,Famille monoparentale,Single-parent family
13,4,6.5387530e-06,Couple sans enfant,childless couple
13,6,.0044760359,Couple avec enfant,Couple with child
13,8,.00014496429,Autre cas,Other case
13,9,.00003262368,Hors logement ordinaire,Not in ordinary housing
14,1,0,Personne vivant seule,Living alone
14,2,.0014386122,Famille monoparentale,Single-parent family
14,4,7.3555520e-06,Couple sans enfant,childless couple
14,6,.0044135246,Couple avec enfant,Couple with child
14,8,.00014790874,Autre cas,Other case
14,9,.000037122318,Hors logement ordinaire,Not in ordinary housing
15,1,7.7398126e-06,Personne vivant seule,Living alone
15,2,.0014949377,Famille monoparentale,Single-parent family
15,4,9.8250493e-06,Couple sans enfant,childless couple
15,6,.0043728086,Couple avec enfant,Couple with child
15,8,.00015914044,Autre cas,Other case
15,9,.000042772532,Hors logement ordinaire,Not in ordinary housing
16,1,.000014373616,Personne vivant seule,Living alone
16,2,.001545208,Famille monoparentale,Single-parent family
16,4,.000014571537,Couple sans enfant,childless couple
16,6,.0042991955,Couple avec enfant,Couple with child
16,8,.00017344682,Autre cas,Other case
16,9,.000047426525,Hors logement ordinaire,Not in ordinary housing
17,1,.000020378615,Personne vivant seule,Living alone
17,2,.0015819386,Famille monoparentale,Single-parent family
17,4,.000017349344,Couple sans enfant,childless couple
17,6,.004223621,Couple avec enfant,Couple with child
17,8,.0001827509,Autre cas,Other case
17,9,.000050466024,Hors logement ordinaire,Not in ordinary housing
18,1,.000074861855,Personne vivant seule,Living alone
18,2,.0016081589,Famille monoparentale,Single-parent family
18,4,.00003252472,Couple sans enfant,childless couple
18,6,.0040779654,Couple avec enfant,Couple with child
18,8,.00016635221,Autre cas,Other case
18,9,.000073272779,Hors logement ordinaire,Not in ordinary housing
19,1,.00082869566,Personne vivant seule,Living alone
19,2,.0012560129,Famille monoparentale,Single-parent family
19,4,.0001701118,Couple sans enfant,childless couple
19,6,.0028993064,Couple avec enfant,Couple with child
19,8,.00038116222,Autre cas,Other case
19,9,.00046263379,Hors logement ordinaire,Not in ordinary housing
20,1,.0010323945,Personne vivant seule,Living alone
20,2,.0011280781,Famille monoparentale,Single-parent family
20,4,.0003226237,Couple sans enfant,childless couple
20,6,.0025624831,Couple avec enfant,Couple with child
20,8,.00044594769,Autre cas,Other case
20,9,.00030059766,Hors logement ordinaire,Not in ordinary housing
21,1,.0011485101,Personne vivant seule,Living alone
21,2,.00099898991,Famille monoparentale,Single-parent family
21,4,.00054834009,Couple sans enfant,childless couple
21,6,.0022297637,Couple avec enfant,Couple with child
