age,j,c,structure,structureEn
1,1,0,Personne vivant seule,Living alone
1,2,-.00054287905,Famille monoparentale,Single-parent family
1,4,-2.9797895e-06,Couple sans enfant,childless couple
1,6,-.0047920872,Couple avec enfant,Couple with child
1,8,-.00020992455,Autre cas,Other case
1,9,-.000036624508,Hors logement ordinaire,Not in ordinary housing
2,1,0,Personne vivant seule,Living alone
2,2,-.00064702315,Famille monoparentale,Single-parent family
2,4,-3.5342985e-06,Couple sans enfant,childless couple
2,6,-.0047850255,Couple avec enfant,Couple with child
2,8,-.00020132372,Autre cas,Other case
2,9,-.000032299125,Hors logement ordinaire,Not in ordinary housing
3,1,0,Personne vivant seule,Living alone
3,2,-.00077831646,Famille monoparentale,Single-parent family
3,4,-3.0274650e-06,Couple sans enfant,childless couple
3,6,-.0048810821,Couple avec enfant,Couple with child
3,8,-.00018850745,Autre cas,Other case
3,9,-.000030116284,Hors logement ordinaire,Not in ordinary housing
4,1,0,Personne vivant seule,Living alone
4,2,-.00088912289,Famille monoparentale,Single-parent family
4,4,-4.2527386e-06,Couple sans enfant,childless couple
4,6,-.0049096663,Couple avec enfant,Couple with child
4,8,-.00017513066,Autre cas,Other case
4,9,-.000027475486,Hors logement ordinaire,Not in ordinary housing
5,1,0,Personne vivant seule,Living alone
5,2,-.00098818704,Famille monoparentale,Single-parent family
5,4,-4.6676805e-06,Couple sans enfant,childless couple
5,6,-.0049204803,Couple avec enfant,Couple with child
5,8,-.0001736079,Autre cas,Other case
5,9,-.000030591684,Hors logement ordinaire,Not in ordinary housing
6,1,0,Personne vivant seule,Living alone
6,2,-.0010855002,Famille monoparentale,Single-parent family
6,4,-6.2372096e-06,Couple sans enfant,childless couple
6,6,-.0049580811,Couple avec enfant,Couple with child
6,8,-.00016824629,Autre cas,Other case
6,9,-.000030391959,Hors logement ordinaire,Not in ordinary housing
7,1,0,Personne vivant seule,Living alone
7,2,-.0011721293,Famille monoparentale,Single-parent family
7,4,-5.1163106e-06,Couple sans enfant,childless couple
7,6,-.0049810419,Couple avec enfant,Couple with child
7,8,-.00016498451,Autre cas,Other case
7,9,-.000031766725,Hors logement ordinaire,Not in ordinary housing
8,1,0,Personne vivant seule,Living alone
8,2,-.0012375221,Famille monoparentale,Single-parent family
8,4,-6.0613970e-06,Couple sans enfant,childless couple
8,6,-.0049222838,Couple avec enfant,Couple with child
8,8,-.00016343438,Autre cas,Other case
8,9,-.00002974225,Hors logement ordinaire,Not in ordinary housing
9,1,0,Personne vivant seule,Living alone
9,2,-.0012746565,Famille monoparentale,Single-parent family
9,4,-5.8870883e-06,Couple sans enfant,childless couple
9,6,-.0049141706,Couple avec enfant,Couple with child
9,8,-.00016188064,Autre cas,Other case
9,9,-.000033568314,Hors logement ordinaire,Not in ordinary housing
10,1,0,Personne vivant seule,Living alone
10,2,-.0013401143,Famille monoparentale,Single-parent family
10,4,-6.9446710e-06,Couple sans enfant,childless couple
10,6,-.0048836595,Couple avec enfant,Couple with child
10,8,-.0001561996,Autre cas,Other case
10,9,-.000035802896,Hors logement ordinaire,Not in ordinary housing
11,1,0,Personne vivant seule,Living alone
11,2,-.001367186,Famille monoparentale,Single-parent family
11,4,-6.4467108e-06,Couple sans enfant,childless couple
11,6,-.0048433663,Couple avec enfant,Couple with child
11,8,-.00015537122,Autre cas,Other case
11,9,-.000037502065,Hors logement ordinaire,Not in ordinary housing
12,1,0,Personne vivant seule,Living alone
12,2,-.0014012179,Famille monoparentale,Single-parent family
12,4,-6.6804255e-06,Couple sans enfant,childless couple
12,6,-.004742417,Couple avec enfant,Couple with child
12,8,-.00015975149,Autre cas,Other case
12,9,-.000035883659,Hors logement ordinaire,Not in ordinary housing
13,1,0,Personne vivant seule,Living alone
13,2,-.001434082,Famille monoparentale,Single-parent family
13,4,-8.7103163e-06,Couple sans enfant,childless couple
13,6,-.0046356278,Couple avec enfant,Couple with child
13,8,-.00015377822,Autre cas,Other case
13,9,-.000039289367,Hors logement ordinaire,Not in ordinary housing
14,1,0,Personne vivant seule,Living alone
14,2,-.0014803144,Famille monoparentale,Single-parent family
14,4,-8.0980553e-06,Couple sans enfant,childless couple
14,6,-.004625781,Couple avec enfant,Couple with child
14,8,-.00015437153,Autre cas,Other case
14,9,-.000044054203,Hors logement ordinaire,Not in ordinary housing
15,1,-9.5770465e-06,Personne vivant seule,Living alone
15,2,-.0015434956,Famille monoparentale,Single-parent family
15,4,-.000010014547,Couple sans enfant,childless couple
15,6,-.0045680455,Couple avec enfant,Couple with child
15,8,-.00017002007,Autre cas,Other case
