annee,type,typeEn,typeNum,ageM,pHorsM
1901,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.699999809265137
1902,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.800000190734863
1903,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.800000190734863
1904,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.800000190734863
1905,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.899999618530273
1906,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.800000190734863
1907,Âge moyen à la 1ère naissance,Mean age at first birth,1,,9.199999809265137
1908,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.899999618530273
1909,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.800000190734863
1910,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.699999809265137
1911,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.800000190734863
1912,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.699999809265137
1913,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.800000190734863
1914,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.5
1915,Âge moyen à la 1ère naissance,Mean age at first birth,1,,11.19999980926514
1916,Âge moyen à la 1ère naissance,Mean age at first birth,1,,13.80000019073486
1917,Âge moyen à la 1ère naissance,Mean age at first birth,1,,14.19999980926514
1918,Âge moyen à la 1ère naissance,Mean age at first birth,1,,13.80000019073486
1919,Âge moyen à la 1ère naissance,Mean age at first birth,1,,13.30000019073486
1920,Âge moyen à la 1ère naissance,Mean age at first birth,1,,9.899999618530273
1921,Âge moyen à la 1ère naissance,Mean age at first birth,1,,9
1922,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.600000381469727
1923,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.699999809265137
1924,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.5
1925,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.600000381469727
1926,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.5
1927,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.399999618530273
1928,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.399999618530273
1929,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.399999618530273
1930,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.300000190734863
1931,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8
1932,Âge moyen à la 1ère naissance,Mean age at first birth,1,,7.800000190734863
1933,Âge moyen à la 1ère naissance,Mean age at first birth,1,,7.5
1934,Âge moyen à la 1ère naissance,Mean age at first birth,1,,7.199999809265137
1935,Âge moyen à la 1ère naissance,Mean age at first birth,1,,7
1936,Âge moyen à la 1ère naissance,Mean age at first birth,1,,6.5
1937,Âge moyen à la 1ère naissance,Mean age at first birth,1,,6.5
1938,Âge moyen à la 1ère naissance,Mean age at first birth,1,,6.300000190734863
1939,Âge moyen à la 1ère naissance,Mean age at first birth,1,,6.300000190734863
1940,Âge moyen à la 1ère naissance,Mean age at first birth,1,,7.199999809265137
1941,Âge moyen à la 1ère naissance,Mean age at first birth,1,,8.100000381469727
1942,Âge moyen à la 1ère naissance,Mean age at first birth,1,,7.699999809265137
1943,Âge moyen à la 1ère naissance,Mean age at first birth,1,,7.900000095367432
1944,Âge moyen à la 1ère naissance,Mean age at first birth,1,,9.399999618530273
1945,Âge moyen à la 1ère naissance,Mean age at first birth,1,,10.5
1946,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.50574,8.699999809265137
1947,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.43228,7.599999904632568
1948,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.46008,7.300000190734863
1949,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.16156,7
1950,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.89946,7
1951,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.69324,6.800000190734863
1952,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.55508,6.699999809265137
1953,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.4049,6.699999809265137
1954,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.38182,6.599999904632568
1955,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.3877,6.400000095367432
1956,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.44016,6.300000190734863
1957,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.4461,6.199999809265137
1958,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.4531,6.099999904632568
1959,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.37452,6.099999904632568
1960,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.3514,6.099999904632568
1961,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.24946,5.900000095367432
1962,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.19942,5.900000095367432
1963,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.13128,5.900000095367432
1964,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.1268,5.900000095367432
1965,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.09276,5.900000095367432
1966,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.08672,6
1967,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.0621,6.199999809265137
1968,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.07596,6.400000095367432
1969,Âge moyen à la 1ère naissance,Mean age at first birth,1,23.99162,6.5
1970,Âge moyen à la 1ère naissance,Mean age at first birth,1,23.9775,6.800000190734863
1971,Âge moyen à la 1ère naissance,Mean age at first birth,1,23.951,7
1972,Âge moyen à la 1ère naissance,Mean age at first birth,1,23.96036,7.5
1973,Âge moyen à la 1ère naissance,Mean age at first birth,1,23.93754,8.199999809265137
1974,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.04538,8.5
1975,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.07866,8.5
1976,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.20106,8.5
1977,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.2646,8.800000190734863
1978,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.37542,9.399999618530273
1979,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.43656,10.30000019073486
1980,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.52596,11.39999961853027
1981,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.57738,12.69999980926514
1982,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.69758,14.19999980926514
1983,Âge moyen à la 1ère naissance,Mean age at first birth,1,24.87836,15.89999961853027
1984,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.02928,17.79999923706055
1985,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.21324,19.60000038146973
1986,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.3846,21.89999961853027
1987,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.5653,24.10000038146973
1988,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.70544,26.29999923706055
1989,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.87002,28.20000076293945
1990,Âge moyen à la 1ère naissance,Mean age at first birth,1,25.96858,30.10000038146973
1991,Âge moyen à la 1ère naissance,Mean age at first birth,1,26.10964,31.79999923706055
1992,Âge moyen à la 1ère naissance,Mean age at first birth,1,26.2858,33.20000076293945
1993,Âge moyen à la 1ère naissance,Mean age at first birth,1,26.44762,34.90000152587891
1994,Âge moyen à la 1ère naissance,Mean age at first birth,1,26.59772,36.09999847412109
1995,Âge moyen à la 1ère naissance,Mean age at first birth,1,26.78534,37.59999847412109
1996,Âge moyen à la 1ère naissance,Mean age at first birth,1,26.94322,38.90000152587891
1997,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.05668,40
1998,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.16832,40.70000076293945
1999,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.282248,41.70000076293945
2000,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.4,42.59999847412109
2001,Âge moyen à la 1ère naissance,Mean age at first birth,1,,43.70000076293945
2002,Âge moyen à la 1ère naissance,Mean age at first birth,1,,44.29999923706055
2003,Âge moyen à la 1ère naissance,Mean age at first birth,1,,45.20000076293945
2004,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.6,46.40000152587891
2005,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.7,47.40000152587891
2006,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.8,49.5
2007,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.9,50.70000076293945
2008,Âge moyen à la 1ère naissance,Mean age at first birth,1,27.9,51.59999847412109
2009,Âge moyen à la 1ère naissance,Mean age at first birth,1,28,52.90000152587891
2010,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.1,54.09999847412109
2011,Âge moyen à la 1ère naissance,Mean age at first birth,1,,55
2012,Âge moyen à la 1ère naissance,Mean age at first birth,1,n.d.,55.79999923706055
2013,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.1,56.40000152587891
2014,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.3,57.5
2015,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.4,57.90000152587891
2016,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.5,58.5
2017,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.7,58.59999847412109
2018,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.7,59.09999847412109
2019,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.8,59.70000076293945
2020,Âge moyen à la 1ère naissance,Mean age at first birth,1,28.9,61.09999847412109
2021,Âge moyen à la 1ère naissance,Mean age at first birth,1,29.1,62.29999923706055
2022,Âge moyen à la 1ère naissance,Mean age at first birth,1,29.1,63.90000152587891
2023,Âge moyen à la 1ère naissance,Mean age at first birth,1,29.1,56.9
2024,Âge moyen à la 1ère naissance,Mean age at first birth,1,,58.2
1946,Âge moyen au premier mariage,Mean age at first marriage,2,24.3,
1947,Âge moyen au premier mariage,Mean age at first marriage,2,24,
1948,Âge moyen au premier mariage,Mean age at first marriage,2,23.8,
1949,Âge moyen au premier mariage,Mean age at first marriage,2,23.5,
1950,Âge moyen au premier mariage,Mean age at first marriage,2,23.3,
1951,Âge moyen au premier mariage,Mean age at first marriage,2,23.3,
1952,Âge moyen au premier mariage,Mean age at first marriage,2,23.2,
1953,Âge moyen au premier mariage,Mean age at first marriage,2,23.2,
1954,Âge moyen au premier mariage,Mean age at first marriage,2,23.2,
1955,Âge moyen au premier mariage,Mean age at first marriage,2,23.2,
1956,Âge moyen au premier mariage,Mean age at first marriage,2,23.4,
