annee,france2,fretr11,etranger2
1998,76.8,13.8,9.4
1999,77.5,13.3,9.199999999999999
2000,77.59999999999999,13.2,9.199999999999999
2001,77.3,13.3,9.4
2002,76.2,13.8,10
2003,75.7,14.1,10.2
2004,74.8,14.5,10.7
2005,74.3,14.9,10.8
2006,73.90000000000001,15.2,10.9
2007,73.7,15.4,10.9
2008,73.59999999999999,15.4,11
2009,72.90000000000001,15.9,11.2
2010,72.8,16.2,11
2011,73.3,14.5,12.2
2012,72.90000000000001,14.6,12.5
2013,72,14.7,13.3
2014,70.8,15.1,14.1
2015,70,15.2,14.8
2016,69.2,15.4,15.4
2017,68.5,15.5,16
2018,68.09999999999999,15.4,16.5
2019,67.40000000000001,15.4,17.2
2020,67.8,15.2,17
2021,68.59999999999999,15.2,16.2
2022,67.59999999999999,15,17.4
2023,66.40000000000001,15.1,18.5
