annee,enfNum,enfFr,enfEn,n
1998,0,Pas d'enfant,No child,22.7
2004,0,Pas d'enfant,No child,14.6
2012,0,Pas d'enfant,No child,13.73799999999999
2014,0,Pas d'enfant,No child,13.91267317569053
2017,0,Pas d'enfant,No child,17.89199967734551
2020,0,Pas d'enfant,No child,21.9598447283012
2023,0,Pas d'enfant,No child,27.24723370547492
1998,1,Un enfant,One child,16.50000000000001
2004,1,Un enfant,One child,18.29999999999999
2012,1,Un enfant,One child,15.62800000000001
2014,1,Un enfant,One child,15.20351296785948
2017,1,Un enfant,One child,15.61776318264103
2020,1,Un enfant,One child,14.71244407273626
2023,1,Un enfant,One child,16.15685461599269
1998,2,Deux enfants,Two children,35.2922
2004,2,Deux enfants,Two children,42.1916
2012,2,Deux enfants,Two children,42.97901599999999
2014,2,Deux enfants,Two children,41.84640352693778
2017,2,Deux enfants,Two children,39.15063055449786
2020,2,Deux enfants,Two children,36.44760935353102
2023,2,Deux enfants,Two children,33.30046787323177
1998,3,Trois enfants et plus,Three childen and more,25.5078
2004,3,Trois enfants et plus,Three childen and more,24.9084
2012,3,Trois enfants et plus,Three childen and more,27.654984
2014,3,Trois enfants et plus,Three childen and more,29.03741032951221
2017,3,Trois enfants et plus,Three childen and more,27.33960658551561
2020,3,Trois enfants et plus,Three childen and more,26.88010184543152
2023,3,Trois enfants et plus,Three childen and more,23.29544380530063
