gen,genFr,genEn,enfFr,enfEn,n
1,Avant 1857,Before 1857,0 enfant,0 child,19.1
2,1857-1861,1857–1861,0 enfant,0 child,20.1
3,1862-1866,1862–1866,0 enfant,0 child,21.1
4,1867-1871,1867–1871,0 enfant,0 child,22.2
5,1872-1876,1872–1876,0 enfant,0 child,22.7
6,1877-1881,1877–1881,0 enfant,0 child,23.1
7,1882-1886,1882–1886,0 enfant,0 child,23.9
8,1887-1891,1887–1891,0 enfant,0 child,25.5
9,1892-1896,1892–1896,0 enfant,0 child,26.9
10,1897-1901,1897–1901,0 enfant,0 child,25.2
11,1902-1906,1902–1906,0 enfant,0 child,22.8
12,1907-1911,1907–1911,0 enfant,0 child,20.6
13,1912-1916,1912–1916,0 enfant,0 child,18.4
14,1917-1921,1917–1921,0 enfant,0 child,17
15,1922-1926,1922–1926,0 enfant,0 child,15.7
16,1927-1931,1927–1931,0 enfant,0 child,14.2
17,1932-1936,1932–1936,0 enfant,0 child,12.3
18,1937-1941,1937–1941,0 enfant,0 child,11.3
19,1942-1946,1942–1946,0 enfant,0 child,10.3
20,1947-1951,1947–1951,0 enfant,0 child,10.6
21,1952-1956,1952–1956,0 enfant,0 child,11.6
22,1957-1961,1957–1961,0 enfant,0 child,11.9
23,1962-1966,1962–1966,0 enfant,0 child,14.1
1,Avant 1857,Before 1857,1 enfant,1 child,15.5
2,1857-1861,1857–1861,1 enfant,1 child,15.9
3,1862-1866,1862–1866,1 enfant,1 child,16.2
4,1867-1871,1867–1871,1 enfant,1 child,16.9
5,1872-1876,1872–1876,1 enfant,1 child,17.9
6,1877-1881,1877–1881,1 enfant,1 child,19.6
7,1882-1886,1882–1886,1 enfant,1 child,21.6
8,1887-1891,1887–1891,1 enfant,1 child,23
9,1892-1896,1892–1896,1 enfant,1 child,23.6
10,1897-1901,1897–1901,1 enfant,1 child,24
11,1902-1906,1902–1906,1 enfant,1 child,24.7
12,1907-1911,1907–1911,1 enfant,1 child,23.2
13,1912-1916,1912–1916,1 enfant,1 child,21.7
14,1917-1921,1917–1921,1 enfant,1 child,20.1
15,1922-1926,1922–1926,1 enfant,1 child,18.5
16,1927-1931,1927–1931,1 enfant,1 child,17.9
17,1932-1936,1932–1936,1 enfant,1 child,17.3
18,1937-1941,1937–1941,1 enfant,1 child,17.8
19,1942-1946,1942–1946,1 enfant,1 child,19.5
20,1947-1951,1947–1951,1 enfant,1 child,20
21,1952-1956,1952–1956,1 enfant,1 child,20.2
22,1957-1961,1957–1961,1 enfant,1 child,18.5
23,1962-1966,1962–1966,1 enfant,1 child,18.6
1,Avant 1857,Before 1857,2 enfants,2 children,18.5
2,1857-1861,1857–1861,2 enfants,2 children,18.5
3,1862-1866,1862–1866,2 enfants,2 children,18.5
4,1867-1871,1867–1871,2 enfants,2 children,18.7
5,1872-1876,1872–1876,2 enfants,2 children,19.3
6,1877-1881,1877–1881,2 enfants,2 children,20
7,1882-1886,1882–1886,2 enfants,2 children,20.6
8,1887-1891,1887–1891,2 enfants,2 children,20.7
9,1892-1896,1892–1896,2 enfants,2 children,20.7
10,1897-1901,1897–1901,2 enfants,2 children,21
11,1902-1906,1902–1906,2 enfants,2 children,21.6
12,1907-1911,1907–1911,2 enfants,2 children,22.2
13,1912-1916,1912–1916,2 enfants,2 children,22.8
14,1917-1921,1917–1921,2 enfants,2 children,23.1
15,1922-1926,1922–1926,2 enfants,2 children,23.4
16,1927-1931,1927–1931,2 enfants,2 children,24.8
17,1932-1936,1932–1936,2 enfants,2 children,26.9
18,1937-1941,1937–1941,2 enfants,2 children,30.9
19,1942-1946,1942–1946,2 enfants,2 children,36.6
20,1947-1951,1947–1951,2 enfants,2 children,38.6
21,1952-1956,1952–1956,2 enfants,2 children,38
22,1957-1961,1957–1961,2 enfants,2 children,38.3
23,1962-1966,1962–1966,2 enfants,2 children,38.6
1,Avant 1857,Before 1857,3 enfants,3 children,14.3
2,1857-1861,1857–1861,3 enfants,3 children,14.1
3,1862-1866,1862–1866,3 enfants,3 children,14
4,1867-1871,1867–1871,3 enfants,3 children,13.8
5,1872-1876,1872–1876,3 enfants,3 children,13.8
6,1877-1881,1877–1881,3 enfants,3 children,13.6
7,1882-1886,1882–1886,3 enfants,3 children,13.1
8,1887-1891,1887–1891,3 enfants,3 children,12.6
9,1892-1896,1892–1896,3 enfants,3 children,12
10,1897-1901,1897–1901,3 enfants,3 children,12.3
11,1902-1906,1902–1906,3 enfants,3 children,12.6
12,1907-1911,1907–1911,3 enfants,3 children,14
13,1912-1916,1912–1916,3 enfants,3 children,15.4
14,1917-1921,1917–1921,3 enfants,3 children,16.6
15,1922-1926,1922–1926,3 enfants,3 children,17.7
16,1927-1931,1927–1931,3 enfants,3 children,18
17,1932-1936,1932–1936,3 enfants,3 children,19.6
18,1937-1941,1937–1941,3 enfants,3 children,21.1
19,1942-1946,1942–1946,3 enfants,3 children,19.8
20,1947-1951,1947–1951,3 enfants,3 children,20
21,1952-1956,1952–1956,3 enfants,3 children,19.8
22,1957-1961,1957–1961,3 enfants,3 children,21.2
23,1962-1966,1962–1966,3 enfants,3 children,19.4
1,Avant 1857,Before 1857,4 enfants et plus,4 children and more,32.7
2,1857-1861,1857–1861,4 enfants et plus,4 children and more,31.5
3,1862-1866,1862–1866,4 enfants et plus,4 children and more,30.2
4,1867-1871,1867–1871,4 enfants et plus,4 children and more,28.3
5,1872-1876,1872–1876,4 enfants et plus,4 children and more,26.2
6,1877-1881,1877–1881,4 enfants et plus,4 children and more,23.8
7,1882-1886,1882–1886,4 enfants et plus,4 children and more,20.8
8,1887-1891,1887–1891,4 enfants et plus,4 children and more,18.2
9,1892-1896,1892–1896,4 enfants et plus,4 children and more,16.8
10,1897-1901,1897–1901,4 enfants et plus,4 children and more,17.6
11,1902-1906,1902–1906,4 enfants et plus,4 children and more,18.2
12,1907-1911,1907–1911,4 enfants et plus,4 children and more,20
13,1912-1916,1912–1916,4 enfants et plus,4 children and more,21.8
14,1917-1921,1917–1921,4 enfants et plus,4 children and more,23.2
15,1922-1926,1922–1926,4 enfants et plus,4 children and more,24.6
16,1927-1931,1927–1931,4 enfants et plus,4 children and more,25.1
17,1932-1936,1932–1936,4 enfants et plus,4 children and more,23.9
18,1937-1941,1937–1941,4 enfants et plus,4 children and more,19
19,1942-1946,1942–1946,4 enfants et plus,4 children and more,13.8
20,1947-1951,1947–1951,4 enfants et plus,4 children and more,10.9
21,1952-1956,1952–1956,4 enfants et plus,4 children and more,10.3
22,1957-1961,1957–1961,4 enfants et plus,4 children and more,10.1
23,1962-1966,1962–1966,4 enfants et plus,4 children and more,9.300000000000001
