annee,pays,icf,flag,paysFlag,paysFlagEn
2000,Union européenne,,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2001,Union européenne,1.43,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2002,Union européenne,1.43,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2003,Union européenne,1.44,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2004,Union européenne,1.46,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2005,Union européenne,1.47,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2006,Union européenne,1.5,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2007,Union européenne,1.52,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2008,Union européenne,1.57,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2009,Union européenne,1.56,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2010,Union européenne,1.57,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2011,Union européenne,1.54,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2012,Union européenne,1.54,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2013,Union européenne,1.51,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2014,Union européenne,1.54,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2015,Union européenne,1.54,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2016,Union européenne,1.57,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2017,Union européenne,1.56,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2018,Union européenne,1.54,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2019,Union européenne,1.53,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2020,Union européenne,1.51,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2021,Union européenne,1.53,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2022,Union européenne,1.46,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2023,Union européenne,1.38,🇪🇺,Union européenne 🇪🇺,European Union 🇪🇺
2000,Hongrie,1.31887,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2001,Hongrie,1.31,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2002,Hongrie,1.3,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2003,Hongrie,1.27,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2004,Hongrie,1.28,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2005,Hongrie,1.31,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2006,Hongrie,1.34,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2007,Hongrie,1.32,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2008,Hongrie,1.35,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2009,Hongrie,1.32,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2010,Hongrie,1.25,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2011,Hongrie,1.23,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2012,Hongrie,1.34,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2013,Hongrie,1.35,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2014,Hongrie,1.44,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2015,Hongrie,1.45,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2016,Hongrie,1.53,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2017,Hongrie,1.54,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2018,Hongrie,1.55,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2019,Hongrie,1.55,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2020,Hongrie,1.59,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2021,Hongrie,1.61,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2022,Hongrie,1.56,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2023,Hongrie,1.55,🇭🇺,Hongrie 🇭🇺,Hungary 🇭🇺
2000,Belgique,1.66658,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2001,Belgique,1.67,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2002,Belgique,1.65,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2003,Belgique,1.67,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2004,Belgique,1.72,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2005,Belgique,1.76,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2006,Belgique,1.8,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2007,Belgique,1.82,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2008,Belgique,1.85,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2009,Belgique,1.84,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
2010,Belgique,1.86,🇧🇪,Belgique 🇧🇪,Belgium 🇧🇪
