pays,icf,ageM,paysEn
Malte,1.06,29.8,Malta
Espagne,1.12,31.5,Spain
Lituanie,1.18,28.4,Lithuania
Pologne,1.2,28.4,Poland
Italie,1.21,31.8,Italy
Luxembourg,1.25,31.4,Luxembourg
Finlande,1.26,30,Finland
Grèce,1.26,31,Greece
Estonie,1.31,28.7,Estonia
Autriche,1.32,29.9,Austria
Lettonie,1.36,28,Latvia
Allemagne,1.39,29.8,Germany
Chypre,1.4,29.8,Cyprus
Pays-Bas,1.43,30.4,Netherlands
Portugal,1.45,30.2,Portugal
Suède,1.45,30,Sweden
Tchéquie,1.46,28.9,Czechia
Belgique,1.47,29.5,Belgium
Croatie,1.47,29.3,Croatia
Slovaquie,1.49,27.3,Slovakia
Danemark,1.5,30.1,Denmark
Irlande,1.5,31.6,Ireland
Slovénie,1.51,29.1,Slovenia
Roumanie,1.54,27.1,Romania
Hongrie,1.55,28.8,Hungary
France,1.66,29.1,France
Bulgarie,1.81,26.9,Bulgaria
