annee,n,icf,descendance,generation,projection,donnees,donneesEn
1901,290,290,,,,,
1902,285,285,,,,,
1903,278,278,,,,,
1904,275,275,,,,,
1905,271,271,,,,,
1906,270,270,,,,,
1907,258,258,,,,,
1908,264,264,,,,,
1909,256,256,,,,,
1910,257,257,,,,,
1911,246,246,,,,,
1912,249,249,,,,,
1913,247,247,225,1885,,,
1914,234,234,222,1886,,,
1915,152,152,219,1887,,,
1916,123,123,215,1888,,,
1917,134,134,214,1889,,,
1918,156,156,212,1890,,,
1919,159,159,210,1891,,,
1920,269,269,208,1892,,,
1921,260,260,205,1893,,,
1922,242,242,203,1894,,,
1923,241,241,201,1895,,,
1924,236,236,200,1896,,,
1925,239,239,201,1897,,,
1926,237,237,203,1898,,,
1927,229,229,208,1899,,,
1928,231,231,212,1900,,,
1929,224,224,214,1901,,,
1930,230,230,215,1902,,,
1931,225,225,216,1903,,,
1932,223,223,217,1904,,,
1933,211,211,219,1905,,,
1934,214,214,220,1906,,,
1935,207,207,222,1907,,,
1936,209,209,222,1908,,,
1937,210,210,223,1909,,,
1938,213,213,226,1910,,,
1939,217,217,228,1911,,,
1940,200,200,230,1912,,,
1941,185,185,232,1913,,,
1942,204,204,234,1914,,,
1943,219,219,235,1915,,,
1944,225,225,237,1916,,,
1945,231,231,241,1917,,,
1946,300,300,244,1918,,,
1947,304,304,245,1919,,,
1948,302,302,250,1920,,,
1949,300,300,248,1921,,,
1950,295,295,253,1922,,,
1951,281,281,255,1923,,,
1952,278,278,257,1924,,,
1953,270,270,260,1925,,,
1954,271,271,262,1926,,,
1955,268,268,264,1927,,,
1956,267,267,264,1928,,,
1957,269,269,265,1929,,,
1958,268,268,263,1930,,,
1959,275,275,263,1931,,,
1960,274,274,262,1932,,,
1961,282,282,260,1933,,,
1962,280,280,259,1934,,,
1963,290,290,255,1935,,,
1964,291,291,253,1936,,,
1965,285,285,249,1937,,,
1966,280,280,243,1938,,,
1967,267,267,237,1939,,,
1968,259,259,231,1940,,,
1969,253,253,229,1941,,,
1970,248,248,227,1942,,,
1971,250,250,223,1943,,,
1972,242,242,217,1944,,,
1973,231,231,214,1945,,,
1974,211,211,212,1946,,,
1975,193,193,211,1947,,,
1976,183,183,211,1948,,,
1977,186,186,212,1949,,,
1978,182,182,211,1950,,,
1979,186,186,212,1951,,,
1980,195,195,212,1952,,,
1981,195,195,212,1953,,,
1982,191,191,213,1954,,,
1983,178,178,214,1955,,,
1984,180,180,214,1956,,,
1985,181,181,214,1957,,,
1986,183,183,213,1958,,,
1987,180,180,212,1959,,,
1988,181,181,211.8,1960,,,
1989,179,179,209.3,1961,,,
1990,178,178,208.2,1962,,,
1991,177,177,206.8,1963,,,
1992,173,173,204.6,1964,,,
1993,166,166,203.6,1965,,,
1994,166,166,202.1,1966,,,
1995,171,171,201.7,1967,,,
1996,173,173,201.3,1968,,,
1997,173,173,200.3,1969,,,
1998,176,176,200.5,1970,,,
1999,179,179,199.4,1971,,,
2000,187,187,199.2,1972,,,
2001,188,188,200.2,1973,,,
2002,186,186,201.7,1974,,,
2003,187,187,203.3,1975,,,
2004,190,190,203.9,1976,,,
2005,192,192,205.8,1977,,,
2006,198,198,206.2,1978,,,
2007,196,196,207.3999999999999,1979,,,
2008,199,199,205.3999999999999,1980,,,
2009,199,199,205.8,1981,,,
2010,202,202,205.8999999999999,1982,,,
2011,200,200,205.5000000000001,1983,,,
2012,199,199,205.2,1984,,,
2013,197,197,206.367387166465,1985,Projection,,
2014,197,197,204.690214510358,1986,Projection,,
2015,193,193,202.147266545983,1987,Projection,,
2016,189,189,199.383841590421,1988,Projection,,
2017,186,186,196.226014292905,1989,Projection,,
2018,184,184,192.948532813333,1990,Projection,,
2019,183,183,189.120462357483,1991,Projection,,
2020,178,178,185.359445674947,1992,Projection,,
2021,178.7,178.7,182.322425323544,1993,Projection,,
2022,174.2,174.2,179.760618890106,1994,Projection,Provisoire,Provisional
2023,162.1,162.1,177.078617727109,1995,Projection,Provisoire,Provisional
2024,159.2,159.2,,,,Provisoire,Provisional
