annee,n,indic,indicEn,pop,popEn,provisoire,provisoireEn
2024,7726,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,Provisoire,Provisional
2023,7292,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,Provisoire,Provisional
2022,7029,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2021,6932,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2020,6847,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2019,6734,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2018,6579,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2017,6449,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2016,6291,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2015,6169,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2014,6028,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2013,5835,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2012,5714,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2011,5605,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2010,5514,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2009,5433,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2008,5342,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2007,5252,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2006,5136,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1999,4374,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1990,4222,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1982,4037,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1975,3887,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1968,3238,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1962,2861,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1954,2293,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1946,1986,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1936,2326,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1931,2729,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1926,2288,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
1921,1429,Nombre (en milliers),Number (in thousands),Immigrés,Immigrants,,
2024,11.3,Part dans la population totale (%),% of total population,Immigrés,Immigrants,Provisoire,Provisional
2023,10.7,Part dans la population totale (%),% of total population,Immigrés,Immigrants,Provisoire,Provisional
2022,10.3,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2021,10.2,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2020,10.2,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2019,10,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2018,9.800000000000001,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2017,9.699999999999999,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2016,9.4,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2015,9.300000000000001,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2014,9.1,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2013,8.9,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2012,8.800000000000001,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2011,8.6,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2010,8.5,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2009,8.4,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2008,8.4,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2007,8.300000000000001,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2006,8.1,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1999,7.3,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1990,7.3,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
