annee,type,typeEn,n,p,provisoire,provisoireEn
1990,Mariages sexes différents,Different-sex marriages,294690,,,
1991,Mariages sexes différents,Different-sex marriages,287897,,,
1992,Mariages sexes différents,Different-sex marriages,279338,,,
1993,Mariages sexes différents,Different-sex marriages,262696,,,
1994,Mariages sexes différents,Different-sex marriages,260866,,,
1995,Mariages sexes différents,Different-sex marriages,261813,,,
1996,Mariages sexes différents,Different-sex marriages,287144,,,
1997,Mariages sexes différents,Different-sex marriages,291163,,,
1998,Mariages sexes différents,Different-sex marriages,278525,,,
1999,Mariages sexes différents,Different-sex marriages,293544,,,
2000,Mariages sexes différents,Different-sex marriages,305234,,,
2001,Mariages sexes différents,Different-sex marriages,295720,,,
2002,Mariages sexes différents,Different-sex marriages,286169,,,
2003,Mariages sexes différents,Different-sex marriages,282756,,,
2004,Mariages sexes différents,Different-sex marriages,278439,,,
2005,Mariages sexes différents,Different-sex marriages,283036,,,
2006,Mariages sexes différents,Different-sex marriages,273914,,,
2007,Mariages sexes différents,Different-sex marriages,273669,,,
2008,Mariages sexes différents,Different-sex marriages,265404,,,
2009,Mariages sexes différents,Different-sex marriages,251478,,,
2010,Mariages sexes différents,Different-sex marriages,251654,,,
2011,Mariages sexes différents,Different-sex marriages,236826,,,
2012,Mariages sexes différents,Different-sex marriages,245930,,,
2013,Mariages sexes différents,Different-sex marriages,231225,,,
2014,Mariages sexes différents,Different-sex marriages,230770,,,
2015,Mariages sexes différents,Different-sex marriages,228565,,,
2016,Mariages sexes différents,Different-sex marriages,225612,,,
2017,Mariages sexes différents,Different-sex marriages,226671,,,
2018,Mariages sexes différents,Different-sex marriages,228349,,,
2019,Mariages sexes différents,Different-sex marriages,218468,,,
2020,Mariages sexes différents,Different-sex marriages,149983,,,
2021,Mariages sexes différents,Different-sex marriages,212413,,,
2022,Mariages sexes différents,Different-sex marriages,234841,,,
2023,Mariages sexes différents,Different-sex marriages,234466,,,
2024,Mariages sexes différents,Different-sex marriages,240000,,Provisoire,Provisional
2013,Ensemble des mariages,All marriages,238592,3.087697827253219,,
2014,Ensemble des mariages,All marriages,241292,4.360691610165278,,
2015,Ensemble des mariages,All marriages,236316,3.279930262868363,,
2016,Ensemble des mariages,All marriages,232725,3.056397035127296,,
2017,Ensemble des mariages,All marriages,233915,3.096851420387748,,
2018,Ensemble des mariages,All marriages,234735,2.720514622872601,,
2019,Ensemble des mariages,All marriages,224740,2.79078045741746,,
2020,Ensemble des mariages,All marriages,154581,2.974492337350645,,
2021,Ensemble des mariages,All marriages,218819,2.927533715079587,,
2022,Ensemble des mariages,All marriages,241710,2.841835257126308,,
2023,Ensemble des mariages,All marriages,241080,2.743487638958022,,
2024,Ensemble des mariages,All marriages,247000,2.834008097165992,Provisoire,Provisional
1999,Ensemble des Pacs,All Civil union (Pacs),6151,42.26954966672086,,
2000,Ensemble des Pacs,All Civil union (Pacs),22271,24.30066005118764,,
2001,Ensemble des Pacs,All Civil union (Pacs),19629,16.92903357277498,,
2002,Ensemble des Pacs,All Civil union (Pacs),25305,14.31337680300336,,
2003,Ensemble des Pacs,All Civil union (Pacs),31570,13.60152043078872,,
2004,Ensemble des Pacs,All Civil union (Pacs),40080,12.53243512974052,,
2005,Ensemble des Pacs,All Civil union (Pacs),60462,8.046376236313717,,
2006,Ensemble des Pacs,All Civil union (Pacs),77347,6.556168952900565,,
2007,Ensemble des Pacs,All Civil union (Pacs),101992,6.098517530786729,,
2008,Ensemble des Pacs,All Civil union (Pacs),145938,5.59963820252436,,
2009,Ensemble des Pacs,All Civil union (Pacs),174584,4.806855152820419,,
2010,Ensemble des Pacs,All Civil union (Pacs),205561,4.454152295425689,,
2011,Ensemble des Pacs,All Civil union (Pacs),152169,4.899158172821008,,
2012,Ensemble des Pacs,All Civil union (Pacs),160639,4.310285796101819,,
2013,Ensemble des Pacs,All Civil union (Pacs),168682,3.600265588503812,,
