annee,hommesTx,femmesTx,HommesAge,FemmesAge
1946,1.64,1.52,27.4,24.3
1947,1.25,1.21,27.2,24.0
1948,1.05,1.03,26.9,23.8
1949,0.96,0.96,26.5,23.5
1950,0.92,0.94,26.2,23.3
1951,0.88,0.91,26.2,23.3
1952,0.86,0.89,26.1,23.2
1953,0.85,0.89,26.0,23.2
1954,0.87,0.92,26.0,23.2
1955,0.87,0.93,26.0,23.2
1956,0.81,0.87,26.1,23.4
1957,0.87,0.94,26.0,23.3
1958,0.88,0.96,26.0,23.2
1959,0.92,1.01,25.8,23.1
1960,0.93,1.03,25.7,23.1
1961,0.92,1.02,25.7,23.0
1962,0.93,1.02,25.5,23.0
1963,1.01,1.07,25.1,22.8
1964,1.03,1.05,25.0,22.7
1965,1.01,0.99,24.9,22.7
1966,0.97,0.92,24.9,22.7
1967,0.89,0.89,24.9,22.7
1968,0.92,0.88,24.8,22.7
1969,0.93,0.91,24.8,22.7
1970,0.92,0.92,24.7,22.6
1971,0.91,0.94,24.6,22.6
1972,0.92,0.95,24.6,22.5
1973,0.87,0.91,24.5,22.5
1974,0.85,0.89,24.6,22.5
1975,0.82,0.86,24.6,22.5
1976,0.79,0.82,24.7,22.6
1977,0.77,0.80,24.8,22.7
1978,0.74,0.76,25.0,22.8
1979,0.70,0.73,25.0,22.9
1980,0.69,0.71,25.1,23.0
1981,0.64,0.66,25.3,23.1
1982,0.63,0.65,25.5,23.3
1983,0.61,0.62,25.7,23.6
1984,0.56,0.57,25.9,23.9
1985,0.53,0.54,26.3,24.2
1986,0.52,0.53,26.5,24.5
1987,0.51,0.52,26.8,24.8
1988,0.52,0.53,27.1,25.0
1989,0.54,0.55,27.3,25.3
1990,0.55,0.56,27.6,25.6
1991,0.54,0.55,27.8,25.8
1992,0.52,0.53,28.1,26.1
1993,0.49,0.50,28.4,26.4
1994,0.48,0.50,28.7,26.7
1995,0.49,0.50,28.9,26.9
1996,0.53,0.55,29.4,27.4
1997,0.54,0.56,29.6,27.6
1998,0.52,0.54,29.8,27.7
1999,0.56,0.58,29.9,27.8
2000,0.58,0.60,30.2,28.0
2001,0.57,0.60,30.2,28.1
2002,0.56,0.57,30.4,28.3
2003,0.55,0.56,30.6,28.5
2004,0.54,0.55,30.8,28.8
2005,0.54,0.55,31.1,29.1
2006,0.52,0.53,31.2,29.2
2007,0.52,0.53,31.4,29.5
2008,0.50,0.51,31.6,29.6
2009,0.47,0.48,31.7,29.8
2010,0.47,0.48,31.8,30.0
2011,0.44,0.45,31.9,30.1
2012,0.47,0.47,32.0,30.2
2013,0.44,0.45,32.4,30.6
2014,0.45,0.45,32.6,30.9
2015,0.44,0.45,32.7,31.0
2016,0.43,0.44,32.9,31.2
2017,0.43,0.44,33.0,31.4
2018,0.43,0.44,33.2,31.6
2019,0.42,0.43,33.2,31.6
2020,0.28,0.29,33.1,31.5
2021 (p),0.40,0.42,33.5,31.9
2022 (p),0.44,0.45,33.8,32.3
