annee,mariageSexeDiff,mariagesTot,pacsTot,pacsSexeDiff
1990,294690,,,
1991,287897,,,
1992,279338,,,
1993,262696,,,
1994,260866,,,
1995,261813,,,
1996,287144,,,
1997,291163,,,
1998,278525,,,
1999,293544,,6151,3551
2000,305234,,22271,16859
2001,295720,,19629,16306
2002,286169,,25305,21683
2003,282756,,31570,27276
2004,278439,,40080,35057
2005,283036,,60462,55597
2006,273914,,77347,72276
2007,273669,,101992,95772
2008,265404,,145938,137766
2009,251478,,174584,166192
2010,251654,,205561,196405
2011,236826,,152169,144714
2012,245930,,160639,153715
2013,231225,238592,168682,162609
2014,230770,241292,173731,167469
2015,228565,236316,188947,181930
2016,225612,232725,191537,184425
2017,226671,233915,195633,188233
2018,228349,234735,208 871 *,200 282 *
2019,218468,224740,196 370 *,188 014 *
2020,149983,154581,173 894 *,165 911 *
2021,212413,218819,209 461 *,199 651 *
2022,234841,241710,209 827 *,199 477 *
2023,234466,241080,204 061 *,193 434 *
2024*,240000,247000,,
