annee,n,type,typeEn
1925,695.6,Infectueuses et respiratoires,Infectiouses and respiratories
1926,715.3,Infectueuses et respiratoires,Infectiouses and respiratories
1927,749.3,Infectueuses et respiratoires,Infectiouses and respiratories
1928,692.1,Infectueuses et respiratoires,Infectiouses and respiratories
1929,808.4,Infectueuses et respiratoires,Infectiouses and respiratories
1930,608.9,Infectueuses et respiratoires,Infectiouses and respiratories
1931,665.5,Infectueuses et respiratoires,Infectiouses and respiratories
1932,600.9,Infectueuses et respiratoires,Infectiouses and respiratories
1933,609.4,Infectueuses et respiratoires,Infectiouses and respiratories
1934,534.7,Infectueuses et respiratoires,Infectiouses and respiratories
1935,555.2,Infectueuses et respiratoires,Infectiouses and respiratories
1936,527.4,Infectueuses et respiratoires,Infectiouses and respiratories
1937,496.8,Infectueuses et respiratoires,Infectiouses and respiratories
1938,500,Infectueuses et respiratoires,Infectiouses and respiratories
1939,495.1,Infectueuses et respiratoires,Infectiouses and respiratories
1940,638.1,Infectueuses et respiratoires,Infectiouses and respiratories
1941,526.1,Infectueuses et respiratoires,Infectiouses and respiratories
1942,520.7,Infectueuses et respiratoires,Infectiouses and respiratories
1943,497.2,Infectueuses et respiratoires,Infectiouses and respiratories
1944,515.4,Infectueuses et respiratoires,Infectiouses and respiratories
1945,494,Infectueuses et respiratoires,Infectiouses and respiratories
1946,356.9,Infectueuses et respiratoires,Infectiouses and respiratories
1947,313.7,Infectueuses et respiratoires,Infectiouses and respiratories
1948,267.6,Infectueuses et respiratoires,Infectiouses and respiratories
1949,330.4,Infectueuses et respiratoires,Infectiouses and respiratories
1950,248.8,Infectueuses et respiratoires,Infectiouses and respiratories
1951,287.4,Infectueuses et respiratoires,Infectiouses and respiratories
1952,210.2,Infectueuses et respiratoires,Infectiouses and respiratories
1953,257.3,Infectueuses et respiratoires,Infectiouses and respiratories
1954,184,Infectueuses et respiratoires,Infectiouses and respiratories
1955,180,Infectueuses et respiratoires,Infectiouses and respiratories
1956,185.7,Infectueuses et respiratoires,Infectiouses and respiratories
1957,189.2,Infectueuses et respiratoires,Infectiouses and respiratories
1958,140.9,Infectueuses et respiratoires,Infectiouses and respiratories
1959,147.2,Infectueuses et respiratoires,Infectiouses and respiratories
1960,157.5,Infectueuses et respiratoires,Infectiouses and respiratories
1961,113.8,Infectueuses et respiratoires,Infectiouses and respiratories
1962,134.5,Infectueuses et respiratoires,Infectiouses and respiratories
1963,141.3,Infectueuses et respiratoires,Infectiouses and respiratories
1964,100.9,Infectueuses et respiratoires,Infectiouses and respiratories
1965,119.4,Infectueuses et respiratoires,Infectiouses and respiratories
1966,94.59999999999999,Infectueuses et respiratoires,Infectiouses and respiratories
1967,98.40000000000001,Infectueuses et respiratoires,Infectiouses and respiratories
1968,106.9,Infectueuses et respiratoires,Infectiouses and respiratories
1969,115.1,Infectueuses et respiratoires,Infectiouses and respiratories
1970,87,Infectueuses et respiratoires,Infectiouses and respiratories
1971,85.2,Infectueuses et respiratoires,Infectiouses and respiratories
1972,81.7,Infectueuses et respiratoires,Infectiouses and respiratories
1973,90.8,Infectueuses et respiratoires,Infectiouses and respiratories
1974,80.3,Infectueuses et respiratoires,Infectiouses and respiratories
1975,78.8,Infectueuses et respiratoires,Infectiouses and respiratories
1976,80.90000000000001,Infectueuses et respiratoires,Infectiouses and respiratories
1977,71.09999999999999,Infectueuses et respiratoires,Infectiouses and respiratories
1978,75.2,Infectueuses et respiratoires,Infectiouses and respiratories
1979,64.2,Infectueuses et respiratoires,Infectiouses and respiratories
1980,65.5,Infectueuses et respiratoires,Infectiouses and respiratories
1981,71.2,Infectueuses et respiratoires,Infectiouses and respiratories
1982,61.1,Infectueuses et respiratoires,Infectiouses and respiratories
1983,68.8,Infectueuses et respiratoires,Infectiouses and respiratories
1984,59.3,Infectueuses et respiratoires,Infectiouses and respiratories
1985,63.9,Infectueuses et respiratoires,Infectiouses and respiratories
1986,65.5,Infectueuses et respiratoires,Infectiouses and respiratories
1987,56.9,Infectueuses et respiratoires,Infectiouses and respiratories
1988,57.4,Infectueuses et respiratoires,Infectiouses and respiratories
1989,60.1,Infectueuses et respiratoires,Infectiouses and respiratories
