année,hommes,femmes,tot,donnees,infos,donneesEn,infosEn
1745,23.8,25.7,24.75,Données décennales,,Decadal data,
1755,27.1,28.7,27.9,Données décennales,,Decadal data,
1765,26.4,29,27.7,Données décennales,,Decadal data,
1775,28.2,29.6,28.9,Données décennales,,Decadal data,
1785,27.5,28.1,27.8,Données décennales,,Decadal data,
1795,,32.1,,Données décennales,,Decadal data,
1806,32.79999923706055,34.90000152587891,33.85000038146973,,,,
1807,32,34.90000152587891,33.45000076293945,,,,
1808,31.20000076293945,34.90000152587891,33.05000114440918,,,,
1809,31.29999923706055,34.90000152587891,33.10000038146973,,,,
1810,35.29999923706055,39.70000076293945,37.5,,,,
1811,34,38.40000152587891,36.20000076293945,,,,
1812,24.29999923706055,39.5,31.89999961853027,,Guerres napoléoniennes,,Napoleonic Wars
1813,23.79999923706055,38.90000152587891,31.35000038146973,,Guerres napoléoniennes,,Napoleonic Wars
1814,23.79999923706055,36.70000076293945,30.25,,Guerres napoléoniennes,,Napoleonic Wars
1815,34.20000076293945,39,36.60000038146973,,,,
1816,38.90000152587891,41,39.95000076293945,,,,
1817,37.70000076293945,39.79999923706055,38.75,,,,
1818,37.70000076293945,38.70000076293945,38.20000076293945,,,,
1819,36.5,37.79999923706055,37.14999961853027,,,,
1820,38,39.5,38.75,,,,
1821,38.59999847412109,39.79999923706055,39.19999885559082,,,,
1822,37.29999923706055,38.70000076293945,38,,,,
1823,39,40.90000152587891,39.95000076293945,,,,
1824,38.20000076293945,39.90000152587891,39.05000114440918,,,,
1825,37.40000152587891,38.40000152587891,37.90000152587891,,,,
1826,36.59999847412109,37.70000076293945,37.14999961853027,,,,
1827,38.40000152587891,39.90000152587891,39.15000152587891,,,,
1828,36.59999847412109,38.09999847412109,37.34999847412109,,,,
1829,38.5,40.09999847412109,39.29999923706055,,,,
1830,38.29999923706055,39.90000152587891,39.10000038146973,,,,
1831,38.20000076293945,40,39.10000038146973,,,,
1832,34.79999923706055,36.20000076293945,35.5,,,,
1833,38,39.5,38.75,,,,
1834,34.09999847412109,35.59999847412109,34.84999847412109,,,,
1835,38.20000076293945,40.20000076293945,39.20000076293945,,,,
1836,40.59999847412109,42.29999923706055,41.44999885559082,,,,
1837,38.5,39.70000076293945,39.10000038146973,,,,
1838,38.5,39.79999923706055,39.14999961853027,,,,
1839,40.20000076293945,41.40000152587891,40.80000114440918,,,,
1840,39.09999847412109,40.70000076293945,39.89999961853027,,,,
1841,39.09999847412109,41.29999923706055,40.19999885559082,,,,
1842,38.79999923706055,40.70000076293945,39.75,,,,
1843,39.90000152587891,41.29999923706055,40.60000038146973,,,,
1844,41.5,42.79999923706055,42.14999961853027,,,,
1845,42.59999847412109,43.90000152587891,43.25,,,,
1846,39.40000152587891,40.79999923706055,40.10000038146973,,,,
1847,39.29999923706055,40.90000152587891,40.10000038146973,,,,
1848,39.29999923706055,41,40.14999961853027,,,,
1849,35.09999847412109,36.70000076293945,35.89999961853027,,,,
1850,42.40000152587891,43.79999923706055,43.10000038146973,,,,
1851,40.70000076293945,42,41.35000038146973,,,,
1852,40.40000152587891,41.59999847412109,41,,,,
1853,41.5,42.90000152587891,42.20000076293945,,,,
1854,34.79999923706055,36.59999847412109,35.69999885559082,,,,
1855,35,39,37,,,,
1856,38.5,40.90000152587891,39.70000076293945,,,,
1857,38.70000076293945,39.90000152587891,39.30000114440918,,,,
1858,39.20000076293945,39.90000152587891,39.55000114440918,,,,
1859,34.40000152587891,35.70000076293945,35.05000114440918,,,,
1860,42.40000152587891,43.59999847412109,43,,,,
1861,39.09999847412109,40.29999923706055,39.69999885559082,,,,
1862,41.79999923706055,43,42.39999961853027,,,,
1863,40.79999923706055,42.09999847412109,41.44999885559082,,,,
1864,41,42.5,41.75,,,,
1865,38.70000076293945,40.29999923706055,39.5,,,,
1866,40.5,42.09999847412109,41.29999923706055,,,,
1867,41.20000076293945,42.79999923706055,42,,,,
1868,39,40.79999923706055,39.89999961853027,,,,
1869,40,42,41,,,,
1870,33.70000076293945,37.70000076293945,35.70000076293945,,Guerre de 1870,,War of 1870
1871,26.29999923706055,31.70000076293945,29,,Guerre de 1870,,War of 1870
1872,41.79999923706055,44,42.89999961853027,,,,
1873,40.40000152587891,42.40000152587891,41.40000152587891,,,,
1874,42.59999847412109,44.79999923706055,43.69999885559082,,,,
1875,41,43.20000076293945,42.10000038146973,,,,
1876,41.59999847412109,44.09999847412109,42.84999847412109,,,,
1877,43,45,44,,,,
1878,42,44.09999847412109,43.04999923706055,,,,
1879,42.79999923706055,45,43.89999961853027,,,,
1880,41,43.20000076293945,42.10000038146973,,,,
1881,41.79999923706055,44.29999923706055,43.04999923706055,,,,
1882,41.70000076293945,44.29999923706055,43,,,,
1883,41.90000152587891,44.40000152587891,43.15000152587891,,,,
1884,41,43.70000076293945,42.35000038146973,,,,
1885,42.20000076293945,44.90000152587891,43.55000114440918,,,,
1886,41.20000076293945,43.90000152587891,42.55000114440918,,,,
1887,42.29999923706055,44.79999923706055,43.54999923706055,,,,
1888,42.40000152587891,45.5,43.95000076293945,,,,
1889,44,46.90000152587891,45.45000076293945,,,,
1890,41.29999923706055,44.29999923706055,42.79999923706055,,,,
1891,42.20000076293945,45.20000076293945,43.70000076293945,,,,
1892,41.90000152587891,44.79999923706055,43.35000038146973,,,,
1893,42,45.20000076293945,43.60000038146973,,,,
1894,43.90000152587891,47.20000076293945,45.55000114440918,,,,
1895,42.70000076293945,46.20000076293945,44.45000076293945,,,,
1896,45.40000152587891,48.70000076293945,47.05000114440918,,,,
1897,46.20000076293945,49.29999923706055,47.75,,,,
1898,44.5,47.40000152587891,45.95000076293945,,,,
1899,43.70000076293945,47.09999847412109,45.39999961853027,,,,
1900,43.40000152587891,47,45.20000076293945,,,,
1901,45.40000152587891,49,47.20000076293945,,,,
1902,46.40000152587891,49.90000152587891,48.15000152587891,,,,
1903,46.79999923706055,50.20000076293945,48.5,,,,
1904,46.5,49.79999923706055,48.14999961853027,,,,
1905,46.70000076293945,50.29999923706055,48.5,,,,
1906,46,49.70000076293945,47.85000038146973,,,,
1907,46.5,50.29999923706055,48.39999961853027,,,,
1908,47.5,51.40000152587891,49.45000076293945,,,,
1909,48.09999847412109,52.09999847412109,50.09999847412109,,,,
1910,49.5,53.40000152587891,51.45000076293945,,,,
1911,46.29999923706055,50.09999847412109,48.19999885559082,,,,
1912,49.59999847412109,53.79999923706055,51.69999885559082,,,,
1913,49.40000152587891,53.5,51.45000076293945,,,,
1914,29.60000038146973,53.29999923706055,41.44999980926514,,Guerre de 1914-1918,,World War I 
1915,27.20000076293945,52.59999847412109,39.89999961853027,,Guerre de 1914-1918,,World War I 
1916,30.89999961853027,52.5,41.69999980926514,,Guerre de 1914-1918,,World War I 
1917,35.59999847412109,52,43.79999923706055,,Guerre de 1914-1918,,World War I 
1918,28.60000038146973,43.29999923706055,35.94999980926514,,Guerre de 1914-1918,,World War I 
1919,43.70000076293945,50.29999923706055,47,,,,
1920,50.20000076293945,54,52.10000038146973,,,,
1921,50.70000076293945,54.79999923706055,52.75,,,,
1922,52.90000152587891,56.90000152587891,54.90000152587891,,,,
1923,52.59999847412109,56.70000076293945,54.64999961853027,,,,
1924,53,57.40000152587891,55.20000076293945,,,,
1925,52.09999847412109,56.70000076293945,54.39999961853027,,,,
1926,51.79999923706055,56.20000076293945,54,,,,
1927,53.70000076293945,57.79999923706055,55.75,,,,
1928,53.29999923706055,57.59999847412109,55.44999885559082,,,,
1929,51.90000152587891,56.5,54.20000076293945,,,,
1930,54.40000152587891,59.29999923706055,56.85000038146973,,,,
1931,54.5,59.20000076293945,56.85000038146973,,,,
1932,54.70000076293945,59.70000076293945,57.20000076293945,,,,
1933,55.09999847412109,60.20000076293945,57.64999961853027,,,,
1934,55.5,61.20000076293945,58.35000038146973,,,,
1935,55.40000152587891,61.09999847412109,58.25,,,,
1936,55.90000152587891,61.70000076293945,58.80000114440918,,,,
1937,56.09999847412109,62.09999847412109,59.09999847412109,,,,
1938,55.90000152587891,62,58.95000076293945,,,,
1939,56.5,62.59999847412109,59.54999923706055,,Guerre de 1939-1945,,World War II
1940,42.59999847412109,59,50.79999923706055,,Guerre de 1939-1945,,World War II
1941,53.90000152587891,61.20000076293945,57.55000114440918,,Guerre de 1939-1945,,World War II
1942,53.70000076293945,61.5,57.60000038146973,,Guerre de 1939-1945,,World War II
1943,48.90000152587891,58.09999847412109,53.5,,Guerre de 1939-1945,,World War II
1944,41.79999923706055,53.70000076293945,47.75,,Guerre de 1939-1945,,World War II
1945,51.29999923706055,58.59999847412109,54.94999885559082,,Guerre de 1939-1945,,World War II
1946,59.90000152587891,65.19999694824219,62.54999923706055,,,,
1947,61.20000076293945,66.69999694824219,63.94999885559082,,,,
1948,62.70000076293945,68.80000305175781,65.75000190734863,,,,
1949,62.20000076293945,67.59999847412109,64.89999961853027,,,,
1950,63.40000152587891,69.19999694824219,66.29999923706055,,,,
1951,63.09999847412109,68.90000152587891,66,,,,
1952,64.40000152587891,70.19999694824219,67.29999923706055,,,,
1953,64.30000305175781,70.30000305175781,67.30000305175781,,,,
1954,65,71.19999694824219,68.09999847412109,,,,
1955,65.19999694824219,71.5,68.34999847412109,,,,
1956,65.19999694824219,71.69999694824219,68.44999694824219,,,,
1957,65.5,72.19999694824219,68.84999847412109,,,,
1958,66.80000305175781,73.19999694824219,70,,,,
1959,66.80000305175781,73.40000152587891,70.10000228881836,,,,
1960,67,73.59999847412109,70.29999923706055,,,,
1961,67.5,74.40000152587891,70.95000076293945,,,,
1962,67,73.90000152587891,70.45000076293945,,,,
1963,66.80000305175781,73.90000152587891,70.35000228881836,,,,
1964,67.69999694824219,74.80000305175781,71.25,,,,
1965,67.5,74.69999694824219,71.09999847412109,,,,
1966,67.80000305175781,75.19999694824219,71.5,,,,
1967,67.80000305175781,75.19999694824219,71.5,,,,
1968,67.80000305175781,75.19999694824219,71.5,,,,
1969,67.40000152587891,75.09999847412109,71.25,,,,
1970,68.40000152587891,75.90000152587891,72.15000152587891,,,,
1971,68.30000305175781,75.90000152587891,72.10000228881836,,,,
1972,68.5,76.19999694824219,72.34999847412109,,,,
1973,68.69999694824219,76.30000305175781,72.5,,,,
1974,68.90000152587891,76.69999694824219,72.79999923706055,,,,
1975,69,76.90000152587891,72.95000076293945,,,,
1976,69.19999694824219,77.19999694824219,73.19999694824219,,,,
1977,69.69999694824219,77.80000305175781,73.75,,,,
1978,69.80000305175781,78,73.90000152587891,,,,
1979,70.09999847412109,78.30000305175781,74.20000076293945,,,,
1980,70.19999694824219,78.40000152587891,74.29999923706055,,,,
1981,70.40000152587891,78.5,74.45000076293945,,,,
1982,70.69999694824219,78.90000152587891,74.79999923706055,,,,
1983,70.69999694824219,78.80000305175781,74.75,,,,
1984,71.19999694824219,79.30000305175781,75.25,,,,
1985,71.30000305175781,79.40000152587891,75.35000228881836,,,,
1986,71.5,79.69999694824219,75.59999847412109,,,,
1987,72,80.30000305175781,76.15000152587891,,,,
1988,72.30000305175781,80.5,76.40000152587891,,,,
1989,72.5,80.59999847412109,76.54999923706055,,,,
1990,72.69999694824219,81,76.84999847412109,,,,
1991,72.90000152587891,81.19999694824219,77.04999923706055,,,,
1992,73.19999694824219,81.5,77.34999847412109,,,,
1993,73.30000305175781,81.5,77.40000152587891,,,,
1994,73.69999694824219,81.90000152587891,77.79999923706055,,,,
1995,73.90000152587891,81.90000152587891,77.90000152587891,,,,
1996,74.09999847412109,82.09999847412109,78.09999847412109,,,,
1997,74.59999847412109,82.30000305175781,78.45000076293945,,,,
1998,74.80000305175781,82.40000152587891,78.60000228881836,,,,
1999,75,82.5,78.75,,,,
2000,75.30000305175781,82.80000305175781,79.05000305175781,,,,
2001,75.5,82.90000152587891,79.20000076293945,,,,
2002,75.80000305175781,83.09999847412109,79.45000076293945,,,,
2003,75.90000152587891,83,79.45000076293945,,,,
2004,76.69999694824219,83.90000152587891,80.29999923706055,,,,
2005,76.80000305175781,83.90000152587891,80.35000228881836,,,,
2006,77.19999694824219,84.19999694824219,80.69999694824219,,,,
2007,77.40000152587891,84.40000152587891,80.90000152587891,,,,
2008,77.59999847412109,84.40000152587891,81,,,,
2009,77.80000305175781,84.5,81.15000152587891,,,,
2010,78,84.69999694824219,81.34999847412109,,,,
2011,78.40000152587891,85,81.70000076293945,,,,
2012,78.5,84.80000305175781,81.65000152587891,,,,
2013,78.80000305175781,85,81.90000152587891,,,,
2014,79.30000305175781,85.40000152587891,82.35000228881836,,,,
2015,79,85.09999847412109,82.04999923706055,,,,
2016,79.30000305175781,85.30000305175781,82.30000305175781,,,,
2017,79.5,85.40000152587891,82.45000076293945,,,,
2018,79.59999847412109,85.5,82.54999923706055,,,,
2019,79.80000305175781,85.59999847412109,82.70000076293945,,,,
2020,79.19999694824219,85.19999694824219,82.19999694824219,,,,
2021,79.30000305175781,85.30000305175781,82.30000305175781,,,,
2022,79.27,85.08,82.175,Données provisoires,,Provisional data,
2023,79.93000000000001,85.56999999999999,82.75,Données provisoires,,Provisional data,
2024,80.04000000000001,85.59999999999999,82.81999999999999,Données provisoires,,Provisional data,
