age,sH,eH,sF,eF,sTot,eTot
0,100000,79.2,100000,85.14,100000,82.09
1,99581,78.5,99650,84.44,99615,81.40000000000001
5,99510,74.59999999999999,99590,80.48999999999999,99549,77.45999999999999
10,99466,69.59999999999999,99557,75.51000000000001,99511,72.48999999999999
15,99415,64.59999999999999,99518,70.54000000000001,99465,67.52
20,99255,59.7,99443,65.59,99347,62.59
25,98964,54.9,99334,60.66,99144,57.72
30,98623,50.1,99206,55.74,98908,52.85
35,98193,45.3,99025,50.83,98599,48.01
40,97589,40.6,98757,45.96,98159,43.21
45,96725,35.9,98327,41.15,97507,38.48
50,95387,31.4,97632,36.43,96482,33.86
55,93267,27,96498,31.82,94844,29.4
60,90058,22.9,94834,27.33,92389,25.11
65,85228,19,92375,22.99,88716,21.04
70,78574,15.4,88906,18.79,83616,17.16
75,69977,12,83937,14.74,76790,13.46
80,58390,8.800000000000001,76148,10.97,67056,10.02
85,42813,6.1,63175,7.67,52750,7.02
90,23612,4,42941,5.04,33044,4.67
95,7519,2.7,19097,3.27,13169,3.1
99,1703,2.1,6127,2.4,3862,2.34
100,1083,2.1,4257,2.23,2632,2.2
101,657,2.1,2832,2.1,1719,2.11
102,381,2.3,1815,2,1081,2.05
103,222,2.6,1120,1.93,660,2.04
104,132,3,664,1.91,392,2.1
