age,hommes,femmes
0,412,350
1,67,53
2,30,20
3,16,13
4,13,11
5,11,11
6,7,6
7,8,12
8,6,5
9,11,7
10,7,8
11,9,7
12,10,7
13,13,7
14,14,14
15,13,14
16,20,14
17,30,14
18,39,13
19,46,25
20,51,29
21,54,22
22,64,23
23,58,21
24,61,21
25,57,25
26,58,25
27,76,26
28,74,18
29,74,34
30,81,29
31,78,30
32,78,30
33,79,34
34,90,36
35,95,35
36,107,49
37,113,57
38,121,55
39,129,56
40,141,66
41,159,68
42,174,87
43,167,92
44,204,93
45,227,104
46,215,122
47,253,126
48,269,144
49,283,141
50,324,167
51,346,194
52,399,214
53,441,215
54,456,237
55,513,257
56,578,279
57,610,322
58,651,353
59,721,365
60,764,405
61,832,443
62,895,485
63,999,525
64,1105,592
65,1210,605
66,1296,622
67,1432,696
68,1564,758
69,1661,838
70,1775,901
71,1910,946
72,2030,1052
73,2192,1124
74,2385,1223
75,2538,1328
76,2705,1506
77,2992,1617
78,3401,1872
79,3660,2124
80,4111,2411
81,4461,2697
82,4991,3166
83,5538,3634
84,6484,4075
85,7273,4663
86,8190,5467
87,9085,6332
88,10441,7234
89,11896,8466
90,13551,9894
91,15459,11378
92,17378,12880
93,18934,14619
94,22451,16415
95,24224,19239
96,27955,21299
97,31310,24127
98,33010,27008
99,37403,29370
100,37907,32059
