annee,n,cause,donnees,donneesEn,causeEn
1745,296,,Données décennales,decadal datas,
1755,277,,Données décennales,decadal datas,
1765,281.5,,Données décennales,decadal datas,
1775,273,,Données décennales,decadal datas,
1785,278,,Données décennales,decadal datas,
1795,254,,Données décennales,decadal datas,
1806,188.9730072021484,,,,
1807,199.1779937744141,,,,
1808,193.9539947509766,,,,
1809,183.22900390625,,,,
1810,185.3130035400391,,,,
1811,188.4019927978516,,,,
1812,181.1640014648438,,,,
1813,185.1759948730469,,,,
1814,200.8099975585938,,,,
1815,187.0559997558594,,,,
1816,177.3619995117188,,,,
1817,178.8780059814453,,,,
1818,180.8739929199219,,,,
1819,189.2319946289063,,,,
1820,183.8730010986328,,,,
1821,184.4929962158203,,,,
1822,197.7630004882813,,,,
1823,179.75,,,,
1824,189.8009948730469,,,,
1825,196.9010009765625,,,,
1826,194.3569946289063,,,,
1827,180.0650024414063,,,,
1828,187.7480010986328,,,,
1829,174.8919982910156,,,,
1830,181.1450042724609,,,,
1831,174.9360046386719,,,,
1832,181.6260070800781,,,,
1833,174.427001953125,,,,
1834,209.0399932861328,Cholera,,Cholera,
1835,174.9199981689453,,,,
1836,167.6900024414063,,,,
1837,167.9880065917969,,,,
1838,169.4080047607422,,,,
1839,159.2899932861328,,,,
1840,161.6069946289063,,,,
1841,157.5390014648438,,,,
1842,166.3190002441406,,,,
1843,156.3809967041016,,,,
1844,153.4459991455078,,,,
1845,144.0740051269531,,,,
1846,170.2330017089844,,,,
1847,158.5670013427734,,,,
1848,159.8650054931641,,,,
1849,172.6849975585938,,,,
1850,145.1580047607422,,,,
1851,162.5229949951172,,,,
1852,161.7940063476563,,,,
1853,148.4089965820313,,,,
1854,179.0180053710938,,,,
1855,174.0850067138672,,,,
1856,169.8410034179688,,,,
1857,184.35400390625,,,,
1858,176.9539947509766,,,,
1859,214.8150024414063,Cholera,,Cholera,
1860,149.1739959716797,,,,
1861,191.0829925537109,,,,
1862,162.2010040283203,,,,
1863,179.5650024414063,,,,
1864,173.0930023193359,,,,
1865,190.6730041503906,,,,
1866,161.5829925537109,,,,
1867,171.1020050048828,,,,
1868,190.3489990234375,,,,
1869,176.6529998779297,,,,
1870,205.7700042724609,,,,
1871,226.5670013427734,Suite de la guerre de 1870,,Franco-Prussian War of 1870,
1872,159.3789978027344,,,,
1873,177.6109924316406,,,,
1874,158.3869934082031,,,,
1875,169.3110046386719,,,,
1876,165.8670043945313,,,,
1877,156.8220062255859,,,,
1878,168.9779968261719,,,,
1879,157.3739929199219,,,,
1880,178.7279968261719,,,,
1881,166.1309967041016,,,,
1882,164.5910034179688,,,,
1883,164.7929992675781,,,,
1884,176.6190032958984,,,,
1885,160.5180053710938,,,,
1886,172.3880004882813,,,,
1887,160.0820007324219,,,,
1888,163.8489990234375,,,,
1889,154.9210052490234,,,,
1890,172.8470001220703,,,,
1891,162.0709991455078,,,,
1892,180.718994140625,,,,
1893,173.7010040283203,,,,
1894,156.3099975585938,,,,
1895,176.8029937744141,,,,
1896,149.0709991455078,,,,
1897,151.3459930419922,,,,
1898,167.6009979248047,,,,
1899,169.7339935302734,,,,
1900,163.3119964599609,,,,
1901,147.3379974365234,,,,
1902,139.4720001220703,,,,
1903,140.7310028076172,,,,
1904,148.4519958496094,,,,
1905,138.7209930419922,,,,
1906,146.2790069580078,,,,
1907,133.5359954833984,,,,
1908,132.4450073242188,,,,
1909,121.2959976196289,,,,
1910,114.3450012207031,,,,
1911,155.0890045166016,Eté très chaud,,Very hot summer,
1912,111.4749984741211,,,,
1913,116.1380004882813,,,,
1914,113.5739974975586,,,,
1915,111.6910018920898,,,,
1916,128.9980010986328,,,,
1917,134.7570037841797,,,,
1918,149.3890075683594,Grippe espagnole,,Spanish flu,
1919,141.4140014648438,,,,
1920,116.625,,,,
1921,118.8320007324219,,,,
1922,89.11399841308594,,,,
1923,100.1620025634766,,,,
1924,89.26399993896484,,,,
1925,92.78700256347656,,,,
1926,100.2350006103516,,,,
1927,87.16600036621094,,,,
1928,94.78399658203125,,,,
1929,98.51399993896484,,,,
1930,82.76200103759766,,,,
1931,78.43000030517578,,,,
1932,80.52999877929688,,,,
1933,77.43499755859375,,,,
1934,73.69899749755859,,,,
1935,71.24400329589844,,,,
1936,70.89600372314453,,,,
1937,69.52700042724609,,,,
1938,69.66600036621094,,,,
1939,68.21600341796875,,,,
1940,89.50199890136719,,,,
1941,79.59799957275391,,,,
1942,75.98000335693359,,,,
1943,80.91999816894531,,,,
1944,81.83300018310547,,,,
1945,112.5790023803711,Suite de la guerre de 1939-1945,,Continuation of the world war II,
1946,77.54900360107422,,,,
1947,70.08499908447266,,,,
1948,55.4739990234375,,,,
1949,59.30699920654297,,,,
1950,51.14599990844727,,,,
1951,49.76699829101563,,,,
1952,44.80099868774414,,,,
1953,41.21900177001953,,,,
1954,40.41799926757813,,,,
1955,38.07300186157227,,,,
1956,35.72100067138672,,,,
1957,33.33300018310547,,,,
1958,31.18199920654297,,,,
1959,29.08799934387207,,,,
1960,27.13899993896484,,,,
1961,25.39200019836426,,,,
1962,25.42499923706055,,,,
1963,25.26700019836426,,,,
1964,23.05999946594238,,,,
1965,21.54100036621094,,,,
1966,21.36899948120117,,,,
1967,20.43199920654297,,,,
1968,20.13299942016602,,,,
1969,19.39399909973145,,,,
1970,18.15200042724609,,,,
1971,17.00600051879883,,,,
1972,15.92000007629395,,,,
1973,15.11800003051758,,,,
1974,14.49400043487549,,,,
1975,13.46700000762939,,,,
1976,12.59000015258789,,,,
1977,11.57600021362305,,,,
1978,10.63399982452393,,,,
1979,10.16399955749512,,,,
1980,10.20300006866455,,,,
1981,9.779000282287598,,,,
1982,9.437999725341797,,,,
1983,9.053000450134277,,,,
1984,8.427000045776367,,,,
1985,8.375,,,,
1986,8.08899974822998,,,,
1987,7.853000164031982,,,,
1988,7.909999847412109,,,,
1989,7.583000183105469,,,,
1990,7.388000011444092,,,,
1991,7.298999786376953,,,,
1992,6.841000080108643,,,,
1993,6.460000038146973,,,,
1994,5.939000129699707,,,,
1995,4.909999847412109,,,,
1996,4.803999900817871,,,,
1997,4.754000186920166,,,,
1998,4.543000221252441,,,,
1999,4.342000007629395,,,,
2000,4.409999847412109,,,,
2001,4.460000038146973,,,,
2002,4.090000152587891,,,,
2003,4.010000228881836,,,,
2004,3.890000104904175,,,,
2005,3.579999923706055,,,,
2006,3.650000095367432,,,,
2007,3.589999914169312,,,,
2008,3.589999914169312,,,,
2009,3.660000085830688,,,,
2010,3.470000028610229,,,,
2011,3.279999971389771,,,,
2012,3.339999914169312,,,,
2013,3.470000028610229,,,,
2014,3.329999923706055,,,,
2015,3.490000009536743,,,,
2016,3.460000038146973,,,,
2017,3.609999895095825,,,,
2018,3.630000114440918,,,,
2019,3.559999942779541,,,,
2020,3.369999885559082,,,,
2021,3.430000066757202,,,,
2022,3.710000038146973,,,,
2023,3.740000009536743,,,,
2024,3.839999914169312,,,,
