pays,paysEn,edv,mortInf
Lettonie,Latvia,75.59999999999999,2.6
Bulgarie,Bulgaria,75.8,4.9
Roumanie,Romania,76.40000000000001,5.6
Hongrie,Hungary,76.7,3
Lituanie,Lithuania,77.59999999999999,2.8
Slovaquie,Slovakia,78.2,5.6
Pologne,Poland,78.40000000000001,3.9
Croatie,Croatia,78.59999999999999,3.9
Estonie,Estonia,79.09999999999999,1.7
Tchéquie,Czechia,79.90000000000001,2.2
Allemagne,Germany,81.09999999999999,3.2
Finlande,Finland,81.59999999999999,1.8
Danemark,Denmark,81.8,3.5
Grèce,Greece,81.8,3.4
Autriche,Austria,81.90000000000001,2.8
Pays-Bas,Netherlands,81.90000000000001,3.6
Slovénie,Slovenia,82,1.8
Belgique,Belgium,82.5,3.1
Portugal,Portugal,82.5,2.5
Chypre,Cyprus,82.90000000000001,4.5
Irlande,Ireland,82.90000000000001,3.2
France,France,83,4
Luxembourg,Luxembourg,83.40000000000001,4.3
Malte,Malta,83.40000000000001,3.6
Suède,Sweden,83.40000000000001,2.1
Italie,Italy,83.5,2.5
Espagne,Spain,84,2.6
