age,sH,eH,sF,eF,sTot,eTot
0,100000,79.2,100000,85.09999999999999,100000,78.5
1,99581,78.5,99650,78.5,99615,74.59999999999999
5,99510,74.59999999999999,99590,74.59999999999999,99549,69.59999999999999
10,99466,69.59999999999999,99557,69.59999999999999,99511,64.59999999999999
15,99415,64.59999999999999,99518,64.59999999999999,99465,59.7
20,99255,59.7,99443,59.7,99347,54.9
25,98964,54.9,99334,54.9,99144,50.1
30,98623,50.1,99206,50.1,98908,45.3
35,98193,45.3,99025,45.3,98599,40.6
40,97589,40.6,98757,40.6,98159,35.9
45,96725,35.9,98327,35.9,97507,31.4
50,95387,31.4,97632,31.4,96482,27
55,93267,27,96498,27,94844,22.9
60,90058,22.9,94834,22.9,92389,19
65,85228,19,92375,19,88716,15.4
70,78574,15.4,88906,15.4,83616,12
75,69977,12,83937,12,76790,8.800000000000001
80,58390,8.800000000000001,76148,8.800000000000001,67056,6.1
85,42813,6.1,63175,6.1,52750,4
90,23612,4,42941,4,33044,2.7
95,7519,2.7,19097,2.7,13169,2.1
99,1703,2.1,6127,2.1,3862,2.1
100,1083,2.1,4257,2.1,2632,2.1
101,657,2.1,2832,2.1,1719,2.3
102,381,2.3,1815,2.3,1081,2.6
103,222,2.6,1120,2.6,660,3
104,132,3,664,3,392,2.0978
