country,countryEn,year,page,rank,region,regionEn,cages,countryflag,countryflagEn,data
Mexique,Mexico,1950,44.15218353271484,1,Amérique,America,Moins de 15 ans,Mexique 🇲🇽,Mexico 🇲🇽,Observation
Corée du Sud,South Korea,1950,42.85117721557617,2,Asie,Asia,Moins de 15 ans,Corée du Sud 🇰🇷,South 🇰🇷 Korea,Observation
Turquie,Türkiye,1950,40.58729553222656,3,Turquie et Israel,Turkey and Israel,Moins de 15 ans,Turquie 🇹🇷,Turkey 🇹🇷,Observation
Japon,Japan,1950,35.2234001159668,4,Asie,Asia,Moins de 15 ans,Japon 🇯🇵,Japan 🇯🇵,Observation
Israel,Israel,1950,32.08168792724609,5,Turquie et Israel,Turkey and Israel,Moins de 15 ans,Israel 🇮🇱,Israel 🇮🇱,Observation
Russie,Russia,1950,30.28284645080566,6,Europe,Europe,Moins de 15 ans,Russie 🇷🇺,Russia 🇷🇺,Observation
Portugal,Portugal,1950,29.58623886108398,7,Europe,Europe,Moins de 15 ans,Portugal 🇵🇹,Portugal 🇵🇹,Observation
Irlande,Ireland,1950,28.6201000213623,8,Europe,Europe,Moins de 15 ans,Irlande 🇮🇪,Ireland 🇮🇪,Observation
Etats-Unis,United-States,1950,27.29302597045898,9,Amérique,America,Moins de 15 ans,Etats-Unis 🇺🇸,United States 🇺🇸,Observation
Italie,Italy,1950,26.64409637451172,10,Europe,Europe,Moins de 15 ans,Italie 🇮🇹,Italy 🇮🇹,Observation
Allemagne,Germany,1950,24.06886863708496,11,Europe,Europe,Moins de 15 ans,Allemagne 🇩🇪,Germany 🇩🇪,Observation
France,France,1950,22.71804237365723,12,Europe,Europe,Moins de 15 ans,France 🇫🇷,France 🇫🇷,Observation
France,France,1950,11.38432884216309,1,Europe,Europe,65 ans et plus,France 🇫🇷,France 🇫🇷,Observation
Irlande,Ireland,1950,10.96082782745361,2,Europe,Europe,65 ans et plus,Irlande 🇮🇪,Ireland 🇮🇪,Observation
Allemagne,Germany,1950,8.980990409851074,3,Europe,Europe,65 ans et plus,Allemagne 🇩🇪,Germany 🇩🇪,Observation
Italie,Italy,1950,8.09135913848877,4,Europe,Europe,65 ans et plus,Italie 🇮🇹,Italy 🇮🇹,Observation
Etats-Unis,United-States,1950,7.974687099456787,5,Amérique,America,65 ans et plus,Etats-Unis 🇺🇸,United States 🇺🇸,Observation
Portugal,Portugal,1950,7.025485515594482,6,Europe,Europe,65 ans et plus,Portugal 🇵🇹,Portugal 🇵🇹,Observation
Russie,Russia,1950,5.107194900512695,7,Europe,Europe,65 ans et plus,Russie 🇷🇺,Russia 🇷🇺,Observation
Japon,Japan,1950,4.898305416107178,8,Asie,Asia,65 ans et plus,Japon 🇯🇵,Japan 🇯🇵,Observation
Israel,Israel,1950,3.965062856674194,9,Turquie et Israel,Turkey and Israel,65 ans et plus,Israel 🇮🇱,Israel 🇮🇱,Observation
Turquie,Türkiye,1950,3.768801212310791,10,Turquie et Israel,Turkey and Israel,65 ans et plus,Turquie 🇹🇷,Turkey 🇹🇷,Observation
Mexique,Mexico,1950,3.000905513763428,11,Amérique,America,65 ans et plus,Mexique 🇲🇽,Mexico 🇲🇽,Observation
Corée du Sud,South Korea,1950,2.743365287780762,12,Asie,Asia,65 ans et plus,Corée du Sud 🇰🇷,South 🇰🇷 Korea,Observation
Mexique,Mexico,1951,44.47813034057617,1,Amérique,America,Moins de 15 ans,Mexique 🇲🇽,Mexico 🇲🇽,Observation
Corée du Sud,South Korea,1951,42.78314971923828,2,Asie,Asia,Moins de 15 ans,Corée du Sud 🇰🇷,South 🇰🇷 Korea,Observation
