age,j,c,structure
1,1,0,Personne vivant seule
1,2,.0004647955919011,Famille monoparentale
1,3,.0000598287549102,Famille monoparentale avec isolé(s)
1,4,0,Couple sans isolé sans enfant
1,5,2.69975284469e-06,Couple sans enfant avec isolé(s)
1,6,.0045335389466463,Couple sans isolé avec enfant
1,7,.0000807773691231,Couple avec enfant avec isolé(s)
1,8,.0001963982589027,Autre cas
1,9,.0000343947399485,Hors logement ordinaire
2,1,0,Personne vivant seule
2,2,.0005787227255369,Famille monoparentale
2,3,.0000633416971945,Famille monoparentale avec isolé(s)
2,4,0,Couple sans isolé sans enfant
2,5,3.33036192929e-06,Couple sans enfant avec isolé(s)
2,6,.0045105637506506,Couple sans isolé avec enfant
2,7,.0000803421240263,Couple avec enfant avec isolé(s)
2,8,.000184212599358,Autre cas
2,9,.0000314754094116,Hors logement ordinaire
3,1,0,Personne vivant seule
3,2,.0006936736025638,Famille monoparentale
3,3,.0000632848476276,Famille monoparentale avec isolé(s)
3,4,0,Couple sans isolé sans enfant
3,5,4.34282564443e-06,Couple sans enfant avec isolé(s)
3,6,.00458888500793,Couple sans isolé avec enfant
3,7,.0000825497822073,Couple avec enfant avec isolé(s)
3,8,.0001818330389152,Autre cas
3,9,.0000281903165819,Hors logement ordinaire
4,1,0,Personne vivant seule
4,2,.000786493304149,Famille monoparentale
4,3,.0000645941924143,Famille monoparentale avec isolé(s)
4,4,0,Couple sans isolé sans enfant
4,5,3.41443311420e-06,Couple sans enfant avec isolé(s)
4,6,.0046164764489157,Couple sans isolé avec enfant
4,7,.000087979216637,Couple avec enfant avec isolé(s)
4,8,.0001728820896475,Autre cas
4,9,.0000288428834357,Hors logement ordinaire
5,1,0,Personne vivant seule
5,2,.0008941323944204,Famille monoparentale
5,3,.0000660548352547,Famille monoparentale avec isolé(s)
5,4,0,Couple sans isolé sans enfant
5,5,4.56932153793e-06,Couple sans enfant avec isolé(s)
5,6,.0046639853913349,Couple sans isolé avec enfant
5,7,.0000888056408964,Couple avec enfant avec isolé(s)
5,8,.0001688257677727,Autre cas
5,9,.0000280176623417,Hors logement ordinaire
6,1,0,Personne vivant seule
6,2,.0009718928262105,Famille monoparentale
6,3,.0000674993857573,Famille monoparentale avec isolé(s)
6,4,0,Couple sans isolé sans enfant
6,5,5.09675918632e-06,Couple sans enfant avec isolé(s)
6,6,.0046560294598835,Couple sans isolé avec enfant
6,7,.0000878901823946,Couple avec enfant avec isolé(s)
6,8,.0001640880030736,Autre cas
6,9,.000028207160898,Hors logement ordinaire
7,1,0,Personne vivant seule
7,2,.0010428672545409,Famille monoparentale
7,3,.0000656386904092,Famille monoparentale avec isolé(s)
7,4,0,Couple sans isolé sans enfant
7,5,5.28610734695e-06,Couple sans enfant avec isolé(s)
7,6,.0046415373321962,Couple sans isolé avec enfant
7,7,.0000872030245345,Couple avec enfant avec isolé(s)
7,8,.000157825827766,Autre cas
7,9,.0000281239920872,Hors logement ordinaire
8,1,0,Personne vivant seule
8,2,.0011003936019919,Famille monoparentale
8,3,.0000709893175027,Famille monoparentale avec isolé(s)
8,4,0,Couple sans isolé sans enfant
8,5,5.58404118826e-06,Couple sans enfant avec isolé(s)
8,6,.0046544339121185,Couple sans isolé avec enfant
8,7,.0000857088434576,Couple avec enfant avec isolé(s)
8,8,.0001501240650131,Autre cas
8,9,.0000289409414188,Hors logement ordinaire
9,1,0,Personne vivant seule
9,2,.0011427919488223,Famille monoparentale
9,3,.000069970085982,Famille monoparentale avec isolé(s)
9,4,0,Couple sans isolé sans enfant
9,5,6.82540712776e-06,Couple sans enfant avec isolé(s)
9,6,.0046265828881899,Couple sans isolé avec enfant
9,7,.0000883324960884,Couple avec enfant avec isolé(s)
9,8,.0001521491428391,Autre cas
9,9,.0000299765660686,Hors logement ordinaire
10,1,0,Personne vivant seule
10,2,.0011897391633782,Famille monoparentale
10,3,.0000734909992374,Famille monoparentale avec isolé(s)
10,4,0,Couple sans isolé sans enfant
10,5,5.82888535466e-06,Couple sans enfant avec isolé(s)
10,6,.0045580442682864,Couple sans isolé avec enfant
10,7,.0000896058963076,Couple avec enfant avec isolé(s)
10,8,.0001489813586394,Autre cas
10,9,.0000299300938036,Hors logement ordinaire
11,1,0,Personne vivant seule
11,2,.0012313092812009,Famille monoparentale
11,3,.0000726812688983,Famille monoparentale avec isolé(s)
11,4,0,Couple sans isolé sans enfant
11,5,4.88635563055e-06,Couple sans enfant avec isolé(s)
11,6,.0045180105927266,Couple sans isolé avec enfant
11,7,.0000938854053709,Couple avec enfant avec isolé(s)
11,8,.0001496214426519,Autre cas
11,9,.0000293546799334,Hors logement ordinaire
12,1,0,Personne vivant seule
12,2,.0012573582640965,Famille monoparentale
12,3,.0000757275333888,Famille monoparentale avec isolé(s)
12,4,0,Couple sans isolé sans enfant
12,5,7.45992650004e-06,Couple sans enfant avec isolé(s)
12,6,.0044652618648297,Couple sans isolé avec enfant
12,7,.0000902631254275,Couple avec enfant avec isolé(s)
12,8,.0001497919913525,Autre cas
12,9,.0000318895991133,Hors logement ordinaire
13,1,0,Personne vivant seule
13,2,.0013165377608578,Famille monoparentale
13,3,.0000753632750528,Famille monoparentale avec isolé(s)
