age,j,c,structure
1,1,0,Personne vivant seule
1,2,-.0004806035313892,Famille monoparentale
1,3,-.0000622755422218,Famille monoparentale avec isolé(s)
1,4,0,Couple sans isolé sans enfant
1,5,-2.97978960012e-06,Couple sans enfant avec isolé(s)
1,6,-.0047080001909297,Couple sans isolé avec enfant
1,7,-.000084086826053,Couple avec enfant avec isolé(s)
1,8,-.0002099245455355,Autre cas
1,9,-.0000366245062944,Hors logement ordinaire
2,1,0,Personne vivant seule
2,2,-.0005861934805259,Famille monoparentale
2,3,-.000060829638158,Famille monoparentale avec isolé(s)
2,4,0,Couple sans isolé sans enfant
2,5,-3.53429847085e-06,Couple sans enfant avec isolé(s)
2,6,-.0046998123493404,Couple sans isolé avec enfant
2,7,-.0000852129889019,Couple avec enfant avec isolé(s)
2,8,-.00020132371741,Autre cas
2,9,-.0000322991265488,Hors logement ordinaire
3,1,0,Personne vivant seule
3,2,-.0007102628476076,Famille monoparentale
3,3,-.0000680535938367,Famille monoparentale avec isolé(s)
3,4,0,Couple sans isolé sans enfant
3,5,-3.02746503056e-06,Couple sans enfant avec isolé(s)
3,6,-.0047918328482841,Couple sans isolé avec enfant
3,7,-.0000892494585469,Couple avec enfant avec isolé(s)
3,8,-.0001885074487806,Autre cas
3,9,-.000030116283655,Hors logement ordinaire
4,1,0,Personne vivant seule
4,2,-.0008200438731479,Famille monoparentale
4,3,-.0000690789915803,Famille monoparentale avec isolé(s)
4,4,0,Couple sans isolé sans enfant
4,5,-4.25273863235e-06,Couple sans enfant avec isolé(s)
4,6,-.0048220936621872,Couple sans isolé avec enfant
4,7,-.0000875725467193,Couple avec enfant avec isolé(s)
4,8,-.0001751306554533,Autre cas
4,9,-.0000274754859167,Hors logement ordinaire
5,1,0,Personne vivant seule
5,2,-.000922598386283,Famille monoparentale
5,3,-.0000655886086479,Famille monoparentale avec isolé(s)
5,4,0,Couple sans isolé sans enfant
5,5,-4.66768031239e-06,Couple sans enfant avec isolé(s)
5,6,-.0048320582783355,Couple sans isolé avec enfant
5,7,-.000088421831122,Couple avec enfant avec isolé(s)
5,8,-.0001736078991973,Autre cas
5,9,-.0000305916843982,Hors logement ordinaire
6,1,0,Personne vivant seule
6,2,-.0010148073310133,Famille monoparentale
6,3,-.0000706928876182,Famille monoparentale avec isolé(s)
6,4,0,Couple sans isolé sans enfant
6,5,-6.23720962481e-06,Couple sans enfant avec isolé(s)
6,6,-.0048696705834536,Couple sans isolé avec enfant
6,7,-.0000884102506547,Couple avec enfant avec isolé(s)
6,8,-.0001682462932192,Autre cas
6,9,-.0000303919589357,Hors logement ordinaire
7,1,0,Personne vivant seule
7,2,-.0011028644526123,Famille monoparentale
7,3,-.0000692648806403,Famille monoparentale avec isolé(s)
7,4,0,Couple sans isolé sans enfant
7,5,-5.11631062467e-06,Couple sans enfant avec isolé(s)
7,6,-.0048896691481584,Couple sans isolé avec enfant
7,7,-.000091372594356,Couple avec enfant avec isolé(s)
7,8,-.0001649845117198,Autre cas
7,9,-.000031766725843,Hors logement ordinaire
8,1,0,Personne vivant seule
8,2,-.0011629643709328,Famille monoparentale
8,3,-.0000745577557928,Famille monoparentale avec isolé(s)
8,4,0,Couple sans isolé sans enfant
8,5,-6.06139707534e-06,Couple sans enfant avec isolé(s)
8,6,-.0048317296637755,Couple sans isolé avec enfant
8,7,-.0000905539906719,Couple avec enfant avec isolé(s)
8,8,-.00016343438345,Autre cas
8,9,-.0000297422495998,Hors logement ordinaire
9,1,0,Personne vivant seule
9,2,-.0012045066655548,Famille monoparentale
9,3,-.0000701498088191,Famille monoparentale avec isolé(s)
9,4,0,Couple sans isolé sans enfant
9,5,-5.88708848267e-06,Couple sans enfant avec isolé(s)
9,6,-.0048197867428577,Couple sans isolé avec enfant
9,7,-.0000943839670488,Couple avec enfant avec isolé(s)
9,8,-.000161880645684,Autre cas
9,9,-.0000335683156891,Hors logement ordinaire
10,1,0,Personne vivant seule
10,2,-.0012644807026915,Famille monoparentale
10,3,-.0000756335360891,Famille monoparentale avec isolé(s)
10,4,0,Couple sans isolé sans enfant
10,5,-6.94467090169e-06,Couple sans enfant avec isolé(s)
10,6,-.0047897560343444,Couple sans isolé avec enfant
10,7,-.0000939036032482,Couple avec enfant avec isolé(s)
10,8,-.0001561995992824,Autre cas
10,9,-.0000358028946967,Hors logement ordinaire
11,1,0,Personne vivant seule
11,2,-.0012947585113063,Famille monoparentale
11,3,-.0000724274009911,Famille monoparentale avec isolé(s)
11,4,0,Couple sans isolé sans enfant
11,5,-6.44671080650e-06,Couple sans enfant avec isolé(s)
11,6,-.0047527701272319,Couple sans isolé avec enfant
11,7,-.0000905962518579,Couple avec enfant avec isolé(s)
11,8,-.0001553712198791,Autre cas
11,9,-.000037502065085,Hors logement ordinaire
12,1,0,Personne vivant seule
12,2,-.0013253237260649,Famille monoparentale
12,3,-.0000758941718018,Famille monoparentale avec isolé(s)
12,4,0,Couple sans isolé sans enfant
12,5,-6.68042569262e-06,Couple sans enfant avec isolé(s)
12,6,-.0046481950481412,Couple sans isolé avec enfant
12,7,-.0000942219909019,Couple avec enfant avec isolé(s)
12,8,-.0001597514940477,Autre cas
12,9,-.0000358836571767,Hors logement ordinaire
13,1,0,Personne vivant seule
13,2,-.0013595073104793,Famille monoparentale
13,3,-.0000745747505046,Famille monoparentale avec isolé(s)
13,4,0,Couple sans isolé sans enfant
13,5,-8.71031618032e-06,Couple sans enfant avec isolé(s)
13,6,-.0045401607180239,Couple sans isolé avec enfant
13,7,-.0000954671167334,Couple avec enfant avec isolé(s)
13,8,-.0001537782288406,Autre cas
13,9,-.0000392893673414,Hors logement ordinaire
14,1,0,Personne vivant seule
14,2,-.0013996737854242,Famille monoparentale
14,3,-.0000806406594504,Famille monoparentale avec isolé(s)
14,4,0,Couple sans isolé sans enfant
14,5,-8.09805536863e-06,Couple sans enfant avec isolé(s)
14,6,-.0045299144107677,Couple sans isolé avec enfant
14,7,-.0000958665676584,Couple avec enfant avec isolé(s)
14,8,-.0001543715397967,Autre cas
14,9,-.0000440542032629,Hors logement ordinaire
15,1,-9.57704648192e-06,Personne vivant seule
15,2,-.0014637886668076,Famille monoparentale
15,3,-.0000797068526757,Famille monoparentale avec isolé(s)
15,4,-4.54646139463e-07,Couple sans isolé sans enfant
15,5,-9.55990137444e-06,Couple sans enfant avec isolé(s)
15,6,-.0044575205480131,Couple sans isolé avec enfant
15,7,-.000110524732176,Couple avec enfant avec isolé(s)
15,8,-.0001700200598645,Autre cas
15,9,-.0000492013450019,Hors logement ordinaire
16,1,-.000016584432382,Personne vivant seule
16,2,-.0015106116545321,Famille monoparentale
16,3,-.000084711118519,Famille monoparentale avec isolé(s)
16,4,-1.94897761207e-06,Couple sans isolé sans enfant
16,5,-.0000143263916483,Couple sans enfant avec isolé(s)
16,6,-.0044314086997235,Couple sans isolé avec enfant
16,7,-.0001114887684823,Couple avec enfant avec isolé(s)
16,8,-.0001802290689921,Autre cas
16,9,-.0000633576391366,Hors logement ordinaire
17,1,-.0000306731988566,Personne vivant seule
17,2,-.0015333774997418,Famille monoparentale
17,3,-.0000895272393672,Famille monoparentale avec isolé(s)
17,4,-2.23879008668e-06,Couple sans isolé sans enfant
17,5,-.0000131522525776,Couple sans enfant avec isolé(s)
17,6,-.0043276871161147,Couple sans isolé avec enfant
17,7,-.0001168590974098,Couple avec enfant avec isolé(s)
17,8,-.0001989333284782,Autre cas
17,9,-.0000820871650968,Hors logement ordinaire
18,1,-.0000860272311113,Personne vivant seule
18,2,-.0015710197336002,Famille monoparentale
18,3,-.0000894236167439,Famille monoparentale avec isolé(s)
18,4,-2.94895848580e-06,Couple sans isolé sans enfant
18,5,-.0000274613487228,Couple sans enfant avec isolé(s)
18,6,-.0042333163838856,Couple sans isolé avec enfant
18,7,-.0001147780723911,Couple avec enfant avec isolé(s)
18,8,-.0001624536532233,Autre cas
18,9,-.0001254495482335,Hors logement ordinaire
19,1,-.0006753328494353,Personne vivant seule
19,2,-.0013033121151885,Famille monoparentale
19,3,-.0000920725358489,Famille monoparentale avec isolé(s)
19,4,-.0000407868571233,Couple sans isolé sans enfant
19,5,-.0000453676087329,Couple sans enfant avec isolé(s)
