PopName,annee,edv,pays,sexe
DEUTNP,1990,78.42,Allemagne,Femmes
DEUTNP,1990,71.91,Allemagne,Hommes
DEUTNP,1991,78.69,Allemagne,Femmes
DEUTNP,1991,72.09,Allemagne,Hommes
DEUTNP,1992,79.14,Allemagne,Femmes
DEUTNP,1992,72.53,Allemagne,Hommes
DEUTNP,1993,79.20999999999999,Allemagne,Femmes
DEUTNP,1993,72.63,Allemagne,Hommes
DEUTNP,1994,79.51000000000001,Allemagne,Femmes
DEUTNP,1994,72.95,Allemagne,Hommes
DEUTNP,1995,79.69,Allemagne,Femmes
DEUTNP,1995,73.12,Allemagne,Hommes
DEUTNP,1996,79.86,Allemagne,Femmes
DEUTNP,1996,73.42,Allemagne,Hommes
DEUTNP,1997,80.27,Allemagne,Femmes
DEUTNP,1997,73.88,Allemagne,Hommes
DEUTNP,1998,80.54000000000001,Allemagne,Femmes
DEUTNP,1998,74.31999999999999,Allemagne,Hommes
DEUTNP,1999,80.75,Allemagne,Femmes
DEUTNP,1999,74.58,Allemagne,Hommes
DEUTNP,2000,80.98999999999999,Allemagne,Femmes
DEUTNP,2000,74.86,Allemagne,Hommes
DEUTNP,2001,81.27,Allemagne,Femmes
DEUTNP,2001,75.28,Allemagne,Hommes
DEUTNP,2002,81.28,Allemagne,Femmes
DEUTNP,2002,75.44,Allemagne,Hommes
DEUTNP,2003,81.37,Allemagne,Femmes
DEUTNP,2003,75.51000000000001,Allemagne,Hommes
DEUTNP,2004,81.89,Allemagne,Femmes
DEUTNP,2004,76.15000000000001,Allemagne,Hommes
DEUTNP,2005,81.95999999999999,Allemagne,Femmes
DEUTNP,2005,76.36,Allemagne,Hommes
DEUTNP,2006,82.23999999999999,Allemagne,Femmes
DEUTNP,2006,76.75,Allemagne,Hommes
DEUTNP,2007,82.40000000000001,Allemagne,Femmes
DEUTNP,2007,76.91,Allemagne,Hommes
DEUTNP,2008,82.39,Allemagne,Femmes
DEUTNP,2008,77.09999999999999,Allemagne,Hommes
DEUTNP,2009,82.48,Allemagne,Femmes
DEUTNP,2009,77.23,Allemagne,Hommes
DEUTNP,2010,82.62,Allemagne,Femmes
DEUTNP,2010,77.43000000000001,Allemagne,Hommes
DEUTNP,2011,82.81999999999999,Allemagne,Femmes
DEUTNP,2011,77.77,Allemagne,Hommes
DEUTNP,2012,82.94,Allemagne,Femmes
DEUTNP,2012,77.95999999999999,Allemagne,Hommes
DEUTNP,2013,82.86,Allemagne,Femmes
DEUTNP,2013,77.98,Allemagne,Hommes
DEUTNP,2014,83.33,Allemagne,Femmes
DEUTNP,2014,78.43000000000001,Allemagne,Hommes
DEUTNP,2015,82.97,Allemagne,Femmes
DEUTNP,2015,78.13,Allemagne,Hommes
DEUTNP,2016,83.26000000000001,Allemagne,Femmes
DEUTNP,2016,78.38,Allemagne,Hommes
DEUTNP,2017,83.29000000000001,Allemagne,Femmes
DEUTNP,2017,78.56,Allemagne,Hommes
DEUTNP,2018,83.23,Allemagne,Femmes
DEUTNP,2018,78.51000000000001,Allemagne,Hommes
DEUTNP,2019,83.54000000000001,Allemagne,Femmes
DEUTNP,2019,78.83,Allemagne,Hommes
DEUTNP,2020,83.43000000000001,Allemagne,Femmes
DEUTNP,2020,78.59999999999999,Allemagne,Hommes
DNK,1950,71.52,Danemark,Femmes
DNK,1950,69.11,Danemark,Hommes
DNK,1951,72.15000000000001,Danemark,Femmes
DNK,1951,69.70999999999999,Danemark,Hommes
DNK,1952,72.15000000000001,Danemark,Femmes
DNK,1952,69.39,Danemark,Hommes
DNK,1953,72.47,Danemark,Femmes
DNK,1953,69.88,Danemark,Hommes
DNK,1954,72.81,Danemark,Femmes
DNK,1954,69.89,Danemark,Hommes
DNK,1955,73.45999999999999,Danemark,Femmes
DNK,1955,70.39,Danemark,Hommes
DNK,1956,73.70999999999999,Danemark,Femmes
DNK,1956,70.40000000000001,Danemark,Hommes
DNK,1957,73.48999999999999,Danemark,Femmes
DNK,1957,70.15000000000001,Danemark,Hommes
DNK,1958,74.03,Danemark,Femmes
DNK,1958,70.48,Danemark,Hommes
DNK,1959,73.87,Danemark,Femmes
DNK,1959,70.59,Danemark,Hommes
DNK,1960,73.98999999999999,Danemark,Femmes
DNK,1960,70.43000000000001,Danemark,Hommes
DNK,1961,74.38,Danemark,Femmes
DNK,1961,70.56,Danemark,Hommes
DNK,1962,74.44,Danemark,Femmes
DNK,1962,70.31999999999999,Danemark,Hommes
DNK,1963,74.48,Danemark,Femmes
DNK,1963,70.41,Danemark,Hommes
DNK,1964,74.8,Danemark,Femmes
DNK,1964,70.29000000000001,Danemark,Hommes
DNK,1965,74.65000000000001,Danemark,Femmes
DNK,1965,70.19,Danemark,Hommes
DNK,1966,74.79000000000001,Danemark,Femmes
DNK,1966,70.20999999999999,Danemark,Hommes
DNK,1967,75.36,Danemark,Femmes
DNK,1967,70.62,Danemark,Hommes
DNK,1968,75.58,Danemark,Femmes
DNK,1968,70.78,Danemark,Hommes
DNK,1969,75.7,Danemark,Femmes
DNK,1969,70.86,Danemark,Hommes
DNK,1970,75.92,Danemark,Femmes
DNK,1970,70.87,Danemark,Hommes
DNK,1971,76.16,Danemark,Femmes
DNK,1971,70.8,Danemark,Hommes
DNK,1972,76.22,Danemark,Femmes
DNK,1972,70.81,Danemark,Hommes
DNK,1973,76.53,Danemark,Femmes
DNK,1973,70.97,Danemark,Hommes
DNK,1974,76.81999999999999,Danemark,Femmes
DNK,1974,70.94,Danemark,Hommes
DNK,1975,77,Danemark,Femmes
DNK,1975,71.29000000000001,Danemark,Hommes
DNK,1976,76.7,Danemark,Femmes
DNK,1976,70.93000000000001,Danemark,Hommes
DNK,1977,77.67,Danemark,Femmes
DNK,1977,71.73,Danemark,Hommes
DNK,1978,77.42,Danemark,Femmes
DNK,1978,71.52,Danemark,Hommes
DNK,1979,77.41,Danemark,Femmes
DNK,1979,71.2,Danemark,Hommes
DNK,1980,77.18000000000001,Danemark,Femmes
DNK,1980,71.18000000000001,Danemark,Hommes
DNK,1981,77.36,Danemark,Femmes
DNK,1981,71.25,Danemark,Hommes
DNK,1982,77.65000000000001,Danemark,Femmes
DNK,1982,71.59999999999999,Danemark,Hommes
DNK,1983,77.55,Danemark,Femmes
DNK,1983,71.44,Danemark,Hommes
DNK,1984,77.62,Danemark,Femmes
DNK,1984,71.66,Danemark,Hommes
DNK,1985,77.48,Danemark,Femmes
DNK,1985,71.53,Danemark,Hommes
DNK,1986,77.53,Danemark,Femmes
DNK,1986,71.77,Danemark,Hommes
DNK,1987,77.79000000000001,Danemark,Femmes
DNK,1987,71.75,Danemark,Hommes
DNK,1988,77.64,Danemark,Femmes
DNK,1988,72.04000000000001,Danemark,Hommes
DNK,1989,77.76000000000001,Danemark,Femmes
DNK,1989,71.98999999999999,Danemark,Hommes
DNK,1990,77.73,Danemark,Femmes
DNK,1990,72.02,Danemark,Hommes
DNK,1991,77.98,Danemark,Femmes
DNK,1991,72.47,Danemark,Hommes
DNK,1992,77.97,Danemark,Femmes
DNK,1992,72.56,Danemark,Hommes
DNK,1993,77.77,Danemark,Femmes
DNK,1993,72.59999999999999,Danemark,Hommes
DNK,1994,78.09999999999999,Danemark,Femmes
DNK,1994,72.78,Danemark,Hommes
DNK,1995,77.84,Danemark,Femmes
DNK,1995,72.73,Danemark,Hommes
DNK,1996,78.26000000000001,Danemark,Femmes
DNK,1996,73.06,Danemark,Hommes
DNK,1997,78.47,Danemark,Femmes
DNK,1997,73.56,Danemark,Hommes
DNK,1998,78.89,Danemark,Femmes
DNK,1998,73.94,Danemark,Hommes
DNK,1999,78.89,Danemark,Femmes
DNK,1999,74.20999999999999,Danemark,Hommes
DNK,2000,79.12,Danemark,Femmes
DNK,2000,74.44,Danemark,Hommes
DNK,2001,79.22,Danemark,Femmes
DNK,2001,74.67,Danemark,Hommes
DNK,2002,79.34,Danemark,Femmes
DNK,2002,74.8,Danemark,Hommes
DNK,2003,79.73999999999999,Danemark,Femmes
DNK,2003,75.03,Danemark,Hommes
DNK,2004,80.11,Danemark,Femmes
DNK,2004,75.41,Danemark,Hommes
DNK,2005,80.45,Danemark,Femmes
DNK,2005,75.94,Danemark,Hommes
DNK,2006,80.51000000000001,Danemark,Femmes
DNK,2006,75.90000000000001,Danemark,Hommes
DNK,2007,80.53,Danemark,Femmes
DNK,2007,76.13,Danemark,Hommes
DNK,2008,80.92,Danemark,Femmes
DNK,2008,76.48,Danemark,Hommes
DNK,2009,81.03,Danemark,Femmes
DNK,2009,76.84,Danemark,Hommes
DNK,2010,81.33,Danemark,Femmes
DNK,2010,77.12,Danemark,Hommes
DNK,2011,81.83,Danemark,Femmes
DNK,2011,77.7,Danemark,Hommes
DNK,2012,82.04000000000001,Danemark,Femmes
DNK,2012,78.06999999999999,Danemark,Hommes
DNK,2013,82.31,Danemark,Femmes
DNK,2013,78.28,Danemark,Hommes
DNK,2014,82.67,Danemark,Femmes
DNK,2014,78.56999999999999,Danemark,Hommes
DNK,2015,82.69,Danemark,Femmes
DNK,2015,78.77,Danemark,Hommes
DNK,2016,82.79000000000001,Danemark,Femmes
DNK,2016,78.95,Danemark,Hommes
DNK,2017,83.12,Danemark,Femmes
DNK,2017,79.09999999999999,Danemark,Hommes
DNK,2018,82.95999999999999,Danemark,Femmes
DNK,2018,79.02,Danemark,Hommes
DNK,2019,83.42,Danemark,Femmes
DNK,2019,79.44,Danemark,Hommes
DNK,2020,83.51000000000001,Danemark,Femmes
DNK,2020,79.58,Danemark,Hommes
DNK,2021,83.3,Danemark,Femmes
DNK,2021,79.56999999999999,Danemark,Hommes
DNK,2022,83.18000000000001,Danemark,Femmes
DNK,2022,79.43000000000001,Danemark,Hommes
DNK,2023,83.62,Danemark,Femmes
DNK,2023,79.73,Danemark,Hommes
DNK,2024,83.90000000000001,Danemark,Femmes
DNK,2024,80.17,Danemark,Hommes
ESP,1950,64.16,Espagne,Femmes
ESP,1950,59.29,Espagne,Hommes
ESP,1951,63.83,Espagne,Femmes
ESP,1951,59.1,Espagne,Hommes
ESP,1952,67.03,Espagne,Femmes
ESP,1952,62.55,Espagne,Hommes
ESP,1953,67.90000000000001,Espagne,Femmes
ESP,1953,63.49,Espagne,Hommes
ESP,1954,69.08,Espagne,Femmes
ESP,1954,64.64,Espagne,Hommes
ESP,1955,68.95,Espagne,Femmes
ESP,1955,64.38,Espagne,Hommes
ESP,1956,69.03,Espagne,Femmes
ESP,1956,64.39,Espagne,Hommes
ESP,1957,68.90000000000001,Espagne,Femmes
ESP,1957,64.16,Espagne,Hommes
ESP,1958,71.06999999999999,Espagne,Femmes
ESP,1958,66.40000000000001,Espagne,Hommes
ESP,1959,71.08,Espagne,Femmes
ESP,1959,66.23999999999999,Espagne,Hommes
ESP,1960,71.66,Espagne,Femmes
ESP,1960,66.67,Espagne,Hommes
ESP,1961,71.95999999999999,Espagne,Femmes
ESP,1961,67.08,Espagne,Hommes
ESP,1962,72.06999999999999,Espagne,Femmes
ESP,1962,67.08,Espagne,Hommes
ESP,1963,72.36,Espagne,Femmes
ESP,1963,67.12,Espagne,Hommes
ESP,1964,73.13,Espagne,Femmes
ESP,1964,67.78,Espagne,Hommes
ESP,1965,73.56,Espagne,Femmes
ESP,1965,68.17,Espagne,Hommes
ESP,1966,73.78,Espagne,Femmes
ESP,1966,68.45999999999999,Espagne,Hommes
ESP,1967,74.06,Espagne,Femmes
ESP,1967,68.56999999999999,Espagne,Hommes
ESP,1968,74.37,Espagne,Femmes
ESP,1968,68.87,Espagne,Hommes
ESP,1969,73.88,Espagne,Femmes
ESP,1969,68.34,Espagne,Hommes
ESP,1970,74.87,Espagne,Femmes
ESP,1970,69.31999999999999,Espagne,Hommes
ESP,1971,74.56,Espagne,Femmes
ESP,1971,68.84,Espagne,Hommes
ESP,1972,75.64,Espagne,Femmes
ESP,1972,70.15000000000001,Espagne,Hommes
ESP,1973,75.52,Espagne,Femmes
ESP,1973,69.84999999999999,Espagne,Hommes
ESP,1974,75.93000000000001,Espagne,Femmes
ESP,1974,70.17,Espagne,Hommes
ESP,1975,76.34999999999999,Espagne,Femmes
ESP,1975,70.54000000000001,Espagne,Hommes
ESP,1976,76.70999999999999,Espagne,Femmes
ESP,1976,70.81,Espagne,Hommes
ESP,1977,77.23,Espagne,Femmes
ESP,1977,71.28,Espagne,Hommes
ESP,1978,77.48,Espagne,Femmes
ESP,1978,71.42,Espagne,Hommes
ESP,1979,78.05,Espagne,Femmes
ESP,1979,71.84,Espagne,Hommes
ESP,1980,78.55,Espagne,Femmes
ESP,1980,72.39,Espagne,Hommes
ESP,1981,78.77,Espagne,Femmes
ESP,1981,72.53,Espagne,Hommes
ESP,1982,79.34999999999999,Espagne,Femmes
ESP,1982,73.17,Espagne,Hommes
