tailleNum,tailleFr,tailleEn,typeFr,typeEn,typeNum,n
1,1,1,Ménages,Households,1,11916102
2,2,2,Ménages,Households,1,9972126
3,3,3,Ménages,Households,1,4013578
4,4,4,Ménages,Households,1,3325489
5,5,5,Ménages,Households,1,1189547
6,6 ou plus,6 or over,Ménages,Households,1,490447
1,1,1,Habitants,Inhabitants,2,11916102
2,2,2,Habitants,Inhabitants,2,19944253
3,3,3,Habitants,Inhabitants,2,12040734
4,4,4,Habitants,Inhabitants,2,13301955
5,5,5,Habitants,Inhabitants,2,5947734
6,6 ou plus,6 or over,Habitants,Inhabitants,2,3179724
