annee,pays,icf
2000,Union européenne,
2001,Union européenne,1.43
2002,Union européenne,1.43
2003,Union européenne,1.44
2004,Union européenne,1.46
2005,Union européenne,1.47
2006,Union européenne,1.5
2007,Union européenne,1.52
2008,Union européenne,1.57
2009,Union européenne,1.56
2010,Union européenne,1.57
2011,Union européenne,1.54
2012,Union européenne,1.54
2013,Union européenne,1.51
2014,Union européenne,1.54
2015,Union européenne,1.54
2016,Union européenne,1.57
2017,Union européenne,1.56
2018,Union européenne,1.54
2019,Union européenne,1.53
2020,Union européenne,1.51
2021,Union européenne,1.53
2022,Union européenne,1.46
2023,Union européenne,1.38
2000,Hongrie,1.31887
2001,Hongrie,1.31
2002,Hongrie,1.3
2003,Hongrie,1.27
2004,Hongrie,1.28
2005,Hongrie,1.31
2006,Hongrie,1.34
2007,Hongrie,1.32
2008,Hongrie,1.35
2009,Hongrie,1.32
2010,Hongrie,1.25
2011,Hongrie,1.23
2012,Hongrie,1.34
2013,Hongrie,1.35
2014,Hongrie,1.44
2015,Hongrie,1.45
2016,Hongrie,1.53
2017,Hongrie,1.54
2018,Hongrie,1.55
2019,Hongrie,1.55
2020,Hongrie,1.59
2021,Hongrie,1.61
2022,Hongrie,1.56
2023,Hongrie,1.55
2000,Belgique,1.66658
2001,Belgique,1.67
2002,Belgique,1.65
2003,Belgique,1.67
2004,Belgique,1.72
2005,Belgique,1.76
2006,Belgique,1.8
2007,Belgique,1.82
2008,Belgique,1.85
2009,Belgique,1.84
2010,Belgique,1.86
2011,Belgique,1.81
2012,Belgique,1.8
2013,Belgique,1.76
2014,Belgique,1.74
2015,Belgique,1.7
2016,Belgique,1.68
2017,Belgique,1.65
2018,Belgique,1.62
2019,Belgique,1.6
2020,Belgique,1.55
2021,Belgique,1.6
2022,Belgique,1.53
2023,Belgique,1.47
2000,Portugal,1.54889
2001,Portugal,1.48
2002,Portugal,1.46
2003,Portugal,1.44
2004,Portugal,1.4
2005,Portugal,1.41
2006,Portugal,1.37
2007,Portugal,1.35
2008,Portugal,1.39
2009,Portugal,1.34
2010,Portugal,1.39
2011,Portugal,1.35
2012,Portugal,1.28
2013,Portugal,1.21
2014,Portugal,1.24
2015,Portugal,1.31
2016,Portugal,1.37
2017,Portugal,1.38
2018,Portugal,1.42
2019,Portugal,1.44
2020,Portugal,1.42
2021,Portugal,1.35
2022,Portugal,1.43
2023,Portugal,1.45
2000,Pays-Bas,1.72
2001,Pays-Bas,1.71
2002,Pays-Bas,1.73
2003,Pays-Bas,1.75
2004,Pays-Bas,1.72
2005,Pays-Bas,1.71
2006,Pays-Bas,1.72
2007,Pays-Bas,1.72
2008,Pays-Bas,1.77
2009,Pays-Bas,1.79
2010,Pays-Bas,1.79
2011,Pays-Bas,1.76
2012,Pays-Bas,1.72
2013,Pays-Bas,1.68
2014,Pays-Bas,1.71
2015,Pays-Bas,1.66
2016,Pays-Bas,1.66
2017,Pays-Bas,1.62
2018,Pays-Bas,1.59
2019,Pays-Bas,1.57
2020,Pays-Bas,1.54
2021,Pays-Bas,1.62
2022,Pays-Bas,1.49
2023,Pays-Bas,1.43
2000,Allemagne,1.38
2001,Allemagne,1.35
2002,Allemagne,1.34
2003,Allemagne,1.34
2004,Allemagne,1.36
2005,Allemagne,1.34
2006,Allemagne,1.33
2007,Allemagne,1.37
2008,Allemagne,1.38
2009,Allemagne,1.36
2010,Allemagne,1.39
2011,Allemagne,1.39
2012,Allemagne,1.41
2013,Allemagne,1.42
2014,Allemagne,1.47
2015,Allemagne,1.5
2016,Allemagne,1.6
2017,Allemagne,1.57
2018,Allemagne,1.57
2019,Allemagne,1.54
2020,Allemagne,1.53
2021,Allemagne,1.58
2022,Allemagne,1.46
2023,Allemagne,1.39
2000,Irlande,1.89
2001,Irlande,1.94
2002,Irlande,1.97
2003,Irlande,1.96
2004,Irlande,1.93
2005,Irlande,1.86
2006,Irlande,1.91
2007,Irlande,2.01
2008,Irlande,2.06
2009,Irlande,2.06
2010,Irlande,2.05
2011,Irlande,2.03
2012,Irlande,1.98
2013,Irlande,1.93
2014,Irlande,1.89
2015,Irlande,1.85
2016,Irlande,1.81
2017,Irlande,1.77
2018,Irlande,1.75
2019,Irlande,1.71
2020,Irlande,1.63
2021,Irlande,1.78
2022,Irlande,1.54
2023,Irlande,1.5
2000,Pologne,1.37
2001,Pologne,1.31
2002,Pologne,1.25
2003,Pologne,1.22
2004,Pologne,1.23
2005,Pologne,1.24
2006,Pologne,1.27
2007,Pologne,1.31
2008,Pologne,1.39
2009,Pologne,1.4
2010,Pologne,1.41
2011,Pologne,1.33
2012,Pologne,1.33
2013,Pologne,1.29
2014,Pologne,1.32
2015,Pologne,1.32
2016,Pologne,1.39
2017,Pologne,1.48
2018,Pologne,1.46
2019,Pologne,1.44
2020,Pologne,1.39
2021,Pologne,1.33
2022,Pologne,1.29
2023,Pologne,1.2
2000,Espagne,1.21524
2001,Espagne,1.23
2002,Espagne,1.25
2003,Espagne,1.3
2004,Espagne,1.31
2005,Espagne,1.33
2006,Espagne,1.36
2007,Espagne,1.38
2008,Espagne,1.45
2009,Espagne,1.38
2010,Espagne,1.37
2011,Espagne,1.34
2012,Espagne,1.32
2013,Espagne,1.27
2014,Espagne,1.32
2015,Espagne,1.33
2016,Espagne,1.33
2017,Espagne,1.31
2018,Espagne,1.26
2019,Espagne,1.23
2020,Espagne,1.18
2021,Espagne,1.18
2022,Espagne,1.16
2023,Espagne,1.12
2000,Etats-Unis,2.053
2001,Etats-Unis,2.031
2002,Etats-Unis,2.024
2003,Etats-Unis,2.053
2004,Etats-Unis,2.058
2005,Etats-Unis,2.061
2006,Etats-Unis,2.112
2007,Etats-Unis,2.122
2008,Etats-Unis,2.074
2009,Etats-Unis,2.002
2010,Etats-Unis,1.925
2011,Etats-Unis,1.889
2012,Etats-Unis,1.874
2013,Etats-Unis,1.851
2014,Etats-Unis,1.863
2015,Etats-Unis,1.845
2016,Etats-Unis,1.817
2017,Etats-Unis,1.765
2018,Etats-Unis,1.727
2019,Etats-Unis,1.702
2020,Etats-Unis,1.639
2021,Etats-Unis,1.659
2022,Etats-Unis,1.657
2023,Etats-Unis,1.622
2000,Japon,1.362
2001,Japon,1.339
2002,Japon,1.324
2003,Japon,1.297
2004,Japon,1.295
2005,Japon,1.256
2006,Japon,1.31
2007,Japon,1.326
2008,Japon,1.352
2009,Japon,1.351
2010,Japon,1.38
2011,Japon,1.384
2012,Japon,1.393
2013,Japon,1.413
2014,Japon,1.407
2015,Japon,1.441
2016,Japon,1.43
2017,Japon,1.413
2018,Japon,1.399
2019,Japon,1.342
2020,Japon,1.325
2021,Japon,1.298
2022,Japon,1.252
2023,Japon,1.196
2000,France,1.8926
2001,France,1.8948
2002,France,1.8805
2003,France,1.891
2004,France,1.9148
2005,France,1.9383
2006,France,1.9974
2007,France,1.9774
2008,France,2.0069
2009,France,2.0037
2010,France,2.029
2011,France,2.0097
2012,France,2.0081
2013,France,1.988
2014,France,1.9988
2015,France,1.9554
2016,France,1.9238
2017,France,1.8929
2018,France,1.8701
2019,France,1.863
2020,France,1.8167
2021,France,1.8308
2022,France,1.7935
2023,France,1.6764
