pays,annee,icf
ue27,1960,
ue27,1961,
ue27,1962,
ue27,1963,
ue27,1964,
ue27,1965,
ue27,1966,
ue27,1967,
ue27,1968,
ue27,1969,
ue27,1970,
ue27,1971,
ue27,1972,
ue27,1973,
ue27,1974,
ue27,1975,
ue27,1976,
ue27,1977,
ue27,1978,
ue27,1979,
ue27,1980,
ue27,1981,
ue27,1982,
ue27,1983,
ue27,1984,
ue27,1985,
ue27,1986,
ue27,1987,
ue27,1988,
ue27,1989,
ue27,1990,
ue27,1991,
ue27,1992,
ue27,1993,
ue27,1994,
ue27,1995,
ue27,1996,
ue27,1997,
ue27,1998,
ue27,1999,
ue27,2000,
ue27,2001,1.43271
ue27,2002,1.43133
ue27,2003,1.44168
ue27,2004,1.46415
ue27,2005,1.47486
ue27,2006,1.50241
ue27,2007,1.52102
ue27,2008,1.57166
ue27,2009,1.56424
ue27,2010,1.57158
ue27,2011,1.53706
ue27,2012,1.53692
ue27,2013,1.50872
ue27,2014,1.53985
ue27,2015,1.54067
ue27,2016,1.5707
ue27,2017,1.5645
ue27,2018,1.5447
ue27,2019,1.52856
ue27,2020,1.50894
ue27,2021,1.53102
ue27,2022,1.46033
ue27,2023,1.38248
Belgique,1960,2.53813
Belgique,1961,2.63299
Belgique,1962,2.59189
Belgique,1963,2.68091
Belgique,1964,2.7121
Belgique,1965,2.61385
Belgique,1966,2.52008
Belgique,1967,2.40963
Belgique,1968,2.30965
Belgique,1969,2.27395
Belgique,1970,2.25107
Belgique,1971,2.21071
Belgique,1972,2.08967
Belgique,1973,1.94853
Belgique,1974,1.82989
Belgique,1975,1.73672
Belgique,1976,1.72676
Belgique,1977,1.70872
Belgique,1978,1.69201
Belgique,1979,1.69061
Belgique,1980,1.67942
Belgique,1981,1.66428
Belgique,1982,1.61377
Belgique,1983,1.56512
Belgique,1984,1.53644
Belgique,1985,1.507
Belgique,1986,1.54305
Belgique,1987,1.5402
Belgique,1988,1.56661
Belgique,1989,1.58077
Belgique,1990,1.62122
Belgique,1991,1.65642
Belgique,1992,1.64901
Belgique,1993,1.60644
Belgique,1994,1.56012
Belgique,1995,1.56121
Belgique,1996,1.59121
Belgique,1997,1.60485
Belgique,1998,1.59654
Belgique,1999,1.61555
Belgique,2000,1.66658
Belgique,2001,1.66859
Belgique,2002,1.64626
Belgique,2003,1.66839
Belgique,2004,1.72384
Belgique,2005,1.76013
Belgique,2006,1.80019
Belgique,2007,1.81621
Belgique,2008,1.85051
Belgique,2009,1.83727
Belgique,2010,1.86219
Belgique,2011,1.81431
Belgique,2012,1.79743
Belgique,2013,1.75557
Belgique,2014,1.74223
Belgique,2015,1.69586
Belgique,2016,1.68349
Belgique,2017,1.64774
Belgique,2018,1.62131
Belgique,2019,1.60334
Belgique,2020,1.55182
Belgique,2021,1.59851
Belgique,2022,1.52949
Belgique,2023,1.47168
Allemagne,1960,2.381
Allemagne,1961,2.465
Allemagne,1962,2.462
Allemagne,1963,2.523
Allemagne,1964,2.525
Allemagne,1965,2.487
Allemagne,1966,2.503
Allemagne,1967,2.439
