icf,pays,_
1960,ue27,
1961,ue27,
1962,ue27,
1963,ue27,
1964,ue27,
1965,ue27,
1966,ue27,
1967,ue27,
1968,ue27,
1969,ue27,
1970,ue27,
1971,ue27,
1972,ue27,
1973,ue27,
1974,ue27,
1975,ue27,
1976,ue27,
1977,ue27,
1978,ue27,
1979,ue27,
1980,ue27,
1981,ue27,
1982,ue27,
1983,ue27,
1984,ue27,
1985,ue27,
1986,ue27,
1987,ue27,
1988,ue27,
1989,ue27,
1990,ue27,
1991,ue27,
1992,ue27,
1993,ue27,
1994,ue27,
1995,ue27,
1996,ue27,
1997,ue27,
1998,ue27,
1999,ue27,
2000,ue27,
2001,ue27,1.43271
2002,ue27,1.43133
2003,ue27,1.44168
2004,ue27,1.46415
2005,ue27,1.47486
2006,ue27,1.50241
2007,ue27,1.52102
2008,ue27,1.57166
2009,ue27,1.56424
2010,ue27,1.57158
2011,ue27,1.53706
2012,ue27,1.53692
2013,ue27,1.50872
2014,ue27,1.53985
2015,ue27,1.54067
2016,ue27,1.5707
2017,ue27,1.5645
2018,ue27,1.5447
2019,ue27,1.52856
2020,ue27,1.50894
2021,ue27,1.53102
2022,ue27,1.46033
2023,ue27,1.38248
1960,Belgique,2.53813
1961,Belgique,2.63299
1962,Belgique,2.59189
1963,Belgique,2.68091
1964,Belgique,2.7121
1965,Belgique,2.61385
1966,Belgique,2.52008
1967,Belgique,2.40963
1968,Belgique,2.30965
1969,Belgique,2.27395
1970,Belgique,2.25107
1971,Belgique,2.21071
1972,Belgique,2.08967
1973,Belgique,1.94853
1974,Belgique,1.82989
1975,Belgique,1.73672
1976,Belgique,1.72676
1977,Belgique,1.70872
1978,Belgique,1.69201
1979,Belgique,1.69061
1980,Belgique,1.67942
1981,Belgique,1.66428
1982,Belgique,1.61377
1983,Belgique,1.56512
1984,Belgique,1.53644
1985,Belgique,1.507
1986,Belgique,1.54305
1987,Belgique,1.5402
1988,Belgique,1.56661
1989,Belgique,1.58077
1990,Belgique,1.62122
1991,Belgique,1.65642
1992,Belgique,1.64901
1993,Belgique,1.60644
1994,Belgique,1.56012
1995,Belgique,1.56121
1996,Belgique,1.59121
1997,Belgique,1.60485
1998,Belgique,1.59654
1999,Belgique,1.61555
2000,Belgique,1.66658
2001,Belgique,1.66859
2002,Belgique,1.64626
2003,Belgique,1.66839
2004,Belgique,1.72384
2005,Belgique,1.76013
2006,Belgique,1.80019
2007,Belgique,1.81621
2008,Belgique,1.85051
2009,Belgique,1.83727
2010,Belgique,1.86219
2011,Belgique,1.81431
2012,Belgique,1.79743
2013,Belgique,1.75557
2014,Belgique,1.74223
2015,Belgique,1.69586
2016,Belgique,1.68349
2017,Belgique,1.64774
2018,Belgique,1.62131
2019,Belgique,1.60334
2020,Belgique,1.55182
2021,Belgique,1.59851
2022,Belgique,1.52949
2023,Belgique,1.47168
1960,Allemagne,
1961,Allemagne,
1962,Allemagne,
1963,Allemagne,
1964,Allemagne,
1965,Allemagne,
1966,Allemagne,
1967,Allemagne,
1968,Allemagne,
1969,Allemagne,
1970,Allemagne,
1971,Allemagne,
1972,Allemagne,
1973,Allemagne,
1974,Allemagne,
1975,Allemagne,
1976,Allemagne,
1977,Allemagne,
1978,Allemagne,
1979,Allemagne,
1980,Allemagne,
1981,Allemagne,
1982,Allemagne,
1983,Allemagne,
1984,Allemagne,
1985,Allemagne,
1986,Allemagne,
1987,Allemagne,
1988,Allemagne,
1989,Allemagne,
1990,Allemagne,
1991,Allemagne,
1992,Allemagne,
1993,Allemagne,
1994,Allemagne,
1995,Allemagne,
1996,Allemagne,
1997,Allemagne,
1998,Allemagne,
1999,Allemagne,
2000,Allemagne,1.38003
2001,Allemagne,1.34643
2002,Allemagne,1.33918
2003,Allemagne,1.33756
2004,Allemagne,1.3565
2005,Allemagne,1.33801
2006,Allemagne,1.32938
2007,Allemagne,1.36875
2008,Allemagne,1.37865
2009,Allemagne,1.35691
2010,Allemagne,1.39206
2011,Allemagne,1.39091
2012,Allemagne,1.4093
2013,Allemagne,1.41871
2014,Allemagne,1.47486
2015,Allemagne,1.50232
2016,Allemagne,1.59662
2017,Allemagne,1.56944
2018,Allemagne,1.56558
2019,Allemagne,1.54091
2020,Allemagne,1.53148
2021,Allemagne,1.57669
2022,Allemagne,1.45567
2023,Allemagne,1.38506
1960,Espagne,
1961,Espagne,
1962,Espagne,
1963,Espagne,
1964,Espagne,
1965,Espagne,
1966,Espagne,
1967,Espagne,
1968,Espagne,
1969,Espagne,
1970,Espagne,
1971,Espagne,2.90115
1972,Espagne,2.87022
1973,Espagne,2.83838
1974,Espagne,2.87728
1975,Espagne,2.77201
1976,Espagne,2.77074
1977,Espagne,2.65496
1978,Espagne,2.54465
1979,Espagne,2.37106
1980,Espagne,2.21643
1981,Espagne,2.03888
1982,Espagne,1.94224
1983,Espagne,1.79833
1984,Espagne,1.72669
1985,Espagne,1.6398
1986,Espagne,1.55585
1987,Espagne,1.49362
1988,Espagne,1.44773
1989,Espagne,1.3972
1990,Espagne,1.36027
1991,Espagne,1.32666
1992,Espagne,1.31045
1993,Espagne,1.25636
1994,Espagne,1.19047
1995,Espagne,1.1553
1996,Espagne,1.14053
1997,Espagne,1.15008
1998,Espagne,1.12907
1999,Espagne,1.16783
2000,Espagne,1.21524
2001,Espagne,1.23218
2002,Espagne,1.25179
2003,Espagne,1.29604
2004,Espagne,1.31319
2005,Espagne,1.32955
2006,Espagne,1.36227
2007,Espagne,1.37687
2008,Espagne,1.44608
2009,Espagne,1.37935
2010,Espagne,1.36904
2011,Espagne,1.34238
2012,Espagne,1.32109
2013,Espagne,1.27306
2014,Espagne,1.31771
2015,Espagne,1.33016
2016,Espagne,1.33316
2017,Espagne,1.30508
2018,Espagne,1.25616
2019,Espagne,1.22868
2020,Espagne,1.17977
2021,Espagne,1.18054
2022,Espagne,1.15727
2023,Espagne,1.11863
1960,France,
1961,France,
1962,France,
1963,France,
1964,France,
1965,France,
