annee,nImm,pImm,nEtr,pEtr
2023,7281.8,10.7,5613.9,8.2
2022,7015.4,10.3,5321,7.8
2021,6932.4,10.2,5235.9,7.7
2020,6847.1,10.2,5149.2,7.6
2019,6733.5,10,5000,7.4
2018,6578.9,9.8,4849.9,7.2
2017,6448.8,9.7,4703.8,7
2016,6291.4,9.4,4541.5,6.8
2015,6169.1,9.3,4427.9,6.7
2014,6027.5,9.1,4289,6.5
2013,5835.3,8.9,4083.9,6.2
2012,5714,8.8,3980.6,6.1
2011,5605.2,8.6,3889,6
2010,5514.2,8.5,3817.6,5.9
2009,5432.8,8.4,3771.1,5.9
2008,5342.3,8.4,3714.5,5.8
2007,5251.6,8.3,3682.2,5.8
2006,5136.3,8.1,3648.2,5.8
1999,4374,7.3,3322,5.5
1990,4222,7.3,3645,6.3
1982,4037,7.4,3714,6.8
1975,3887,7.4,3442,6.5
1968,3238,6.5,2621,5.3
1962,2861.3,6.2,2150.6,4.6
1954,2293,5.4,1765,4.1
1946,1985.9,5,1743.6,4.4
1936,2326.1,5.6,2198.2,5.3
1931,2729.3,6.6,2714.7,6.6
1926,2288.2,5.7,2409.3,6
1921,1429.1,3.7,1532,3.9
