anneeM,mariageSexeDiff,mariagesTot,anneeP,pacs,x
1990,294690,,,,
1991,287897,,,,
1992,279338,,,,
1993,262696,,,,
1994,260866,,,,
1995,261813,,,,
1996,287144,,,,
1997,291163,,,,
1998,278525,,,,
1999,293544,,1999,6151,
2000,305234,,2000,22271,
2001,295720,,2001,19629,
2002,286169,,2002,25305,
2003,282756,,2003,31570,
2004,278439,,2004,40080,
2005,283036,,2005,60462,
2006,273914,,2006,77347,
2007,273669,,2007,101992,
2008,265404,,2008,145938,
2009,251478,,2009,174584,
2010,251654,,2010,205561,
2011,236826,,2011,152169,
2012,245930,,2012,160639,
2013,231225,238592,2013,168682,238592
2014,230770,241292,2014,173731,241292
2015,228565,236316,2015,188947,236316
2016,225612,232725,2016,191537,232725
2017,226671,233915,2017,195633,233915
2018,228349,234735,2018 (p),208871,234735
2019,218468,224740,2019 (p),196370,224740
2020,149983,154581,2020 (p),173894,154581
2021,212413,218819,2021 (p),209461,218819
2022,234841,241710,2022 (p),209827,241710
2023 (p),235000,242000,2023 (p),,242000
