année,hommes,femmes,donnees,infos
1740,23.8,25.7,Données décennales,
1750,27.1,28.7,Données décennales,
1760,26.4,29,Données décennales,
1770,28.2,29.6,Données décennales,
1780,27.5,28.1,Données décennales,
1790,,32,Données décennales,
1800,,34.9,Données décennales,
1806,32.79999923706055,34.90000152587891,,
1807,32,34.90000152587891,,
1808,31.20000076293945,34.90000152587891,,
1809,31.29999923706055,34.90000152587891,,
1810,35.29999923706055,39.70000076293945,,
1811,34,38.40000152587891,,
1812,24.29999923706055,39.5,,Guerres napoléoniennes
1813,23.79999923706055,38.90000152587891,,Guerres napoléoniennes
1814,23.79999923706055,36.70000076293945,,Guerres napoléoniennes
1815,34.20000076293945,39,,
1816,38.90000152587891,41,,
1817,37.70000076293945,39.79999923706055,,
1818,37.70000076293945,38.70000076293945,,
1819,36.5,37.79999923706055,,
1820,38,39.5,,
1821,38.59999847412109,39.79999923706055,,
1822,37.29999923706055,38.70000076293945,,
1823,39,40.90000152587891,,
1824,38.20000076293945,39.90000152587891,,
1825,37.40000152587891,38.40000152587891,,
1826,36.59999847412109,37.70000076293945,,
1827,38.40000152587891,39.90000152587891,,
1828,36.59999847412109,38.09999847412109,,
1829,38.5,40.09999847412109,,
1830,38.29999923706055,39.90000152587891,,
1831,38.20000076293945,40,,
1832,34.79999923706055,36.20000076293945,,
1833,38,39.5,,
1834,34.09999847412109,35.59999847412109,,
1835,38.20000076293945,40.20000076293945,,
1836,40.59999847412109,42.29999923706055,,
1837,38.5,39.70000076293945,,
1838,38.5,39.79999923706055,,
1839,40.20000076293945,41.40000152587891,,
1840,39.09999847412109,40.70000076293945,,
1841,39.09999847412109,41.29999923706055,,
1842,38.79999923706055,40.70000076293945,,
1843,39.90000152587891,41.29999923706055,,
1844,41.5,42.79999923706055,,
1845,42.59999847412109,43.90000152587891,,
1846,39.40000152587891,40.79999923706055,,
1847,39.29999923706055,40.90000152587891,,
1848,39.29999923706055,41,,
1849,35.09999847412109,36.70000076293945,,
1850,42.40000152587891,43.79999923706055,,
1851,40.70000076293945,42,,
1852,40.40000152587891,41.59999847412109,,
1853,41.5,42.90000152587891,,
1854,34.79999923706055,36.59999847412109,,
1855,35,39,,
1856,38.5,40.90000152587891,,
1857,38.70000076293945,39.90000152587891,,
1858,39.20000076293945,39.90000152587891,,
1859,34.40000152587891,35.70000076293945,,
1860,42.40000152587891,43.59999847412109,,
1861,39.09999847412109,40.29999923706055,,
1862,41.79999923706055,43,,
1863,40.79999923706055,42.09999847412109,,
1864,41,42.5,,
1865,38.70000076293945,40.29999923706055,,
1866,40.5,42.09999847412109,,
1867,41.20000076293945,42.79999923706055,,
1868,39,40.79999923706055,,
1869,40,42,,
1870,33.70000076293945,37.70000076293945,,Guerre de 1870
1871,26.29999923706055,31.70000076293945,,Guerre de 1870
1872,41.79999923706055,44,,
1873,40.40000152587891,42.40000152587891,,
1874,42.59999847412109,44.79999923706055,,
1875,41,43.20000076293945,,
1876,41.59999847412109,44.09999847412109,,
1877,43,45,,
1878,42,44.09999847412109,,
1879,42.79999923706055,45,,
