annee,n
1745,296
1755,277
1765,281.5
1775,273
1785,278
1795,254
1806,188.973
1807,199.178
1808,193.954
1809,183.229
1810,185.313
1811,188.402
1812,181.164
1813,185.176
1814,200.81
1815,187.056
1816,177.362
1817,178.878
1818,180.874
1819,189.232
1820,183.873
1821,184.493
1822,197.763
1823,179.75
1824,189.801
1825,196.901
1826,194.357
1827,180.065
1828,187.748
1829,174.892
1830,181.145
1831,174.936
1832,181.626
1833,174.427
1834,209.04
1835,174.92
1836,167.69
1837,167.988
1838,169.408
1839,159.29
1840,161.607
1841,157.539
1842,166.319
1843,156.381
1844,153.446
1845,144.074
1846,170.233
1847,158.567
1848,159.865
1849,172.685
1850,145.158
1851,162.523
1852,161.794
1853,148.409
1854,179.018
1855,174.085
1856,169.841
1857,184.354
1858,176.954
1859,214.815
1860,149.174
1861,191.083
1862,162.201
1863,179.565
1864,173.093
1865,190.673
1866,161.583
1867,171.102
1868,190.349
1869,176.653
1870,205.77
1871,226.567
1872,159.379
1873,177.611
1874,158.387
1875,169.311
1876,165.867
1877,156.822
1878,168.978
1879,157.374
1880,178.728
1881,166.131
1882,164.591
1883,164.793
1884,176.619
1885,160.518
1886,172.388
1887,160.082
1888,163.849
1889,154.921
1890,172.847
1891,162.071
1892,180.719
1893,173.701
1894,156.31
1895,176.803
1896,149.071
1897,151.346
1898,167.601
1899,169.734
1900,163.312
1901,147.338
1902,139.472
1903,140.731
1904,148.452
1905,138.721
1906,146.279
1907,133.536
1908,132.445
1909,121.296
1910,114.345
1911,155.089
1912,111.475
1913,116.138
1914,113.574
1915,111.691
1916,128.998
1917,134.757
1918,149.389
1919,141.414
1920,116.625
1921,118.832
1922,89.114
1923,100.162
1924,89.264
1925,92.78699999999999
1926,100.235
1927,87.166
1928,94.78399999999999
1929,98.51400000000001
1930,82.762
1931,78.43000000000001
1932,80.53
1933,77.435
1934,73.699
1935,71.244
1936,70.896
1937,69.527
1938,69.66600000000001
1939,68.21599999999999
1940,89.502
1941,79.598
1942,75.98
1943,80.92
1944,81.833
1945,112.579
1946,77.54900000000001
1947,70.08499999999999
1948,55.474
1949,59.307
1950,51.14599999999999
1951,49.767
1952,44.801
1953,41.219
1954,40.418
1955,38.073
1956,35.721
1957,33.333
1958,31.182
1959,29.088
1960,27.139
1961,25.392
1962,25.425
1963,25.267
1964,23.06
1965,21.541
1966,21.369
1967,20.432
1968,20.133
1969,19.394
1970,18.152
1971,17.006
1972,15.92
1973,15.118
1974,14.494
1975,13.467
1976,12.59
1977,11.576
1978,10.634
1979,10.164
1980,10.203
1981,9.779
1982,9.438000000000001
1983,9.053000000000001
1984,8.427
1985,8.375
1986,8.089
1987,7.853000000000001
1988,7.91
1989,7.583
1990,7.388
1991,7.298999999999999
1992,6.841
1993,6.46
1994,5.939
1995,4.91
1996,4.804
1997,4.754
1998,4.543
1999,4.342000000000001
2000,4.41
2001,4.46
2002,4.09
2003,4.01
2004,3.89
2005,3.58
2006,3.65
2007,3.59
2008,3.59
2009,3.66
2010,3.47
2011,3.28
2012,3.34
2013,3.47
2014,3.33
2015,3.49
2016,3.46
2017,3.61
2018,3.63
2019,3.56
2020,3.37
2021,3.43
2022,3.71
2023,3.74
2024,3.84
