annee,tumeurs,cardio,infect_para,autres,violent,non,tot,sexe
2008,241,169,56,128,66,46,705,Hommes
2009,239,161,55,126,66,47,694,Hommes
2010,232,156,52,124,64,55,684,Hommes
2011,226,145,53,118,63,53,657,Hommes
2012,220,142,54,120,60,60,656,Hommes
2013,216,137,51,117,57,59,638,Hommes
2014,213,129,47,111,55,53,608,Hommes
2015,211,131,51,118,57,55,624,Hommes
2016,208,127,49,117,56,55,612,Hommes
2017,202,124,51,116,56,58,606,Hommes
2020,186,111,102,111,54,60,624,Hommes
2021,184,112,94,113,54,60,617,Hommes
2008,123,95,27,84,26,27,381,Femmes
2009,121,91,27,83,26,27,375,Femmes
2010,119,86,25,81,25,31,367,Femmes
2011,118,81,26,77,24,30,356,Femmes
2012,117,80,28,80,23,34,362,Femmes
2013,115,77,26,79,23,34,353,Femmes
2014,116,73,24,75,21,30,339,Femmes
2015,116,74,27,79,22,32,351,Femmes
2016,117,71,26,78,22,31,345,Femmes
2017,117,69,27,77,22,33,345,Femmes
2020,112,60,51,73,21,33,350,Femmes
2021,109,60,46,72,20,33,340,Femmes
