age,quotient
0,2.58546073
1,1.397940009
2,1.255272505
3,1.079181246
4,1.041392685
5,.954242509
6,.903089987
7,.84509804
8,.84509804
9,.84509804
10,.84509804
11,.84509804
12,.954242509
13,1.041392685
14,1.079181246
15,1.146128036
16,1.255272505
17,1.301029996
18,1.491361694
19,1.556302501
20,1.568201724
21,1.612783857
22,1.62324929
23,1.612783857
24,1.633468456
25,1.643452676
26,1.653212514
27,1.672097858
28,1.707570176
29,1.72427587
30,1.740362689
31,1.763427994
32,1.77815125
33,1.826074803
34,1.857332496
35,1.892094603
36,1.903089987
37,1.944482672
38,1.977723605
39,2.025305865
40,2.045322979
41,2.086359831
42,2.123851641
43,2.164352856
44,2.190331698
45,2.243038049
46,2.271841607
47,2.320146286
48,2.36361198
49,2.404833717
50,2.44870632
51,2.494154594
52,2.532754379
53,2.572871602
54,2.604226053
55,2.638489257
56,2.679427897
57,2.716003344
58,2.753583059
59,2.788875116
60,2.828015064
61,2.86923172
62,2.906873535
63,2.943988875
64,2.974050903
65,3.007320953
66,3.045714059
67,3.066325925
68,3.097604329
69,3.127104798
70,3.159867847
71,3.190611798
72,3.220892249
73,3.256236533
74,3.296884476
75,3.335858911
76,3.380753771
77,3.42111013
78,3.463594402
79,3.512284063
80,3.559906625
81,3.609594409
82,3.66143405
83,3.716420734
84,3.772468403
85,3.826657792
86,3.884455496
87,3.944877306
88,4.000217093
89,4.056485593
90,4.113843119
91,4.170848204
92,4.221779257
93,4.269209299
94,4.31676687
95,4.358581997
96,4.402330176
97,4.439790436
98,4.474827926
99,4.503204876
100,4.540291926
101,4.569455844
102,4.590128195
103,4.609530381
104,4.608996443
