age,surv
0,100000
1,99615
2,99589
3,99571
4,99560
5,99549
6,99540
7,99532
8,99525
9,99518
10,99511
11,99504
12,99496
13,99488
14,99477
15,99465
16,99451
17,99433
18,99413
19,99382
20,99347
21,99310
22,99269
23,99227
24,99187
25,99144
26,99101
27,99056
28,99010
29,98960
30,98908
31,98853
32,98796
33,98736
34,98670
35,98599
36,98522
37,98443
38,98357
39,98263
40,98159
41,98051
42,97931
43,97801
44,97658
45,97507
46,97336
47,97154
48,96952
49,96728
50,96482
51,96211
52,95911
53,95584
54,95226
55,94844
56,94432
57,93980
58,93491
59,92961
60,92389
61,91767
62,91088
63,90353
64,89559
65,88716
66,87814
67,86838
68,85826
69,84752
70,83616
71,82408
72,81129
73,79781
74,78341
75,76790
76,75125
77,73320
78,71387
79,69311
80,67056
81,64622
82,61991
83,59149
84,56070
85,52750
86,49211
87,45440
88,41437
89,37291
90,33044
91,28750
92,24489
93,20408
94,16615
95,13169
96,10162
97,7596
98,5505
99,3862
100,2632
101,1719
102,1081
103,660
104,392
