age,hommes,femmes,tot
0,100000,100000,100000
1,99581,99650,99615
2,99554,99626,99589
3,99535,99609,99571
4,99522,99599,99560
5,99510,99590,99549
6,99501,99582,99540
7,99492,99575,99532
8,99483,99569,99525
9,99475,99563,99518
10,99466,99557,99511
11,99458,99551,99504
12,99450,99545,99496
13,99440,99538,99488
14,99428,99528,99477
15,99415,99518,99465
16,99397,99508,99451
17,99373,99495,99433
18,99346,99483,99413
19,99306,99462,99382
20,99255,99443,99347
21,99203,99422,99310
22,99143,99401,99269
23,99083,99378,99227
24,99025,99356,99187
25,98964,99334,99144
26,98902,99310,99101
27,98835,99289,99056
28,98768,99264,99010
29,98697,99235,98960
30,98623,99206,98908
31,98546,99174,98853
32,98466,99142,98796
33,98383,99107,98736
34,98291,99067,98670
35,98193,99025,98599
36,98088,98979,98522
37,97977,98933,98443
38,97858,98880,98357
39,97730,98823,98263
40,97589,98757,98159
41,97444,98688,98051
42,97286,98608,97931
43,97112,98523,97801
44,96924,98429,97658
45,96725,98327,97507
46,96499,98214,97336
47,96261,98092,97154
48,95996,97954,96952
49,95703,97804,96728
50,95387,97632,96482
51,95036,97444,96211
52,94651,97233,95911
53,94226,97009,95584
54,93763,96762,95226
55,93267,96498,94844
56,92732,96215,94432
57,92139,95912,93980
58,91500,95581,93491
59,90805,95223,92961
60,90058,94834,92389
61,89241,94417,91767
62,88346,93965,91088
63,87378,93475,90353
64,86332,92945,89559
65,85228,92375,88716
66,84050,91763,87814
67,82765,91112,86838
68,81442,90426,85826
69,80042,89693,84752
70,78574,88906,83616
71,77033,88047,82408
72,75410,87130,81129
73,73703,86157,79781
74,71893,85107,78341
75,69977,83937,76790
76,67946,82657,75125
77,65763,81249,73320
78,63464,79699,71387
79,61016,78014,69311
80,58390,76148,67056
81,55629,74056,64622
82,52708,71731,61991
83,49607,69160,59149
84,46306,66314,56070
85,42813,63175,52750
86,39166,59749,49211
87,35383,55991,45440
88,31465,51900,41437
89,27519,47544,37291
90,23612,42941,33044
91,19831,38106,28750
92,16257,33125,24489
93,12945,28238,20408
94,10033,23521,16615
95,7519,19097,13169
96,5466,15090,10162
97,3825,11552,7596
98,2587,8566,5505
99,1703,6127,3862
100,1083,4257,2632
101,657,2832,1719
102,381,1815,1081
103,222,1120,660
104,132,664,392
