popname,annee,edv,pays,sexe,index,flag,maxEdv,minEdv
DEUTNP,1990,78.419998,Allemagne,Femmes,2,🇩🇪,81.860001,77.730003
DEUTNP,1991,78.690002,Allemagne,Femmes,2,🇩🇪,82.169998,77.980003
DEUTNP,1992,79.139999,Allemagne,Femmes,2,🇩🇪,82.290001,77.970001
DEUTNP,1993,79.209999,Allemagne,Femmes,2,🇩🇪,82.449997,77.769997
DEUTNP,1994,79.510002,Allemagne,Femmes,2,🇩🇪,82.900002,78.099998
DEUTNP,1995,79.690002,Allemagne,Femmes,2,🇩🇪,82.779999,77.839996
DEUTNP,1996,79.860001,Allemagne,Femmes,2,🇩🇪,83.5,78.260002
DEUTNP,1997,80.269997,Allemagne,Femmes,2,🇩🇪,83.730003,78.470001
DEUTNP,1998,80.540001,Allemagne,Femmes,2,🇩🇪,83.919998,78.889999
DEUTNP,1999,80.75,Allemagne,Femmes,2,🇩🇪,83.919998,78.889999
DEUTNP,2000,80.989998,Allemagne,Femmes,2,🇩🇪,84.519997,79.120003
DEUTNP,2001,81.269997,Allemagne,Femmes,2,🇩🇪,84.849998,79.220001
DEUTNP,2002,81.279999,Allemagne,Femmes,2,🇩🇪,85.150002,79.339996
DEUTNP,2003,81.370003,Allemagne,Femmes,2,🇩🇪,85.25,79.699997
DEUTNP,2004,81.889999,Allemagne,Femmes,2,🇩🇪,85.5,80.059998
DEUTNP,2005,81.959999,Allemagne,Femmes,2,🇩🇪,85.419998,80.07
DEUTNP,2006,82.239998,Allemagne,Femmes,2,🇩🇪,85.699997,80.330002
DEUTNP,2007,82.400002,Allemagne,Femmes,2,🇩🇪,85.879997,80.529999
DEUTNP,2008,82.389999,Allemagne,Femmes,2,🇩🇪,85.959999,80.589996
DEUTNP,2009,82.480003,Allemagne,Femmes,2,🇩🇪,86.339996,80.910004
DEUTNP,2010,82.620003,Allemagne,Femmes,2,🇩🇪,86.25,81.07
DEUTNP,2011,82.82,Allemagne,Femmes,2,🇩🇪,85.860001,81.080002
DEUTNP,2012,82.940002,Allemagne,Femmes,2,🇩🇪,86.370003,81.190002
DEUTNP,2013,82.860001,Allemagne,Femmes,2,🇩🇪,86.559998,81.190002
DEUTNP,2014,83.330002,Allemagne,Femmes,2,🇩🇪,86.769997,81.269997
DEUTNP,2015,82.970001,Allemagne,Femmes,2,🇩🇪,86.980003,81.139999
DEUTNP,2016,83.260002,Allemagne,Femmes,2,🇩🇪,87.129997,81.18
DEUTNP,2017,83.290001,Allemagne,Femmes,2,🇩🇪,87.269997,81.18
DEUTNP,2018,83.230003,Allemagne,Femmes,2,🇩🇪,87.32,81.339996
DEUTNP,2019,83.540001,Allemagne,Femmes,2,🇩🇪,87.449997,81.480003
DEUTNP,2020,83.43,Allemagne,Femmes,2,🇩🇪,87.75,79.900002
DEUTNP,1990,71.910004,Allemagne,Hommes,2,🇩🇪,75.940002,71.849998
DEUTNP,1991,72.089996,Allemagne,Hommes,2,🇩🇪,76.160004,72.029999
DEUTNP,1992,72.529999,Allemagne,Hommes,2,🇩🇪,76.129997,72.32
DEUTNP,1993,72.629997,Allemagne,Hommes,2,🇩🇪,76.269997,72.169998
DEUTNP,1994,72.949997,Allemagne,Hommes,2,🇩🇪,76.589996,72.389999
DEUTNP,1995,73.120003,Allemagne,Hommes,2,🇩🇪,76.410004,72.589996
DEUTNP,1996,73.419998,Allemagne,Hommes,2,🇩🇪,77.029999,73.059998
DEUTNP,1997,73.879997,Allemagne,Hommes,2,🇩🇪,77.239998,73.540001
DEUTNP,1998,74.32,Allemagne,Hommes,2,🇩🇪,77.209999,73.809998
DEUTNP,1999,74.580002,Allemagne,Hommes,2,🇩🇪,77.169998,73.919998
DEUTNP,2000,74.860001,Allemagne,Hommes,2,🇩🇪,77.68,74.120003
DEUTNP,2001,75.279999,Allemagne,Hommes,2,🇩🇪,78.010002,74.269997
DEUTNP,2002,75.440002,Allemagne,Hommes,2,🇩🇪,78.279999,74.349998
DEUTNP,2003,75.510002,Allemagne,Hommes,2,🇩🇪,78.32,74.529999
DEUTNP,2004,76.150002,Allemagne,Hommes,2,🇩🇪,78.610001,74.959999
DEUTNP,2005,76.360001,Allemagne,Hommes,2,🇩🇪,78.5,74.949997
DEUTNP,2006,76.75,Allemagne,Hommes,2,🇩🇪,78.919998,75.230003
DEUTNP,2007,76.910004,Allemagne,Hommes,2,🇩🇪,79.099998,75.510002
DEUTNP,2008,77.099998,Allemagne,Hommes,2,🇩🇪,79.209999,75.639999
DEUTNP,2009,77.230003,Allemagne,Hommes,2,🇩🇪,79.510002,76.010002
DEUTNP,2010,77.43,Allemagne,Hommes,2,🇩🇪,79.540001,76.239998
DEUTNP,2011,77.769997,Allemagne,Hommes,2,🇩🇪,79.800003,76.32
DEUTNP,2012,77.959999,Allemagne,Hommes,2,🇩🇪,79.910004,76.440002
DEUTNP,2013,77.980003,Allemagne,Hommes,2,🇩🇪,80.199997,76.440002
DEUTNP,2014,78.43,Allemagne,Hommes,2,🇩🇪,80.489998,76.489998
DEUTNP,2015,78.129997,Allemagne,Hommes,2,🇩🇪,80.720001,76.330002
DEUTNP,2016,78.379997,Allemagne,Hommes,2,🇩🇪,80.93,76.230003
DEUTNP,2017,78.559998,Allemagne,Hommes,2,🇩🇪,81.059998,76.18
DEUTNP,2018,78.510002,Allemagne,Hommes,2,🇩🇪,81.220001,76.330002
DEUTNP,2019,78.830002,Allemagne,Hommes,2,🇩🇪,81.370003,76.459999
DEUTNP,2020,78.599998,Allemagne,Hommes,2,🇩🇪,81.580002,74.360001
DNK,1950,71.519997,Danemark,Femmes,7,🇩🇰,72.440002,60.880001
DNK,1951,72.150002,Danemark,Femmes,7,🇩🇰,72.699997,62.610001
