pays,edv,mortInf
Lettonie,75.59999999999999,2.6
Bulgarie,75.8,4.9
Roumanie,76.40000000000001,5.6
Hongrie,76.7,3
Lituanie,77.59999999999999,2.8
Slovaquie,78.2,5.6
Pologne,78.40000000000001,3.9
Croatie,78.59999999999999,3.9
Estonie,79.09999999999999,1.7
Tchéquie,79.90000000000001,2.2
Allemagne,81.09999999999999,3.2
Finlande,81.59999999999999,1.8
Danemark,81.8,3.5
Grèce,81.8,3.4
Autriche,81.90000000000001,2.8
Pays-Bas,81.90000000000001,3.6
Slovénie,82,1.8
Belgique,82.5,3.1
Portugal,82.5,2.5
Chypre,82.90000000000001,4.5
Irlande,82.90000000000001,3.2
France,83,4
Luxembourg,83.40000000000001,4.3
Malte,83.40000000000001,3.6
Suède,83.40000000000001,2.1
Italie,83.5,2.5
Espagne,84,2.6
