annee,Allemagne,Danemark,Espagne,France,Italie,Japon,RU,Suede,USA
1994,5.5,5.699999809265137,5.900000095367432,5.699999809265137,6.800000190734863,4.300000190734863,6.300000190734863,4.400000095367432,8.199999809265137
1995,5.300000190734863,5.400000095367432,5.5,5.300000190734863,6.400000095367432,4.099999904632568,6.099999904632568,4,7.900000095367432
1996,5,5.199999809265137,5.199999809265137,4.900000095367432,6,4,5.900000095367432,3.799999952316284,7.699999809265137
1997,4.800000190734863,5,4.900000095367432,4.599999904632568,5.599999904632568,3.799999952316284,5.800000190734863,3.599999904632568,7.5
1998,4.699999809265137,4.800000190734863,4.699999809265137,4.400000095367432,5.300000190734863,3.599999904632568,5.699999809265137,3.5,7.300000190734863
1999,4.5,4.800000190734863,4.5,4.199999809265137,5,3.400000095367432,5.599999904632568,3.400000095367432,7.199999809265137
2000,4.400000095367432,4.699999809265137,4.400000095367432,4.099999904632568,4.699999809265137,3.299999952316284,5.5,3.400000095367432,7.099999904632568
2001,4.300000190734863,4.599999904632568,4.199999809265137,3.900000095367432,4.5,3.099999904632568,5.5,3.299999952316284,7
2002,4.199999809265137,4.5,4.099999904632568,3.799999952316284,4.300000190734863,3,5.400000095367432,3.299999952316284,7
2003,4.099999904632568,4.400000095367432,4.099999904632568,3.599999904632568,4.099999904632568,2.900000095367432,5.300000190734863,3.200000047683716,6.900000095367432
2004,4,4.199999809265137,3.900000095367432,3.5,3.900000095367432,2.799999952316284,5.199999809265137,3.099999904632568,6.800000190734863
2005,3.900000095367432,4.099999904632568,3.799999952316284,3.400000095367432,3.799999952316284,2.700000047683716,5.099999904632568,3,6.800000190734863
2006,3.799999952316284,3.900000095367432,3.700000047683716,3.299999952316284,3.700000047683716,2.700000047683716,5,2.799999952316284,6.699999809265137
2007,3.700000047683716,3.799999952316284,3.599999904632568,3.200000047683716,3.599999904632568,2.599999904632568,4.900000095367432,2.700000047683716,6.599999904632568
2008,3.599999904632568,3.700000047683716,3.400000095367432,3.200000047683716,3.5,2.5,4.800000190734863,2.599999904632568,6.5
2009,3.5,3.599999904632568,3.299999952316284,3.099999904632568,3.400000095367432,2.400000095367432,4.599999904632568,2.599999904632568,6.400000095367432
2010,3.5,3.5,3.200000047683716,3.099999904632568,3.400000095367432,2.400000095367432,4.400000095367432,2.5,6.199999809265137
2011,3.400000095367432,3.5,3,3.099999904632568,3.299999952316284,2.299999952316284,4.300000190734863,2.5,6.099999904632568
2012,3.400000095367432,3.5,2.900000095367432,3.099999904632568,3.200000047683716,2.200000047683716,4.099999904632568,2.400000095367432,6
2013,3.299999952316284,3.5,2.900000095367432,3.099999904632568,3.099999904632568,2.200000047683716,4,2.400000095367432,5.900000095367432
2014,3.299999952316284,3.5,2.799999952316284,3.099999904632568,3.099999904632568,2.099999904632568,3.900000095367432,2.400000095367432,5.800000190734863
2015,3.299999952316284,3.5,2.700000047683716,3.200000047683716,3,2,3.900000095367432,2.299999952316284,5.800000190734863
2016,3.299999952316284,3.5,2.700000047683716,3.200000047683716,2.900000095367432,2,3.799999952316284,2.299999952316284,5.699999809265137
2017,3.200000047683716,3.400000095367432,2.700000047683716,3.299999952316284,2.799999952316284,1.899999976158142,3.799999952316284,2.299999952316284,5.599999904632568
2018,3.200000047683716,3.400000095367432,2.700000047683716,3.299999952316284,2.700000047683716,1.899999976158142,3.799999952316284,2.200000047683716,5.599999904632568
2019,3.099999904632568,3.299999952316284,2.599999904632568,3.299999952316284,2.599999904632568,1.799999952316284,3.799999952316284,2.200000047683716,5.5
2020,3.099999904632568,3.200000047683716,2.599999904632568,3.299999952316284,2.5,1.799999952316284,3.900000095367432,2.099999904632568,5.5
2021,3.099999904632568,3.200000047683716,2.599999904632568,3.400000095367432,2.5,1.799999952316284,3.900000095367432,2.099999904632568,5.5
2022,3.099999904632568,3.099999904632568,2.599999904632568,3.400000095367432,2.400000095367432,1.799999952316284,3.900000095367432,2,5.5
2023,3.099999904632568,3,2.599999904632568,3.400000095367432,2.299999952316284,1.799999952316284,4,2,5.5
