generation,d24,d29,d34,d39,df,ageM
1885,73.2,145.1,178.7,212.5,225.4,28.29991126885536
1890,72,112.2,168.2,198.4,209.9,28.66412577417818
1900,64.2,131.8,177,200.9,211.9,28.33600755073147
1910,70.5,134.3,179.2,216.1,228.4,28.66462346760071
1920,66.40000000000001,153.7,211.9,241,250.7,28.39489429597128
1930,90.90000000000001,177.2,232.2,257.7,264.7,27.46203248961088
1940,96.7,182.2,226.1,239,242.3,26.42633099463474
1950,88.8,154.2,192.1,207.7,211.7,26.50165328294756
1960,66.3,138.6,184.4,205.8,211.8,27.71482530689329
1970,36.8,102.7,162.1,191.9,200.5,29.56
1975,30.4,96.09999999999999,160.5,193.7,203.3,30.06
1980,31.3,95.3,161,195.3,205.3999999999999,30.15
1985,31.2,94.2,158.3,,203.7000000000001,30.17693445046821
1990,28.7,84.2,,,,
1991,27.7,81.5,,,,
1992,26.9,79.3,,,,
1993,25.9,77.09999999999999,,,,
1994,25.1,,,,,
1995,24.2,,,,,
1996,23.1,,,,,
1997,22.1,,,,,
1998,22.1,,,,,
