annee,generation,indic,n
1901,1885,Icf,290.3
1902,1886,Icf,285.3
1903,1887,Icf,278.4
1904,1888,Icf,274.8
1905,1889,Icf,270.6
1906,1890,Icf,270
1907,1891,Icf,257.6
1908,1892,Icf,263.6
1909,1893,Icf,255.7
1910,1894,Icf,257.1
1911,1895,Icf,246.2
1912,1896,Icf,248.5
1913,1897,Icf,246.8
1914,1898,Icf,233.5
1915,1899,Icf,151.9
1916,1900,Icf,123
1917,1901,Icf,134.2
1918,1902,Icf,155.9
1919,1903,Icf,159.1
1920,1904,Icf,269.5
1921,1905,Icf,260.1
1922,1906,Icf,242.3
1923,1907,Icf,240.7
1924,1908,Icf,235.6
1925,1909,Icf,238.8
1926,1910,Icf,236.8
1927,1911,Icf,229
1928,1912,Icf,230.5
1929,1913,Icf,224.1
1930,1914,Icf,229.5
1931,1915,Icf,224.7
1932,1916,Icf,222.6
1933,1917,Icf,211.1
1934,1918,Icf,214.1
1935,1919,Icf,207
1936,1920,Icf,209.2
1937,1921,Icf,209.9
1938,1922,Icf,212.8
1939,1923,Icf,216.6
1940,1924,Icf,200.3
1941,1925,Icf,185.4
1942,1926,Icf,204.3
1943,1927,Icf,218.6
1944,1928,Icf,224.9
1945,1929,Icf,231
1946,1930,Icf,299.8
1947,1931,Icf,303.7
1948,1932,Icf,302
1949,1933,Icf,300.4
1950,1934,Icf,294.7
1951,1935,Icf,280.6
1952,1936,Icf,277.7
1953,1937,Icf,270.4
1954,1938,Icf,271.4
1955,1939,Icf,268.4
1956,1940,Icf,267.4
1957,1941,Icf,269.5
1958,1942,Icf,268.4
1959,1943,Icf,275.2
1960,1944,Icf,274
1961,1945,Icf,282.4
1962,1946,Icf,279.6
1963,1947,Icf,289.6
1964,1948,Icf,291.5
1965,1949,Icf,284.9
1966,1950,Icf,280.1
1967,1951,Icf,267.1
1968,1952,Icf,258.8
1969,1953,Icf,253.4
1970,1954,Icf,248
1971,1955,Icf,249.7
1972,1956,Icf,241.9
1973,1957,Icf,230.9
1974,1958,Icf,211.2
1975,1959,Icf,192.7
1976,1960,Icf,182.9
