annee,icf,tx1,tx2,tx3
1994,168.3,33.7,111.4,23.2
1995,173,32.7,115.8,24.5
1996,175,32,117.4,25.7
1997,174.5,31.4,116.6,26.5
1998,177.9,31,118.9,27.9
1999,180.8,31.8,120,29
2000,189.3,33.4,125,30.9
2001,189.5,34.1,123.7,31.6
2002,188.1,33.1,122.9,32.1
2003,189.1,32.5,123.8,32.8
2004,191.5,32.7,125,33.8
2005,193.8,32.5,126.2,35.2
2006,199.7,33,129.6,37.1
2007,197.7,32.2,127.9,37.6
2008,200.7,32.6,129.3,38.8
2009,200.4,31.9,129.1,39.3
2010,202.9,32.1,130.4,40.4
2011,201,31.1,128.8,41.2
2012,200.8,30.8,128.2,41.8
2013,198.8,29.5,126.7,42.6
2014,199.9,28.9,127,44
2015,195.5,27.5,124,44
2016,192.4,26.4,121.9,44
2017,189.3,25.5,119.5,44.3
2018,187,24.4,117.9,44.7
2019,186.3,24,117,45.3
2020,181.7,22.7,114.1,44.9
2021 (p),183.1,21.3,115.2,46.6
2022 (p),179.4,21,112.1,46.3
2023 (p),167.6,20,103.5,44.2
