annee,indic,n
1901,ICF,290
1902,ICF,285
1903,ICF,278
1904,ICF,275
1905,ICF,271
1906,ICF,270
1907,ICF,258
1908,ICF,264
1909,ICF,256
1910,ICF,257
1911,ICF,246
1912,ICF,249
1913,ICF,247
1914,ICF,234
1915,ICF,152
1916,ICF,123
1917,ICF,134
1918,ICF,156
1919,ICF,159
1920,ICF,269
1921,ICF,260
1922,ICF,242
1923,ICF,241
1924,ICF,236
1925,ICF,239
1926,ICF,237
1927,ICF,229
1928,ICF,231
1929,ICF,224
1930,ICF,230
1931,ICF,225
1932,ICF,223
1933,ICF,211
1934,ICF,214
1935,ICF,207
1936,ICF,209
1937,ICF,210
1938,ICF,213
1939,ICF,217
1940,ICF,200
1941,ICF,185
1942,ICF,204
1943,ICF,219
1944,ICF,225
1945,ICF,231
1946,ICF,300
1947,ICF,304
1948,ICF,302
1949,ICF,300
1950,ICF,295
1951,ICF,281
1952,ICF,278
1953,ICF,270
1954,ICF,271
1955,ICF,268
1956,ICF,267
1957,ICF,269
1958,ICF,268
1959,ICF,275
1960,ICF,274
1961,ICF,282
1962,ICF,280
1963,ICF,290
1964,ICF,291
1965,ICF,285
1966,ICF,280
1967,ICF,267
1968,ICF,259
1969,ICF,253
1970,ICF,248
1971,ICF,250
1972,ICF,242
1973,ICF,231
1974,ICF,211
1975,ICF,193
1976,ICF,183
1977,ICF,186
1978,ICF,182
1979,ICF,186
1980,ICF,195
1981,ICF,195
1982,ICF,191
1983,ICF,178
1984,ICF,180
1985,ICF,181
1986,ICF,183
1987,ICF,180
1988,ICF,181
1989,ICF,179
1990,ICF,178
1991,ICF,177
1992,ICF,173
1993,ICF,166
1994,ICF,166
1995,ICF,171
1996,ICF,173
1997,ICF,173
1998,ICF,176
1999,ICF,179
2000,ICF,187
2001,ICF,188
2002,ICF,186
2003,ICF,187
2004,ICF,190
2005,ICF,192
2006,ICF,198
2007,ICF,196
2008,ICF,199
2009,ICF,199
2010,ICF,202
2011,ICF,200
2012,ICF,199
2013,ICF,197
2014,ICF,197
2015,ICF,193
2016,ICF,189
2017,ICF,186
2018,ICF,184
2019,ICF,183
2020,ICF,178
2021,ICF,179
2022,ICF,176
2023,ICF,164
1913,Descendance finale,225
1914,Descendance finale,222
1915,Descendance finale,219
1916,Descendance finale,215
1917,Descendance finale,214
1918,Descendance finale,212
1919,Descendance finale,210
1920,Descendance finale,208
1921,Descendance finale,205
1922,Descendance finale,203
1923,Descendance finale,201
1924,Descendance finale,200
1925,Descendance finale,201
1926,Descendance finale,203
1927,Descendance finale,208
1928,Descendance finale,212
1929,Descendance finale,214
1930,Descendance finale,215
1931,Descendance finale,216
1932,Descendance finale,217
1933,Descendance finale,219
1934,Descendance finale,220
1935,Descendance finale,222
1936,Descendance finale,222
1937,Descendance finale,223
1938,Descendance finale,226
1939,Descendance finale,228
1940,Descendance finale,230
1941,Descendance finale,232
1942,Descendance finale,234
1943,Descendance finale,235
1944,Descendance finale,237
1945,Descendance finale,241
1946,Descendance finale,244
1947,Descendance finale,245
1948,Descendance finale,250
1949,Descendance finale,248
1950,Descendance finale,253
1951,Descendance finale,255
1952,Descendance finale,257
1953,Descendance finale,260
1954,Descendance finale,262
1955,Descendance finale,264
1956,Descendance finale,264
1957,Descendance finale,265
1958,Descendance finale,263
1959,Descendance finale,263
1960,Descendance finale,262
1961,Descendance finale,260
1962,Descendance finale,259
1963,Descendance finale,255
1964,Descendance finale,253
1965,Descendance finale,249
1966,Descendance finale,243
1967,Descendance finale,237
1968,Descendance finale,231
1969,Descendance finale,229
1970,Descendance finale,227
1971,Descendance finale,223
1972,Descendance finale,217
1973,Descendance finale,214
1974,Descendance finale,212
1975,Descendance finale,211
1976,Descendance finale,211
1977,Descendance finale,212
1978,Descendance finale,211
1979,Descendance finale,212
1980,Descendance finale,212
1981,Descendance finale,212
1982,Descendance finale,213
1983,Descendance finale,214
1984,Descendance finale,214
1985,Descendance finale,214
1986,Descendance finale,213
1987,Descendance finale,212
1988,Descendance finale,212
1989,Descendance finale,209
1990,Descendance finale,208
1991,Descendance finale,207
1992,Descendance finale,206
1993,Descendance finale,205
1994,Descendance finale,204
1995,Descendance finale,202
1996,Descendance finale,202
1997,Descendance finale,201
1998,Descendance finale,200
,Descendance finale,200
,Descendance finale,201
