annee,type,typeNum,ageM,pHorsM
1901,Âge moyen à la maternité,1,29.39999961853027,8.699999809265137
1902,Âge moyen à la maternité,1,29.29999923706055,8.800000190734863
1903,Âge moyen à la maternité,1,29.39999961853027,8.800000190734863
1904,Âge moyen à la maternité,1,29.29999923706055,8.800000190734863
1905,Âge moyen à la maternité,1,29.29999923706055,8.899999618530273
1906,Âge moyen à la maternité,1,29.20000076293945,8.800000190734863
1907,Âge moyen à la maternité,1,29,9.199999809265137
1908,Âge moyen à la maternité,1,28.89999961853027,8.899999618530273
1909,Âge moyen à la maternité,1,28.89999961853027,8.800000190734863
1910,Âge moyen à la maternité,1,28.89999961853027,8.699999809265137
1911,Âge moyen à la maternité,1,28.79999923706055,8.800000190734863
1912,Âge moyen à la maternité,1,28.70000076293945,8.699999809265137
1913,Âge moyen à la maternité,1,28.70000076293945,8.800000190734863
1914,Âge moyen à la maternité,1,28.70000076293945,8.5
1915,Âge moyen à la maternité,1,29.5,11.19999980926514
1916,Âge moyen à la maternité,1,30,13.80000019073486
1917,Âge moyen à la maternité,1,30,14.19999980926514
1918,Âge moyen à la maternité,1,30.20000076293945,13.80000019073486
1919,Âge moyen à la maternité,1,30.10000038146973,13.30000019073486
1920,Âge moyen à la maternité,1,29.29999923706055,9.899999618530273
1921,Âge moyen à la maternité,1,28.70000076293945,9
1922,Âge moyen à la maternité,1,28.70000076293945,8.600000381469727
1923,Âge moyen à la maternité,1,28.70000076293945,8.699999809265137
1924,Âge moyen à la maternité,1,28.70000076293945,8.5
1925,Âge moyen à la maternité,1,28.60000038146973,8.600000381469727
1926,Âge moyen à la maternité,1,28.5,8.5
1927,Âge moyen à la maternité,1,28.39999961853027,8.399999618530273
1928,Âge moyen à la maternité,1,28.5,8.399999618530273
1929,Âge moyen à la maternité,1,28.29999923706055,8.399999618530273
1930,Âge moyen à la maternité,1,28.29999923706055,8.300000190734863
1931,Âge moyen à la maternité,1,28.20000076293945,8
1932,Âge moyen à la maternité,1,28.20000076293945,7.800000190734863
1933,Âge moyen à la maternité,1,28.10000038146973,7.5
1934,Âge moyen à la maternité,1,28,7.199999809265137
1935,Âge moyen à la maternité,1,27.89999961853027,7
1936,Âge moyen à la maternité,1,27.89999961853027,6.5
1937,Âge moyen à la maternité,1,27.89999961853027,6.5
1938,Âge moyen à la maternité,1,27.89999961853027,6.300000190734863
1939,Âge moyen à la maternité,1,27.89999961853027,6.300000190734863
1940,Âge moyen à la maternité,1,28.39999961853027,7.199999809265137
1941,Âge moyen à la maternité,1,28.70000076293945,8.100000381469727
1942,Âge moyen à la maternité,1,28.60000038146973,7.699999809265137
1943,Âge moyen à la maternité,1,28.39999961853027,7.900000095367432
1944,Âge moyen à la maternité,1,28.60000038146973,9.399999618530273
1945,Âge moyen à la maternité,1,28.60000038146973,10.5
