Région1,Région2,Pays,Population_totale,Taux_natalité,Taux_mortalité,Espérance_vie,Taux_mortalité_infantile,Nombre_enfant_femme,Taux_croissance,Part_65ans
Monde,--,AFRIQUE,1549867,"30,4","7,6","64,2","42,6","3,95","22,6","3,7"
Monde,--,AMÉRIQUE LATINE ET CARAÏBES,667889,"13,8","6,7","76,0","12,6","1,78","6,5","10,2"
Monde,--,ASIE,4835320,"13,5","7,2","75,0","20,3","1,87","5,8","10,3"
Monde,--,EUROPE,744399,"8,3","11,4","79,5","3,3","1,41","-1,0","20,9"
Monde,--,OCÉANIE,46610,"14,9","6,8","79,5","14,5","2,13","11,1","13,8"
Monde,--,MONDE,8231615,"16,1","7,7","73,5","26,4","2,24","8,4","10,4"
Afrique,--,Afrique Australe,74022,"18,9","9,0","66,3","24,3","2,27","11,7","6,5"
Afrique,--,Afrique centrale,219525,"38,5","8,0","62,4","48,8","5,37","29,6","2,9"
Afrique,--,Afrique occidentale,466533,"32,2","9,6","58,6","58,7","4,27","22,2","3,1"
Afrique,--,Afrique orientale,513486,"31,8","6,3","66,0","34,3","3,96","25,0","3,0"
Afrique,--,Afrique septentrionale,276302,"21,2","5,6","72,5","19,9","2,88","16,2","5,8"
Afrique,--,AFRIQUE,1549867,"30,4","7,6","64,2","42,6","3,95","22,6","3,7"
Afrique,Afrique australe,Afrique du Sud,64747,"18,2","9,3","66,5","22,4","2,19","11,2","6,9"
Afrique,Afrique australe,Botswana,2562,"23,9","5,7","69,4","27,2","2,66","15,9","4,1"
Afrique,Afrique australe,Eswatini,1256,"23,3","7,8","64,4","36,5","2,68","10,9","4,3"
Afrique,Afrique australe,Lesotho,2363,"23,5","10,3","58,2","52,9","2,64","10,9","3,9"
Afrique,Afrique australe,Namibie,3093,"25,4","6,2","67,7","26,3","3,17","19,9","3,8"
Afrique,Afrique australe,Afrique australe,74022,"18,9","9,0","66,3","24,3","2,27","11,7","6,5"
Afrique,Afrique Centrale,Angola,39040,"36,6","6,8","65,0","46,8","4,95","29,8","2,9"
Afrique,Afrique Centrale,Cameroun,29879,"32,8","6,9","64,2","44,8","4,19","25,4","2,8"
Afrique,Afrique Centrale,Centrafricaine (République),5513,"45,4","9,3","57,9","65,9","5,81","33,4","2,2"
Afrique,Afrique Centrale,Congo,6484,"30,2","6,2","66,2","27,3","4,05","23,5","3,1"
Afrique,Afrique Centrale,Congo (Rép. dém. du) (ex-Zaïre),112832,"40,4","8,3","62,2","48,0","5,90","31,8","3,1"
Afrique,Afrique Centrale,Gabon,2593,"26,6","6,2","68,7","25,9","3,54","20,9","4,1"
Afrique,Afrique Centrale,Guinée équatoriale,1938,"29,6","7,8","64,1","50,8","4,04","23,8","3,8"
Afrique,Afrique Centrale,Sao Tomé-et-Principe,240,"27,8","5,5","70,1","10,7","3,53","19,7","3,9"
Afrique,Afrique Centrale,Tchad,21004,"43,2","11,1","55,4","62,4","5,94","26,3","2,1"
Afrique,Afrique Centrale,Afrique Centrale,219525,"38,5","8,0","62,4","48,8","5,37","29,6","2,9"
Afrique,Afrique occidentale,Bénin,14814,"33,0","8,6","61,1","50,9","4,42","23,9","3,2"
Afrique,Afrique occidentale,Burkina Faso,24075,"30,8","7,8","61,5","53,4","4,00","21,8","2,7"
Afrique,Afrique occidentale,Cap-Vert,527,"12,1","5,1","76,4","9,2","1,50","4,5","7,2"
Afrique,Afrique occidentale,Côte d'Ivoire,32712,"31,1","7,6","62,3","50,1","4,17","23,9","2,7"
Afrique,Afrique occidentale,Gambie,2822,"29,3","6,2","66,3","28,3","3,80","22,0","3,2"
Afrique,Afrique occidentale,Ghana,35064,"25,6","7,0","65,9","29,5","3,30","18,1","3,8"
Afrique,Afrique occidentale,Guinée,15100,"32,8","8,9","61,1","63,8","4,04","22,7","3,5"
Afrique,Afrique occidentale,Guinée-Bissau,2250,"29,1","7,0","64,4","47,4","3,68","21,5","3,2"
Afrique,Afrique occidentale,Libéria,5731,"30,3","8,0","62,5","54,3","3,79","20,6","3,3"
Afrique,Afrique occidentale,Mali,25199,"39,2","8,4","60,9","58,9","5,42","28,9","2,4"
Afrique,Afrique occidentale,Mauritanie,5315,"33,7","5,3","68,9","28,5","4,56","27,4","3,2"
Afrique,Afrique occidentale,Niger,27918,"40,8","8,6","61,7","62,1","5,79","31,9","2,6"
Afrique,Afrique occidentale,Nigéria,237528,"32,2","11,6","54,8","67,7","4,30","20,6","3,1"
Afrique,Afrique occidentale,Sénégal,18932,"28,9","5,4","69,2","22,3","3,71","22,8","3,6"
Afrique,Afrique occidentale,Sierra Leone,8820,"29,5","8,1","62,2","69,3","3,61","20,1","3,3"
Afrique,Afrique occidentale,Togo,9722,"30,5","7,6","63,1","39,8","4,07","21,3","3,3"
Afrique,Afrique occidentale,Afrique occidentale,466533,"32,2","9,6","58,6","58,7","4,27","22,2","3,1"
Afrique,Afrique orientale,Burundi,14390,"32,6","6,6","64,0","34,4","4,68","23,5","2,5"
Afrique,Afrique orientale,Comores,883,"27,8","7,0","67,2","34,5","3,76","18,4","4,5"
Afrique,Afrique orientale,Djibouti,1184,"20,7","7,5","66,4","34,7","2,58","12,7","5,0"
Afrique,Afrique orientale,Erythrée,3607,"28,6","5,9","69,2","25,0","3,61","20,8","4,3"
Afrique,Afrique orientale,Ethiopie,135472,"30,8","5,8","67,9","30,9","3,81","25,2","3,3"
Afrique,Afrique orientale,France - La Réunion,882,"13,0","5,8","83,8","4,1","2,13","4,3","16,2"
Afrique,Afrique orientale,Kenya,57533,"26,8","7,1","64,0","28,6","3,12","19,2","3,0"
Afrique,Afrique orientale,Madagascar,32741,"31,3","7,4","64,0","43,4","3,84","23,8","3,5"
Afrique,Afrique orientale,Malawi,22216,"30,8","5,2","67,7","28,2","3,53","25,4","2,6"
Afrique,Afrique orientale,Maurice,1268,"9,0","9,2","75,3","11,4","1,21","-2,4","14,1"
Afrique,Afrique orientale,Mayotte,337,"33,7","2,7","76,4","8,2","4,50","31,2","2,8"
Afrique,Afrique orientale,Mozambique,35632,"36,6","6,8","64,0","47,8","4,62","27,9","2,7"
Afrique,Afrique orientale,Ouganda,51385,"33,8","4,7","68,7","26,9","4,06","26,7","2,2"
Afrique,Afrique orientale,Rwanda,14569,"27,7","5,9","68,2","25,5","3,59","22,3","4,0"
Afrique,Afrique orientale,Seychelles,133,"13,3","8,1","73,1","9,9","2,08","17,3","8,7"
Afrique,Afrique orientale,Somalie,19655,"41,8","9,7","59,1","65,0","5,91","32,8","2,6"
Afrique,Afrique orientale,Sud Soudan,12189,"29,3","9,9","57,9","62,7","3,71","20,0","3,1"
Afrique,Afrique orientale,Tanzanie,70546,"34,3","5,7","67,4","27,5","4,47","28,5","3,0"
Afrique,Afrique orientale,Zambie,21914,"32,4","5,1","66,7","36,6","3,97","27,5","2,0"
