annee,enf,n
2014,Pas d'enfant,12.6
2015,Pas d'enfant,16.3
2016,Pas d'enfant,17.4
2017,Pas d'enfant,17.9
2018,Pas d'enfant,20.5
2019,Pas d'enfant,19.7
2020,Pas d'enfant,22
2021,Pas d'enfant,22.9
2022,Pas d'enfant,22.5
2023,Pas d'enfant,27.2
2014,Un enfant,24.7
2015,Un enfant,25.4
2016,Un enfant,26.3
2017,Un enfant,27.5
2018,Un enfant,26.6
2019,Un enfant,28.3
2020,Un enfant,28.6
2021,Un enfant,27.3
2022,Un enfant,29.4
2023,Un enfant,31.6
2014,Deux enfants,44.4
2015,Deux enfants,41.7
2016,Deux enfants,40.5
2017,Deux enfants,39.7
2018,Deux enfants,38.3
2019,Deux enfants,37.7
2020,Deux enfants,36.1
2021,Deux enfants,36.4
2022,Deux enfants,36
2023,Deux enfants,31.6
2014,Trois enfants et plus,18.3
2015,Trois enfants et plus,16.5
2016,Trois enfants et plus,15.8
2017,Trois enfants et plus,14.9
2018,Trois enfants et plus,14.6
2019,Trois enfants et plus,14.3
2020,Trois enfants et plus,13.3
2021,Trois enfants et plus,13.4
2022,Trois enfants et plus,12.1
2023,Trois enfants et plus,9.6
