annee,age1,age2,age3,age31,age32
1901,34.3,53,12.7,8.5,2.5
1902,34.2,53.1,12.7,8.5,2.5
1903,34.2,53.1,12.8,8.5,2.5
1904,34.1,53.1,12.8,8.5,2.5
1905,34,53.2,12.8,8.5,2.5
1906,33.9,53.3,12.8,8.5,2.5
1907,33.8,53.4,12.8,8.5,2.6
1908,33.7,53.6,12.7,8.5,2.5
1909,33.6,53.6,12.7,8.6,2.5
1910,33.6,53.7,12.7,8.5,2.5
1911,33.6,53.6,12.8,8.6,2.5
1912,33.4,53.7,12.8,8.6,2.5
1913,33.4,53.7,12.9,8.6,2.5
1914,33.2,53.8,12.9,8.6,2.6
1915,nd,nd,nd,nd,nd
1916,nd,nd,nd,nd,nd
1917,nd,nd,nd,nd,nd
1918,nd,nd,nd,nd,nd
1919,nd,nd,nd,nd,nd
1920,31.3,54.9,13.8,9.2,2.8
1921,31.3,54.8,13.9,9.2,2.8
1922,31.2,54.8,14,9.3,2.8
1923,31.1,55,14,9.2,2.8
1924,30.9,55.1,14,9.2,2.8
1925,30.7,55.3,14,9.3,2.8
1926,30.7,55.3,14,9.3,2.8
1927,30.5,55.4,14.1,9.3,2.9
1928,30.4,55.5,14.1,9.4,2.9
1929,30.3,55.6,14.2,9.5,2.9
1930,30.1,55.7,14.2,9.5,2.9
1931,30.1,55.7,14.2,9.6,2.9
1932,30,55.8,14.2,9.7,2.9
1933,29.9,55.7,14.4,9.7,2.9
1934,29.7,55.8,14.5,9.8,3
1935,29.6,55.7,14.7,9.9,3.1
1936,29.9,55.1,14.9,10,3.1
1937,30.4,54.4,15.1,10,3.2
1938,30.9,53.8,15.3,10.2,3.2
1939,31,53.3,15.7,10.5,3.4
1940,31.4,52.7,15.9,10.8,3.5
1941,32.3,51.3,16.4,11.2,3.5
1942,31.7,51.9,16.4,11.2,3.5
1943,31.3,52.2,16.5,11.4,3.5
1944,30.9,52.4,16.7,11.5,3.6
1945,32.3,51.3,16.4,11.5,3.5
1946,29.5,54.5,16,11.1,3.4
1947,29.6,54.3,16.1,11.2,3.5
1948,29.8,54.1,16.2,11.2,3.6
1949,29.9,53.8,16.3,11.3,3.7
1950,30.1,53.6,16.2,11.4,3.8
1951,30.3,53.5,16.2,11.4,3.9
1952,30.4,53.4,16.2,11.4,3.9
1953,30.5,53.3,16.2,11.5,4.0
1954,30.7,53.1,16.2,11.5,4.0
1955,30.9,52.8,16.3,11.6,4.1
1956,31.1,52.6,16.3,11.6,4.1
1957,31.4,52.3,16.3,11.5,4.2
1958,31.7,51.9,16.4,11.5,4.2
1959,32,51.5,16.6,11.6,4.3
1960,32.3,51,16.7,11.6,4.3
1961,32.7,50.5,16.9,11.6,4.4
1962,33.1,49.8,17.1,11.8,4.4
1963,33.4,49.4,17.2,11.8,4.4
1964,33.7,49,17.3,11.9,4.4
1965,34,48.6,17.4,12,4.5
1966,34.2,48.2,17.6,12.2,4.5
1967,34.1,48.2,17.7,12.4,4.5
1968,33.8,48.4,17.9,12.6,4.6
1969,33.4,48.6,18,12.7,4.6
1970,33.1,48.8,18,12.8,4.7
1971,32.9,49,18.1,12.9,4.7
1972,32.7,49.1,18.1,13,4.8
1973,32.6,49.2,18.2,13.1,4.9
1974,32.4,49.3,18.3,13.3,4.9
1975,32.1,49.5,18.4,13.4,5.1
1976,31.8,50,18.2,13.5,5.2
1977,31.5,50.7,17.8,13.6,5.3
1978,31.2,51.4,17.5,13.8,5.5
1979,30.9,51.9,17.2,13.9,5.6
1980,30.6,52.4,17,14,5.7
1981,30.3,52.4,17.3,13.8,5.8
1982,30,52.4,17.5,13.5,5.9
1983,29.8,52.5,17.7,13.2,6.1
1984,29.5,52.6,17.9,12.9,6.2
1985,29.2,52.8,18.1,12.8,6.3
1986,28.9,52.9,18.3,13,6.4
1987,28.6,53,18.4,13.3,6.4
1988,28.3,53,18.6,13.5,6.6
1989,28.1,53.1,18.8,13.7,6.7
1990,27.8,53.2,19,13.9,6.8
1991,27.5,53.3,19.3,14.1,6.7
1992,27.1,53.4,19.5,14.4,6.5
1993,26.7,53.6,19.7,14.6,6.3
1994,26.4,53.7,19.9,14.8,6.2
1995,26.1,53.8,20.1,15,6.1
1996,26,53.8,20.2,15.3,6.4
1997,25.9,53.7,20.4,15.5,6.6
1998,25.8,53.8,20.5,15.7,6.8
1999,25.7,53.8,20.6,15.9,7.0
2000,25.6,53.8,20.6,16,7.2
2001,25.4,53.9,20.6,16.1,7.4
2002,25.3,54.1,20.6,16.2,7.6
2003,25.2,54.2,20.7,16.3,7.7
2004,25.1,54.1,20.8,16.4,7.9
2005,25,54.1,20.9,16.5,8.1
2006,24.9,54.1,21.1,16.6,8.3
2007,24.8,53.8,21.5,16.5,8.5
2008,24.7,53.4,21.9,16.6,8.6
2009,24.6,53,22.4,16.7,8.8
2010,24.5,52.6,22.8,16.8,8.9
2011,24.5,52.2,23.3,16.9,9.0
2012,24.4,51.9,23.7,17.3,9.1
2013,24.4,51.6,24.1,17.7,9.1
2014,24.3,51.2,24.4,18.2,9.2
2015,24.3,50.8,24.8,18.6,9.3
2016,24.3,50.5,25.2,19.1,9.3
2017,24.2,50.2,25.6,19.5,9.3
2018,24.1,49.9,26,19.9,9.4
2019,23.9,49.7,26.4,20.2,9.4
2020,23.8,49.5,26.7,20.6,9.5
2021,23.5,49.5,27,20.9,9.5
2022*,23.4,49.3,27.3,21.2,9.8
2023*,23.2,49.2,27.6,21.5,10.2
2024*,23,49,28.8,21.8,10.5
